Year,SERIES,តំបន់យោង,កំរិតនគរូបនីយកម្ម,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2014,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក: បំពង់បង្ហូរទឹកនៅក្នុងទីជម្រកឬនៅតាមបរិវេណ,ភាគរយ,,21.7
2015,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក: បំពង់បង្ហូរទឹកនៅក្នុងទីជម្រកឬនៅតាមបរិវេណ,ភាគរយ,,24.1
2016,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក: បំពង់បង្ហូរទឹកនៅក្នុងទីជម្រកឬនៅតាមបរិវេណ,ភាគរយ,,29.5
2017,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក: បំពង់បង្ហូរទឹកនៅក្នុងទីជម្រកឬនៅតាមបរិវេណ,ភាគរយ,,29.2
2019,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក: បំពង់បង្ហូរទឹកនៅក្នុងទីជម្រកឬនៅតាមបរិវេណ,ភាគរយ,,29.55
2009,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,,0.5
2010,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,,0.1
2011,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,,0.1
2012,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,,0.1
2013,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,,0.0
2014,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,,0.1
2015,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,,0.6
2016,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,,0.3
2017,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,,1.0
2019,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ប្រភពសាធារណៈ,ភាគរយ,,0.95
2009,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,,26.0
2010,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,,26.2
2011,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,,26.5
2012,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,,24.9
2013,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,,26.7
2014,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,,25.2
2015,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,,28.0
2016,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,,26.0
2017,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,,29.0
2019,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ បំពង់ទុយោអណ្តូងរឺបូរី,ភាគរយ,,30.1
2009,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,,6.9
2010,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,,7.4
2011,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,,7.5
2012,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,,5.5
2013,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,,4.8
2014,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,,7.0
2015,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,,6.4
2016,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,,4.8
2017,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,,5.3
2019,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ជីកអណ្តូងការពារ,ភាគរយ,,4.16
2009,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ការប្រមូលទឹកភ្លៀងឱ្យប្រសើរឡើង,ភាគរយ,,0.3
2010,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ការប្រមូលទឹកភ្លៀងឱ្យប្រសើរឡើង,ភាគរយ,,0.3
2011,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ការប្រមូលទឹកភ្លៀងឱ្យប្រសើរឡើង,ភាគរយ,,0.2
2012,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ការប្រមូលទឹកភ្លៀងឱ្យប្រសើរឡើង,ភាគរយ,,0.3
2013,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ការប្រមូលទឹកភ្លៀងឱ្យប្រសើរឡើង,ភាគរយ,,0.1
2014,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ការប្រមូលទឹកភ្លៀងឱ្យប្រសើរឡើង,ភាគរយ,,0.5
2015,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ការប្រមូលទឹកភ្លៀងឱ្យប្រសើរឡើង,ភាគរយ,,0.1
2016,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ការប្រមូលទឹកភ្លៀងឱ្យប្រសើរឡើង,ភាគរយ,,0.5
2017,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ការប្រមូលទឹកភ្លៀងឱ្យប្រសើរឡើង,ភាគរយ,,0.3
2019,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,,ប្រភេទប្រភពទឹក៖ ការប្រមូលទឹកភ្លៀងឱ្យប្រសើរឡើង,ភាគរយ,,5.81
1993,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ទីប្រជុំជន,,ភាគរយ,,23.5
1996,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ទីប្រជុំជន,,ភាគរយ,,41.9
1997,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ទីប្រជុំជន,,ភាគរយ,,52.9
1999,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ទីប្រជុំជន,,ភាគរយ,,57.2
2004,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ទីប្រជុំជន,,ភាគរយ,,61.6
2007,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ទីប្រជុំជន,,ភាគរយ,,61.5
2008,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ទីប្រជុំជន,,ភាគរយ,,82.3
2009,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ទីប្រជុំជន,,ភាគរយ,,78.2
2010,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ទីប្រជុំជន,,ភាគរយ,,79.0
2011,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ទីប្រជុំជន,,ភាគរយ,,81.3
2012,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ទីប្រជុំជន,,ភាគរយ,,81.5
2013,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ទីប្រជុំជន,,ភាគរយ,,83.1
2014,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ទីប្រជុំជន,,ភាគរយ,,80.7
2015,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ទីប្រជុំជន,,ភាគរយ,,84.2
2016,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ទីប្រជុំជន,,ភាគរយ,,88.8
2017,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ទីប្រជុំជន,,ភាគរយ,,87.7
2019,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ទីប្រជុំជន,,ភាគរយ,,88.01
1993,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ជនបទ,,ភាគរយ,,2.9
1996,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ជនបទ,,ភាគរយ,,23.4
1997,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ជនបទ,,ភាគរយ,,24.5
1999,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ជនបទ,,ភាគរយ,,45.4
2004,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ជនបទ,,ភាគរយ,,46.6
2007,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ជនបទ,,ភាគរយ,,48.5
2008,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ជនបទ,,ភាគរយ,,49.0
2009,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ជនបទ,,ភាគរយ,,42.2
2010,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ជនបទ,,ភាគរយ,,41.1
2011,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ជនបទ,,ភាគរយ,,43.2
2012,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ជនបទ,,ភាគរយ,,41.9
2013,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ជនបទ,,ភាគរយ,,46.6
2014,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ជនបទ,,ភាគរយ,,47.4
2015,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ជនបទ,,ភាគរយ,,52.4
2016,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ជនបទ,,ភាគរយ,,53.9
2017,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ជនបទ,,ភាគរយ,,58.7
2019,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,,ជនបទ,,ភាគរយ,,74.69
