Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2008,N_KH_030102_01,KH08,,LIVE_BIRTHS_PER_WOMAN,KH08,2.8
2010,N_KH_030102_01,KH08,,LIVE_BIRTHS_PER_WOMAN,KH08,2.9
2008,N_KH_030102_01,KH23,,LIVE_BIRTHS_PER_WOMAN,KH23,3.3
2000,N_KH_030102_01,KH09,,LIVE_BIRTHS_PER_WOMAN,KH09,4.3
2008,N_KH_030102_01,KH09,,LIVE_BIRTHS_PER_WOMAN,KH09,3.6
2005,N_KH_030102_01,KH10,,LIVE_BIRTHS_PER_WOMAN,KH10,4.2
2008,N_KH_030102_01,KH10,,LIVE_BIRTHS_PER_WOMAN,KH10,3.7
2010,N_KH_030102_01,KH10,,LIVE_BIRTHS_PER_WOMAN,KH10,3.9
2008,N_KH_030102_01,KH11,,LIVE_BIRTHS_PER_WOMAN,KH11,4.5
2005,N_KH_030102_01,KH22,,LIVE_BIRTHS_PER_WOMAN,KH22,4.2
2008,N_KH_030102_01,KH22,,LIVE_BIRTHS_PER_WOMAN,KH22,3.3
2010,N_KH_030102_01,KH22,,LIVE_BIRTHS_PER_WOMAN,KH22,3.2
2008,N_KH_030102_01,KH24,,LIVE_BIRTHS_PER_WOMAN,KH24,3.6
2000,N_KH_030102_01,KH12,,LIVE_BIRTHS_PER_WOMAN,KH12,2.1
2005,N_KH_030102_01,KH12,,LIVE_BIRTHS_PER_WOMAN,KH12,2.5
2008,N_KH_030102_01,KH12,,LIVE_BIRTHS_PER_WOMAN,KH12,2.0
2010,N_KH_030102_01,KH12,,LIVE_BIRTHS_PER_WOMAN,KH12,2.0
2008,N_KH_030102_01,KH18,,LIVE_BIRTHS_PER_WOMAN,KH18,3.1
2008,N_KH_030102_01,KH13,,LIVE_BIRTHS_PER_WOMAN,KH13,4.0
2000,N_KH_030102_01,KH14,,LIVE_BIRTHS_PER_WOMAN,KH14,3.5
2005,N_KH_030102_01,KH14,,LIVE_BIRTHS_PER_WOMAN,KH14,3.0
2008,N_KH_030102_01,KH14,,LIVE_BIRTHS_PER_WOMAN,KH14,2.9
2010,N_KH_030102_01,KH14,,LIVE_BIRTHS_PER_WOMAN,KH14,3.3
2000,N_KH_030102_01,KH15,,LIVE_BIRTHS_PER_WOMAN,KH15,4.9
2005,N_KH_030102_01,KH15,,LIVE_BIRTHS_PER_WOMAN,KH15,3.9
2008,N_KH_030102_01,KH15,,LIVE_BIRTHS_PER_WOMAN,KH15,3.6
2010,N_KH_030102_01,KH15,,LIVE_BIRTHS_PER_WOMAN,KH15,3.4
2008,N_KH_030102_01,KH16,,LIVE_BIRTHS_PER_WOMAN,KH16,4.9
2005,N_KH_030102_01,KH17,,LIVE_BIRTHS_PER_WOMAN,KH17,4.2
2008,N_KH_030102_01,KH17,,LIVE_BIRTHS_PER_WOMAN,KH17,3.2
2010,N_KH_030102_01,KH17,,LIVE_BIRTHS_PER_WOMAN,KH17,3.4
2008,N_KH_030102_01,KH19,,LIVE_BIRTHS_PER_WOMAN,KH19,4.2
2000,N_KH_030102_01,KH20,,LIVE_BIRTHS_PER_WOMAN,KH20,3.5
2005,N_KH_030102_01,KH20,,LIVE_BIRTHS_PER_WOMAN,KH20,3.0
2008,N_KH_030102_01,KH20,,LIVE_BIRTHS_PER_WOMAN,KH20,2.8
2010,N_KH_030102_01,KH20,,LIVE_BIRTHS_PER_WOMAN,KH20,2.6
2000,N_KH_030102_01,KH21,,LIVE_BIRTHS_PER_WOMAN,KH21,4.1
2005,N_KH_030102_01,KH21,,LIVE_BIRTHS_PER_WOMAN,KH21,3.2
2008,N_KH_030102_01,KH21,,LIVE_BIRTHS_PER_WOMAN,KH21,3.0
2010,N_KH_030102_01,KH21,,LIVE_BIRTHS_PER_WOMAN,KH21,3.1
2000,N_KH_030102_01,KH_AGG_KH02_KH24,,LIVE_BIRTHS_PER_WOMAN,KH_AGG_KH02_KH24,4.5
2005,N_KH_030102_01,KH_AGG_KH02_KH24,,LIVE_BIRTHS_PER_WOMAN,KH_AGG_KH02_KH24,3.5
2010,N_KH_030102_01,KH_AGG_KH02_KH24,,LIVE_BIRTHS_PER_WOMAN,KH_AGG_KH02_KH24,3.2
2000,N_KH_030102_01,KH_AGG_KH07_KH18_KH23,,LIVE_BIRTHS_PER_WOMAN,KH_AGG_KH07_KH18_KH23,4.1
2000,N_KH_030102_01,KH_AGG_KH10_KH13_KH19,,LIVE_BIRTHS_PER_WOMAN,KH_AGG_KH10_KH13_KH19,4.6
2000,N_KH_030102_01,KH_AGG_KH11_KH16,,LIVE_BIRTHS_PER_WOMAN,KH_AGG_KH11_KH16,6.3
2005,N_KH_030102_01,KH_AGG_KH11_KH16,,LIVE_BIRTHS_PER_WOMAN,KH_AGG_KH11_KH16,5.2
2010,N_KH_030102_01,KH_AGG_KH11_KH16,,LIVE_BIRTHS_PER_WOMAN,KH_AGG_KH11_KH16,4.5
2000,N_KH_030102_01,KH_AGG_KH22_KH17,,LIVE_BIRTHS_PER_WOMAN,KH_AGG_KH22_KH17,4.6
2005,N_KH_030102_01,KH_AGG_KH07_KH23,,LIVE_BIRTHS_PER_WOMAN,KH_AGG_KH07_KH23,3.2
2010,N_KH_030102_01,KH_AGG_KH07_KH23,,LIVE_BIRTHS_PER_WOMAN,KH_AGG_KH07_KH23,2.8
2005,N_KH_030102_01,KH_KH09_KH18,,LIVE_BIRTHS_PER_WOMAN,KH_KH09_KH18,3.9
2010,N_KH_030102_01,KH_KH09_KH18,,LIVE_BIRTHS_PER_WOMAN,KH_KH09_KH18,2.9
2005,N_KH_030102_01,KH_AGG_KH13_KH19,,LIVE_BIRTHS_PER_WOMAN,KH_AGG_KH13_KH19,4.9
2010,N_KH_030102_01,KH_AGG_KH13_KH19,,LIVE_BIRTHS_PER_WOMAN,KH_AGG_KH13_KH19,3.5
