Year,SERIES,តំបន់យោង,ភេទ,អាយុ,កំរិតនគរូបនីយកម្ម,ប្រាក់ចំណូលឬទ្រព្យសម្បត្តិមានចំនួនច្រើន,UNIT_MEASURE,GeoCode,Value
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កំពង់ឆ្នាំង,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH04,9.5
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កំពង់ឆ្នាំង,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH04,4.6
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កំពង់ឆ្នាំង,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH04,11.4
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កំពង់ឆ្នាំង,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH04,11.2
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កំពង់ស្ពឺ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH05,16.9
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កំពង់ស្ពឺ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH05,7.6
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កំពង់ស្ពឺ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH05,10.2
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កំពង់ស្ពឺ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH05,11.5
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កំពង់ធំ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH06,24.5
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កំពង់ធំ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH06,3.4
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កំពង់ធំ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH06,11.5
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កំពង់ធំ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH06,13.0
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កណ្តាល,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH08,11.8
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កណ្តាល,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH08,11.5
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កណ្តាល,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH08,9.9
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កណ្តាល,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH08,9.2
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កោះកុង,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH09,14.7
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ខេត្តក្រចេះ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH10,4.2
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ខេត្តក្រចេះ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH10,7.1
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ខេត្តក្រចេះ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH10,6.5
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ឧត្តរមានជ័យ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH22,10.3
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ឧត្តរមានជ័យ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH22,17.6
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ឧត្តរមានជ័យ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH22,15.1
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ភ្នំពេញ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH12,18.3
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ភ្នំពេញ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH12,5.5
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ភ្នំពេញ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH12,11.2
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ភ្នំពេញ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH12,8.4
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ព្រៃវែង,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH14,15.1
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ព្រៃវែង,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH14,11.3
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ព្រៃវែង,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH14,10.9
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ព្រៃវែង,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH14,8.6
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ពោធិសាត់,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH15,13.4
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ពោធិសាត់,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH15,17.0
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ពោធិសាត់,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH15,13.3
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ពោធិសាត់,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH15,12.3
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,សៀមរាប,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH17,6.3
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,សៀមរាប,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH17,12.3
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,សៀមរាប,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH17,9.5
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ស្វាយរៀង,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH20,13.0
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ស្វាយរៀង,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH20,7.8
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ស្វាយរៀង,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH20,12.2
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ស្វាយរៀង,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH20,7.6
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,តាកែវ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH21,17.2
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,តាកែវ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH21,7.6
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,តាកែវ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH21,9.5
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,តាកែវ,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH21,14.6
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ខេត្តបាត់ដំបងនិងប៉ៃលិន,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH_AGG_KH02_KH24,21.1
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ខេត្តបាត់ដំបងនិងប៉ៃលិន,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH_AGG_KH02_KH24,5.6
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ខេត្តបាត់ដំបងនិងប៉ៃលិន,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH_AGG_KH02_KH24,14.4
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ខេត្តបាត់ដំបងនិងប៉ៃលិន,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH_AGG_KH02_KH24,7.9
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កំពតព្រះសីហនុនិងកែប,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH_AGG_KH07_KH18_KH23,9.6
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ខេត្តក្រចេះព្រះវិហារនិងស្ទឹងត្រែង,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH_AGG_KH10_KH13_KH19,10.9
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,មណ្ឌលគីរីនិងរតនគិរី,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH_AGG_KH11_KH16,15.2
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,មណ្ឌលគីរីនិងរតនគិរី,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH_AGG_KH11_KH16,7.6
2010,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,មណ្ឌលគីរីនិងរតនគិរី,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH_AGG_KH11_KH16,10.3
2014,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,មណ្ឌលគីរីនិងរតនគិរី,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH_AGG_KH11_KH16,8.2
2000,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,ឧត្តរមានជ័យនិងសៀមរាប,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH_AGG_KH22_KH17,10.6
2005,២.២.២ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពស្លេកស្លាំងមធ្យមឬធ្ងន់ធ្ងរ,កំពតនិងកែប,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,KH_AGG_KH07_KH23,5.0
