Year,SERIES,តំបន់យោង,កំរិតនគរូបនីយកម្ម,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2016,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,,0.5
2017,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,,1.0
2019,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,,ប្រភេទបង្គន់៖ បង្គន់រណ្តៅជាមួយស្លា,ភាគរយ,,0.88
1993,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ទីប្រជុំជន,,ភាគរយ,,17.5
1996,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ទីប្រជុំជន,,ភាគរយ,,32.3
1997,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ទីប្រជុំជន,,ភាគរយ,,30.2
1999,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ទីប្រជុំជន,,ភាគរយ,,34.3
2004,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ទីប្រជុំជន,,ភាគរយ,,70.3
2007,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ទីប្រជុំជន,,ភាគរយ,,76.1
2008,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ទីប្រជុំជន,,ភាគរយ,,75.9
2009,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ទីប្រជុំជន,,ភាគរយ,,84.8
2010,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ទីប្រជុំជន,,ភាគរយ,,86.4
2011,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ទីប្រជុំជន,,ភាគរយ,,87.4
2012,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ទីប្រជុំជន,,ភាគរយ,,86.4
2013,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ទីប្រជុំជន,,ភាគរយ,,93.0
2014,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ទីប្រជុំជន,,ភាគរយ,,89.0
2015,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ទីប្រជុំជន,,ភាគរយ,,92.1
2016,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ទីប្រជុំជន,,ភាគរយ,,93.6
2017,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ទីប្រជុំជន,,ភាគរយ,,94.4
2019,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ទីប្រជុំជន,,ភាគរយ,,90.57
1993,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ជនបទ,,ភាគរយ,,6.2
1996,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ជនបទ,,ភាគរយ,,7.9
1997,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ជនបទ,,ភាគរយ,,7.8
1999,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ជនបទ,,ភាគរយ,,10.1
2004,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ជនបទ,,ភាគរយ,,14.8
2007,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ជនបទ,,ភាគរយ,,20.3
2008,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ជនបទ,,ភាគរយ,,22.8
2009,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ជនបទ,,ភាគរយ,,22.9
2010,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ជនបទ,,ភាគរយ,,29.2
2011,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ជនបទ,,ភាគរយ,,33.2
2012,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ជនបទ,,ភាគរយ,,33.3
2013,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ជនបទ,,ភាគរយ,,40.9
2014,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ជនបទ,,ភាគរយ,,46.9
2015,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ជនបទ,,ភាគរយ,,53.7
2016,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ជនបទ,,ភាគរយ,,67.4
2017,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ជនបទ,,ភាគរយ,,71.2
2019,៦.២.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រាស់សេវាអនាម័យបានកែលម្អ,,ជនបទ,,ភាគរយ,,74.15
