Year,SERIES,តំបន់យោង,ភេទ,អាយុ,UNIT_MEASURE,GeoCode,Value
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,78.1
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,77.1
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,63.7
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,69.9
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,71.7
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,69.0
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,74.9
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,79.2
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,78.3
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,82.0
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,79.1
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,82.1
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,87.5
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,85.7
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ២៥ ទៅ ៣៤ ឆ្នាំ,ភាគរយ,,88.0
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,56.6
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,64.1
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,67.0
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,63.5
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,66.8
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,69.3
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,74.2
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,73.8
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,67.8
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,71.9
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,76.4
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,71.2
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៣៥ ទៅ ៤៤ ឆ្នាំ,ភាគរយ,,75.2
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,14.3
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,17.1
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,19.6
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,18.6
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,22.4
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,25.9
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,26.1
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,27.1
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,28.4
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,36.8
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,39.8
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,39.0
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុ ៦៥ ឆ្នាំឡើងទៅ,ភាគរយ,,44.0
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,54.6
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,59.4
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,58.9
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,54.6
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,58.5
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,62.6
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,61.9
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,62.3
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,57.1
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,64.0
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,67.1
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,69.3
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៤៥ ទៅ ៥៤ ឆ្នាំ,ភាគរយ,,68.0
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,37.2
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,45.4
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,47.6
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,51.2
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,49.8
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,54.9
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,56.2
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,59.7
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,55.9
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,58.5
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,65.1
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,63.6
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ស្រី,អាយុពី ៥៥ ទៅ ៦៤ ឆ្នាំ,ភាគរយ,,57.2
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៦ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,62.1
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៦ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,65.0
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៦ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,73.3
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៦ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,72.5
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៦ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,74.6
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៦ ឆ្នាំឡើងទៅ,ភាគរយ,,80.1
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៦ ឆ្នាំឡើងទៅ,ភាគរយ,,81.7
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៦ ឆ្នាំឡើងទៅ,ភាគរយ,,86.3
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៦ ឆ្នាំឡើងទៅ,ភាគរយ,,84.0
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៦ ឆ្នាំឡើងទៅ,ភាគរយ,,84.4
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,60.4
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,62.5
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,68.0
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,66.6
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,65.9
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,68.6
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,62.2
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ៧ ទៅ ១៤ ឆ្នាំ,ភាគរយ,,61.1
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,74.8
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,79.7
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,80.7
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,79.1
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,80.9
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,83.7
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,81.1
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ៧ ឆ្នាំឡើងទៅ,ភាគរយ,,81.7
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,84.1
2007,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,91.3
2008,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,89.6
2009,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,88.3
2010,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,89.4
2011,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,91.6
2012,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,92.8
2013,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,93.1
2014,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,89.9
2015,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,91.9
2016,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,95.0
2017,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,93.5
2019,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុពី ១៥ ទៅ ២៤ ឆ្នាំ,ភាគរយ,,93.1
2004,៤.៦.១ អត្រាអក្ខរជនតាមក្រុមអាយុ,,ប្រុស,អាយុ ១៥ ឆ្នាំឡើងទៅ,ភាគរយ,,80.3
