Year,SERIES,តំបន់យោង,កំរិតនគរូបនីយកម្ម,UNIT_MEASURE,GeoCode,Value
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,បន្ទាយមានជ័យ,,ភាគរយ,KH01,33.1
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,បន្ទាយមានជ័យ,,ភាគរយ,KH01,69.0
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,បន្ទាយមានជ័យ,,ភាគរយ,KH01,95.8
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ចាម,,ភាគរយ,KH03,22.5
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ចាម,,ភាគរយ,KH03,45.9
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ចាម,,ភាគរយ,KH03,67.9
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ចាម,,ភាគរយ,KH03,91.5
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ឆ្នាំង,,ភាគរយ,KH04,16.6
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ឆ្នាំង,,ភាគរយ,KH04,37.2
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ឆ្នាំង,,ភាគរយ,KH04,59.8
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ឆ្នាំង,,ភាគរយ,KH04,97.6
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ស្ពឺ,,ភាគរយ,KH05,15.1
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ស្ពឺ,,ភាគរយ,KH05,22.7
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ស្ពឺ,,ភាគរយ,KH05,68.2
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ស្ពឺ,,ភាគរយ,KH05,89.3
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ធំ,,ភាគរយ,KH06,15.4
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ធំ,,ភាគរយ,KH06,24.5
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ធំ,,ភាគរយ,KH06,47.7
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពង់ធំ,,ភាគរយ,KH06,80.4
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កណ្តាល,,ភាគរយ,KH08,53.0
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កណ្តាល,,ភាគរយ,KH08,73.5
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កណ្តាល,,ភាគរយ,KH08,87.0
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កណ្តាល,,ភាគរយ,KH08,95.7
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កោះកុង,,ភាគរយ,KH09,30.6
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ខេត្តក្រចេះ,,ភាគរយ,KH10,28.6
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ខេត្តក្រចេះ,,ភាគរយ,KH10,44.4
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ខេត្តក្រចេះ,,ភាគរយ,KH10,51.9
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ឧត្តរមានជ័យ,,ភាគរយ,KH22,15.2
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ឧត្តរមានជ័យ,,ភាគរយ,KH22,64.4
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ឧត្តរមានជ័យ,,ភាគរយ,KH22,88.7
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ភ្នំពេញ,,ភាគរយ,KH12,88.9
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ភ្នំពេញ,,ភាគរយ,KH12,86.0
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ភ្នំពេញ,,ភាគរយ,KH12,98.8
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ភ្នំពេញ,,ភាគរយ,KH12,96.1
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ព្រៃវែង,,ភាគរយ,KH14,25.3
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ព្រៃវែង,,ភាគរយ,KH14,28.0
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ព្រៃវែង,,ភាគរយ,KH14,59.2
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ព្រៃវែង,,ភាគរយ,KH14,97.6
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ពោធិសាត់,,ភាគរយ,KH15,19.0
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ពោធិសាត់,,ភាគរយ,KH15,31.7
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ពោធិសាត់,,ភាគរយ,KH15,73.9
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ពោធិសាត់,,ភាគរយ,KH15,86.1
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,សៀមរាប,,ភាគរយ,KH17,28.6
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,សៀមរាប,,ភាគរយ,KH17,72.7
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,សៀមរាប,,ភាគរយ,KH17,93.0
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ស្វាយរៀង,,ភាគរយ,KH20,22.4
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ស្វាយរៀង,,ភាគរយ,KH20,28.9
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ស្វាយរៀង,,ភាគរយ,KH20,89.6
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ស្វាយរៀង,,ភាគរយ,KH20,94.3
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,តាកែវ,,ភាគរយ,KH21,39.5
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,តាកែវ,,ភាគរយ,KH21,62.1
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,តាកែវ,,ភាគរយ,KH21,85.4
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,តាកែវ,,ភាគរយ,KH21,97.4
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ខេត្តបាត់ដំបងនិងប៉ៃលិន,,ភាគរយ,KH_AGG_KH02_KH24,44.7
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ខេត្តបាត់ដំបងនិងប៉ៃលិន,,ភាគរយ,KH_AGG_KH02_KH24,59.3
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ខេត្តបាត់ដំបងនិងប៉ៃលិន,,ភាគរយ,KH_AGG_KH02_KH24,78.1
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ខេត្តបាត់ដំបងនិងប៉ៃលិន,,ភាគរយ,KH_AGG_KH02_KH24,94.1
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពតព្រះសីហនុនិងកែប,,ភាគរយ,KH_AGG_KH07_KH18_KH23,30.8
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ខេត្តក្រចេះព្រះវិហារនិងស្ទឹងត្រែង,,ភាគរយ,KH_AGG_KH10_KH13_KH19,40.5
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,មណ្ឌលគីរីនិងរតនគិរី,,ភាគរយ,KH_AGG_KH11_KH16,14.2
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,មណ្ឌលគីរីនិងរតនគិរី,,ភាគរយ,KH_AGG_KH11_KH16,13.7
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,មណ្ឌលគីរីនិងរតនគិរី,,ភាគរយ,KH_AGG_KH11_KH16,38.4
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,មណ្ឌលគីរីនិងរតនគិរី,,ភាគរយ,KH_AGG_KH11_KH16,53.6
2000,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ឧត្តរមានជ័យនិងសៀមរាប,,ភាគរយ,KH_AGG_KH22_KH17,12.0
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពតនិងកែប,,ភាគរយ,KH_AGG_KH07_KH23,41.0
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពតនិងកែប,,ភាគរយ,KH_AGG_KH07_KH23,66.5
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កំពតនិងកែប,,ភាគរយ,KH_AGG_KH07_KH23,90.5
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កោះកុងនិងព្រះសីហនុ,,ភាគរយ,KH_KH09_KH18,57.1
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កោះកុងនិងព្រះសីហនុ,,ភាគរយ,KH_KH09_KH18,79.2
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,កោះកុងនិងព្រះសីហនុ,,ភាគរយ,KH_KH09_KH18,97.5
2005,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ព្រះវិហារនិងស្ទឹងត្រែង,,ភាគរយ,KH_AGG_KH13_KH19,12.9
2010,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ព្រះវិហារនិងស្ទឹងត្រែង,,ភាគរយ,KH_AGG_KH13_KH19,28.2
2014,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ព្រះវិហារនិងស្ទឹងត្រែង,,ភាគរយ,KH_AGG_KH13_KH19,54.6
