Year,SERIES,តំបន់យោង,ភេទ,UNIT_MEASURE,GeoCode,Value
2012,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,,ស្រី,ភាគរយ,,21.95
2013,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,,ស្រី,ភាគរយ,,21.95
2014,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,,ស្រី,ភាគរយ,,15.45
2015,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,,ស្រី,ភាគរយ,,15.45
2016,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,,ស្រី,ភាគរយ,,15.45
2017,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,,ស្រី,ភាគរយ,,15.45
2018,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,,ស្រី,ភាគរយ,,15.2
2019,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,,ស្រី,ភាគរយ,,15.2
2020,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,,ស្រី,ភាគរយ,,15.2
2021,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,,ស្រី,ភាគរយ,,15.2
1993,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
1994,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
1995,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
1996,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
1997,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
1998,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
1999,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
2000,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
2001,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
2002,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
2003,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
2008,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
2009,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
2010,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
2011,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
2012,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
2013,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
2014,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
2015,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
2016,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
2017,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
2018,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
2019,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
2020,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
2021,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ស្ទឹងត្រែង,ស្រី,ភាគរយ,KH19,0.0
1993,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,33.33
1994,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,0.0
1995,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,0.0
1996,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,0.0
1997,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,0.0
1998,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,33.33
1999,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,33.33
2000,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,33.33
2001,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,33.33
2002,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,33.33
2003,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,33.33
2008,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,33.33
2009,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,33.33
2010,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,33.33
2011,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,33.33
2012,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,33.33
2013,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,33.33
2014,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,66.67
2015,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,66.67
2016,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,66.67
2017,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,66.67
2018,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,33.33
2019,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,33.33
2020,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,33.33
2021,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ខេត្តក្រចេះ,ស្រី,ភាគរយ,KH10,33.33
1993,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,0.0
1994,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,0.0
1995,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,0.0
1996,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,0.0
1997,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,0.0
1998,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,16.67
1999,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,16.67
2000,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,16.67
2001,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,16.67
2002,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,16.67
2003,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,16.67
2008,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,33.33
2009,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,33.33
2010,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,33.33
2011,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,33.33
2012,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,33.33
2013,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,33.33
2014,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,16.67
2015,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,16.67
2016,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,16.67
2017,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,16.67
2018,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,16.67
2019,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,16.67
2020,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,16.67
2021,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,សៀមរាប,ស្រី,ភាគរយ,KH17,16.67
1993,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
1994,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
1995,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
1996,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
1997,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
1998,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
1999,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
2000,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
2001,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
2002,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
2003,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
2008,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
2009,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
2010,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,100.0
2011,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,100.0
2012,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,100.0
2013,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,100.0
2014,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
2015,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
2016,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
2017,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
2018,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
2019,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
2020,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
2021,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,មណ្ឌលគីរី,ស្រី,ភាគរយ,KH11,0.0
1998,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,0.0
1999,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,0.0
2000,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,0.0
2001,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,0.0
2002,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,0.0
2003,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,0.0
2008,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,0.0
2009,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,0.0
2010,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,0.0
2011,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,0.0
2012,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,0.0
2013,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,0.0
2014,៥.៥.១ សមាមាត្រអាសនៈរបស់្រសី្តនៅក្នុងស្ថាប័ននីតិប្បញ្ញត្តិ,ប៉ៃលិន,ស្រី,ភាគរយ,KH24,100.0
