Year,SERIES,តំបន់យោង,ភេទ,កំរិតនគរូបនីយកម្ម,UNIT_MEASURE,GeoCode,Value
2008,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ទីប្រជុំជន,ភាគរយ,,73.1
2009,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ទីប្រជុំជន,ភាគរយ,,64.8
2010,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ទីប្រជុំជន,ភាគរយ,,55.9
2011,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ទីប្រជុំជន,ភាគរយ,,50.3
2012,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ទីប្រជុំជន,ភាគរយ,,50.9
2013,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ទីប្រជុំជន,ភាគរយ,,50.0
2014,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ទីប្រជុំជន,ភាគរយ,,49.7
2015,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ទីប្រជុំជន,ភាគរយ,,44.7
2016,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ទីប្រជុំជន,ភាគរយ,,46.4
2017,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ទីប្រជុំជន,ភាគរយ,,47.8
2018,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ទីប្រជុំជន,ភាគរយ,,48.3
2019,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ទីប្រជុំជន,ភាគរយ,,48.2
2004,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ជនបទ,ភាគរយ,,15.6
2005,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ជនបទ,ភាគរយ,,15.2
2006,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ជនបទ,ភាគរយ,,29.5
2007,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ជនបទ,ភាគរយ,,38.4
2008,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ជនបទ,ភាគរយ,,41.5
2009,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ជនបទ,ភាគរយ,,43.7
2010,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ជនបទ,ភាគរយ,,41.4
2011,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ជនបទ,ភាគរយ,,39.5
2012,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ជនបទ,ភាគរយ,,37.7
2013,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ជនបទ,ភាគរយ,,37.6
2014,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ជនបទ,ភាគរយ,,39.8
2015,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ជនបទ,ភាគរយ,,40.4
2016,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ជនបទ,ភាគរយ,,45.9
2017,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ជនបទ,ភាគរយ,,49.3
2018,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ជនបទ,ភាគរយ,,50.7
2019,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,ជនបទ,ភាគរយ,,49.9
2004,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,តំបន់ដាច់ស្រយាល,ភាគរយ,,14.9
2005,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,តំបន់ដាច់ស្រយាល,ភាគរយ,,10.6
2006,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,តំបន់ដាច់ស្រយាល,ភាគរយ,,11.8
2007,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,តំបន់ដាច់ស្រយាល,ភាគរយ,,16.8
2008,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ស្រី,តំបន់ដាច់ស្រយាល,ភាគរយ,,20.2
2005,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,,ភាគរយ,,20.0
2006,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,,ភាគរយ,,48.8
2007,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,,ភាគរយ,,52.9
2008,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,,ភាគរយ,,52.1
2009,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,,ភាគរយ,,50.0
2010,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,,ភាគរយ,,44.6
2011,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,,ភាគរយ,,42.6
2012,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,,ភាគរយ,,42.2
2013,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,,ភាគរយ,,38.2
2014,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,,ភាគរយ,,38.9
2015,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,,ភាគរយ,,37.3
2016,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,,ភាគរយ,,39.4
2017,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,,ភាគរយ,,40.4
2018,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,,ភាគរយ,,40.7
2019,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,,ភាគរយ,,39.7
2005,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ទីប្រជុំជន,ភាគរយ,,33.4
2006,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ទីប្រជុំជន,ភាគរយ,,81.4
2007,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ទីប្រជុំជន,ភាគរយ,,86.6
2008,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ទីប្រជុំជន,ភាគរយ,,85.1
2009,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ទីប្រជុំជន,ភាគរយ,,71.5
2010,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ទីប្រជុំជន,ភាគរយ,,66.0
2011,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ទីប្រជុំជន,ភាគរយ,,54.8
2012,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ទីប្រជុំជន,ភាគរយ,,52.1
2013,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ទីប្រជុំជន,ភាគរយ,,49.5
2014,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ទីប្រជុំជន,ភាគរយ,,49.5
2015,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ទីប្រជុំជន,ភាគរយ,,44.4
2016,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ទីប្រជុំជន,ភាគរយ,,43.7
2017,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ទីប្រជុំជន,ភាគរយ,,43.4
2018,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ទីប្រជុំជន,ភាគរយ,,43.3
2019,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ទីប្រជុំជន,ភាគរយ,,43.8
2005,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ជនបទ,ភាគរយ,,17.1
2006,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ជនបទ,ភាគរយ,,43.2
2007,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ជនបទ,ភាគរយ,,47.4
2008,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ជនបទ,ភាគរយ,,47.1
2009,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ជនបទ,ភាគរយ,,45.7
2010,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ជនបទ,ភាគរយ,,40.2
2011,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ជនបទ,ភាគរយ,,39.8
2012,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ជនបទ,ភាគរយ,,37.8
2013,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ជនបទ,ភាគរយ,,35.6
2014,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ជនបទ,ភាគរយ,,36.3
2015,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ជនបទ,ភាគរយ,,35.6
2016,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ជនបទ,ភាគរយ,,38.3
2017,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ជនបទ,ភាគរយ,,39.6
2018,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ជនបទ,ភាគរយ,,40.0
2019,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,ជនបទ,ភាគរយ,,38.7
2005,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,តំបន់ដាច់ស្រយាល,ភាគរយ,,13.7
2006,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,តំបន់ដាច់ស្រយាល,ភាគរយ,,16.1
2007,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,តំបន់ដាច់ស្រយាល,ភាគរយ,,19.6
2008,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ប្រុស,តំបន់ដាច់ស្រយាល,ភាគរយ,,24.0
2004,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,,ភាគរយ,,20.6
2005,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,,ភាគរយ,,19.3
2006,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,,ភាគរយ,,41.9
2007,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,,ភាគរយ,,48.7
2008,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,,ភាគរយ,,49.0
2009,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,,ភាគរយ,,48.7
2010,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,,ភាគរយ,,44.4
2011,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,,ភាគរយ,,42.1
2012,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,,ភាគរយ,,40.6
2013,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,,ភាគរយ,,39.1
2014,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,,ភាគរយ,,40.3
2015,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,,ភាគរយ,,39.2
2016,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,,ភាគរយ,,42.6
2017,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,,ភាគរយ,,44.5
2018,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,,ភាគរយ,,45.3
2019,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,,ភាគរយ,,44.5
2004,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ទីប្រជុំជន,ភាគរយ,,36.7
2005,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ទីប្រជុំជន,ភាគរយ,,33.6
2006,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ទីប្រជុំជន,ភាគរយ,,75.9
2007,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ទីប្រជុំជន,ភាគរយ,,83.3
2008,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ទីប្រជុំជន,ភាគរយ,,79.0
2009,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ទីប្រជុំជន,ភាគរយ,,68.2
2010,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ទីប្រជុំជន,ភាគរយ,,60.8
2011,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ទីប្រជុំជន,ភាគរយ,,52.6
2012,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ទីប្រជុំជន,ភាគរយ,,51.5
2013,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ទីប្រជុំជន,ភាគរយ,,49.7
2014,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ទីប្រជុំជន,ភាគរយ,,49.6
2015,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ទីប្រជុំជន,ភាគរយ,,44.5
2016,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ទីប្រជុំជន,ភាគរយ,,45.0
2017,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ទីប្រជុំជន,ភាគរយ,,45.6
2018,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ទីប្រជុំជន,ភាគរយ,,45.8
2019,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ទីប្រជុំជន,ភាគរយ,,46.0
2004,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ជនបទ,ភាគរយ,,16.7
2005,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ជនបទ,ភាគរយ,,16.2
2006,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ជនបទ,ភាគរយ,,36.2
2007,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ជនបទ,ភាគរយ,,43.0
2008,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ជនបទ,ភាគរយ,,44.3
2009,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ជនបទ,ភាគរយ,,44.7
2010,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ជនបទ,ភាគរយ,,40.8
2011,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ជនបទ,ភាគរយ,,39.7
2012,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ជនបទ,ភាគរយ,,37.7
2013,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ជនបទ,ភាគរយ,,36.6
2014,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ជនបទ,ភាគរយ,,38.0
2015,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ជនបទ,ភាគរយ,,37.9
2016,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ជនបទ,ភាគរយ,,42.0
2017,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ជនបទ,ភាគរយ,,44.3
2018,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ជនបទ,ភាគរយ,,45.1
2019,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,ជនបទ,ភាគរយ,,44.1
2004,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,តំបន់ដាច់ស្រយាល,ភាគរយ,,15.1
2005,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,តំបន់ដាច់ស្រយាល,ភាគរយ,,12.1
2006,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,តំបន់ដាច់ស្រយាល,ភាគរយ,,14.0
2007,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,តំបន់ដាច់ស្រយាល,ភាគរយ,,18.3
2008,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,,តំបន់ដាច់ស្រយាល,ភាគរយ,,22.0
2009,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,KH01,47.9
2010,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,KH01,51.4
2011,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,KH01,37.3
2012,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,KH01,34.5
2013,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,KH01,32.6
2014,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,KH01,34.5
2015,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,KH01,33.1
2016,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,KH01,36.7
2017,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,KH01,38.2
2018,៤.១.១.២ អត្រាបញ្ចប់ការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,បន្ទាយមានជ័យ,ស្រី,,ភាគរយ,KH01,41.3
