Year,SERIES,តំបន់យោង,កំរិតនគរូបនីយកម្ម,UNIT_MEASURE,GeoCode,Value
1997,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ទីប្រជុំជន,ភាគរយ,,22.3
1999,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ទីប្រជុំជន,ភាគរយ,,24.4
2004,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ទីប្រជុំជន,ភាគរយ,,44.0
2007,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ទីប្រជុំជន,ភាគរយ,,56.0
2008,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ទីប្រជុំជន,ភាគរយ,,62.1
2009,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ទីប្រជុំជន,ភាគរយ,,76.7
2010,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ទីប្រជុំជន,ភាគរយ,,78.1
2011,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ទីប្រជុំជន,ភាគរយ,,80.9
2012,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ទីប្រជុំជន,ភាគរយ,,87.0
2013,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ទីប្រជុំជន,ភាគរយ,,94.3
2014,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ទីប្រជុំជន,ភាគរយ,,91.8
2015,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ទីប្រជុំជន,ភាគរយ,,94.3
2016,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ទីប្រជុំជន,ភាគរយ,,93.4
2017,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ទីប្រជុំជន,ភាគរយ,,96.6
2019,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ទីប្រជុំជន,ភាគរយ,,96.8
1993,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ជនបទ,ភាគរយ,,3.0
1996,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ជនបទ,ភាគរយ,,5.3
1997,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ជនបទ,ភាគរយ,,2.2
1999,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ជនបទ,ភាគរយ,,2.4
2004,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ជនបទ,ភាគរយ,,2.3
2007,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ជនបទ,ភាគរយ,,10.3
2008,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ជនបទ,ភាគរយ,,11.3
2009,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ជនបទ,ភាគរយ,,11.5
2010,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ជនបទ,ភាគរយ,,18.8
2011,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ជនបទ,ភាគរយ,,24.0
2012,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ជនបទ,ភាគរយ,,26.8
2013,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ជនបទ,ភាគរយ,,37.9
2014,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ជនបទ,ភាគរយ,,48.3
2015,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ជនបទ,ភាគរយ,,63.3
2016,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ជនបទ,ភាគរយ,,76.4
2017,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ជនបទ,ភាគរយ,,82.4
2019,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,,ជនបទ,ភាគរយ,,79.1
