Year,SERIES,តំបន់យោង,កំរិតនគរូបនីយកម្ម,UNIT_MEASURE,GeoCode,Value
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),បន្ទាយមានជ័យ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH01,2.7
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),បន្ទាយមានជ័យ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH01,3.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),បាត់ដំបង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH02,3.2
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ចាម,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH03,4.2
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ចាម,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH03,3.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ចាម,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH03,3.1
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ចាម,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH03,3.4
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ឆ្នាំង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH04,5.2
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ឆ្នាំង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH04,4.3
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ឆ្នាំង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH04,3.6
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ឆ្នាំង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH04,3.6
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ស្ពឺ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH05,4.6
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ស្ពឺ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH05,3.7
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ស្ពឺ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH05,3.4
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ស្ពឺ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH05,3.1
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ធំ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH06,4.3
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ធំ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH06,3.7
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ធំ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH06,3.3
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពង់ធំ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH06,3.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពត,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH07,3.1
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កណ្តាល,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH08,3.8
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កណ្តាល,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH08,3.1
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កណ្តាល,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH08,2.8
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កណ្តាល,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH08,2.9
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កែប,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH23,3.3
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កោះកុង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH09,4.3
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កោះកុង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH09,3.6
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ខេត្តក្រចេះ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH10,4.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ខេត្តក្រចេះ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH10,3.7
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ខេត្តក្រចេះ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH10,3.9
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),មណ្ឌលគីរី,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH11,4.5
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ឧត្តរមានជ័យ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH22,4.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ឧត្តរមានជ័យ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH22,3.3
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ឧត្តរមានជ័យ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH22,3.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ប៉ៃលិន,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH24,3.6
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ភ្នំពេញ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH12,2.1
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ភ្នំពេញ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH12,2.5
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ភ្នំពេញ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH12,2.0
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ភ្នំពេញ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH12,2.0
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ព្រះសីហនុ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH18,3.1
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ព្រះវិហារ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH13,4.0
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ព្រៃវែង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH14,3.5
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ព្រៃវែង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH14,3.0
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ព្រៃវែង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH14,2.9
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ព្រៃវែង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH14,3.3
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ពោធិសាត់,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH15,4.9
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ពោធិសាត់,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH15,3.9
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ពោធិសាត់,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH15,3.6
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ពោធិសាត់,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH15,3.4
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),រតនគិរី,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH16,4.9
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),សៀមរាប,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH17,4.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),សៀមរាប,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH17,3.2
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),សៀមរាប,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH17,3.4
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ស្ទឹងត្រែង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH19,4.2
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ស្វាយរៀង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH20,3.5
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ស្វាយរៀង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH20,3.0
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ស្វាយរៀង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH20,2.8
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ស្វាយរៀង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH20,2.6
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),តាកែវ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH21,4.1
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),តាកែវ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH21,3.2
2008,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),តាកែវ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH21,3.0
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),តាកែវ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH21,3.1
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ខេត្តបាត់ដំបងនិងប៉ៃលិន,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH_AGG_KH02_KH24,4.5
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ខេត្តបាត់ដំបងនិងប៉ៃលិន,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH_AGG_KH02_KH24,3.5
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ខេត្តបាត់ដំបងនិងប៉ៃលិន,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH_AGG_KH02_KH24,3.2
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពតព្រះសីហនុនិងកែប,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH_AGG_KH07_KH18_KH23,4.1
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ខេត្តក្រចេះព្រះវិហារនិងស្ទឹងត្រែង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH_AGG_KH10_KH13_KH19,4.6
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),មណ្ឌលគីរីនិងរតនគិរី,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH_AGG_KH11_KH16,6.3
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),មណ្ឌលគីរីនិងរតនគិរី,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH_AGG_KH11_KH16,5.2
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),មណ្ឌលគីរីនិងរតនគិរី,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH_AGG_KH11_KH16,4.5
2000,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ឧត្តរមានជ័យនិងសៀមរាប,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH_AGG_KH22_KH17,4.6
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពតនិងកែប,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH_AGG_KH07_KH23,3.2
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កំពតនិងកែប,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH_AGG_KH07_KH23,2.8
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កោះកុងនិងព្រះសីហនុ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH_KH09_KH18,3.9
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),កោះកុងនិងព្រះសីហនុ,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH_KH09_KH18,2.9
2005,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ព្រះវិហារនិងស្ទឹងត្រែង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH_AGG_KH13_KH19,4.9
2010,៣.១.២ អត្រាលទ្ធភាពបង្កើតកូនសរុប (ចំនួនកូនកើតក្នុងស្រ្តីម្នាក់),ព្រះវិហារនិងស្ទឹងត្រែង,,កំណើតរស់ក្នុងស្ត្រីម្នាក់,KH_AGG_KH13_KH19,3.5
