Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2011,N_KH_04010102_01,,F,R,PT,,39.5
2012,N_KH_04010102_01,,F,R,PT,,37.7
2013,N_KH_04010102_01,,F,R,PT,,37.6
2014,N_KH_04010102_01,,F,R,PT,,39.8
2015,N_KH_04010102_01,,F,R,PT,,40.4
2016,N_KH_04010102_01,,F,R,PT,,45.9
2017,N_KH_04010102_01,,F,R,PT,,49.3
2018,N_KH_04010102_01,,F,R,PT,,50.7
2019,N_KH_04010102_01,,F,R,PT,,49.9
2004,N_KH_04010102_01,,F,REMOTE,PT,,14.9
2005,N_KH_04010102_01,,F,REMOTE,PT,,10.6
2006,N_KH_04010102_01,,F,REMOTE,PT,,11.8
2007,N_KH_04010102_01,,F,REMOTE,PT,,16.8
2008,N_KH_04010102_01,,F,REMOTE,PT,,20.2
2005,N_KH_04010102_01,,M,,PT,,20.0
2006,N_KH_04010102_01,,M,,PT,,48.8
2007,N_KH_04010102_01,,M,,PT,,52.9
2008,N_KH_04010102_01,,M,,PT,,52.1
2009,N_KH_04010102_01,,M,,PT,,50.0
2010,N_KH_04010102_01,,M,,PT,,44.6
2011,N_KH_04010102_01,,M,,PT,,42.6
2012,N_KH_04010102_01,,M,,PT,,42.2
2013,N_KH_04010102_01,,M,,PT,,38.2
2014,N_KH_04010102_01,,M,,PT,,38.9
2015,N_KH_04010102_01,,M,,PT,,37.3
2016,N_KH_04010102_01,,M,,PT,,39.4
2017,N_KH_04010102_01,,M,,PT,,40.4
2018,N_KH_04010102_01,,M,,PT,,40.7
2019,N_KH_04010102_01,,M,,PT,,39.7
2005,N_KH_04010102_01,,M,U,PT,,33.4
2006,N_KH_04010102_01,,M,U,PT,,81.4
2007,N_KH_04010102_01,,M,U,PT,,86.6
2008,N_KH_04010102_01,,M,U,PT,,85.1
2009,N_KH_04010102_01,,M,U,PT,,71.5
2010,N_KH_04010102_01,,M,U,PT,,66.0
2011,N_KH_04010102_01,,M,U,PT,,54.8
2012,N_KH_04010102_01,,M,U,PT,,52.1
2013,N_KH_04010102_01,,M,U,PT,,49.5
2014,N_KH_04010102_01,,M,U,PT,,49.5
2015,N_KH_04010102_01,,M,U,PT,,44.4
2016,N_KH_04010102_01,,M,U,PT,,43.7
2017,N_KH_04010102_01,,M,U,PT,,43.4
2018,N_KH_04010102_01,,M,U,PT,,43.3
2019,N_KH_04010102_01,,M,U,PT,,43.8
2005,N_KH_04010102_01,,M,R,PT,,17.1
2006,N_KH_04010102_01,,M,R,PT,,43.2
2007,N_KH_04010102_01,,M,R,PT,,47.4
2008,N_KH_04010102_01,,M,R,PT,,47.1
2009,N_KH_04010102_01,,M,R,PT,,45.7
2010,N_KH_04010102_01,,M,R,PT,,40.2
2011,N_KH_04010102_01,,M,R,PT,,39.8
2012,N_KH_04010102_01,,M,R,PT,,37.8
2013,N_KH_04010102_01,,M,R,PT,,35.6
2014,N_KH_04010102_01,,M,R,PT,,36.3
2015,N_KH_04010102_01,,M,R,PT,,35.6
2016,N_KH_04010102_01,,M,R,PT,,38.3
2017,N_KH_04010102_01,,M,R,PT,,39.6
2018,N_KH_04010102_01,,M,R,PT,,40.0
2019,N_KH_04010102_01,,M,R,PT,,38.7
2005,N_KH_04010102_01,,M,REMOTE,PT,,13.7
2006,N_KH_04010102_01,,M,REMOTE,PT,,16.1
2007,N_KH_04010102_01,,M,REMOTE,PT,,19.6
2008,N_KH_04010102_01,,M,REMOTE,PT,,24.0
2004,N_KH_04010102_01,,,,PT,,20.6
2005,N_KH_04010102_01,,,,PT,,19.3
2006,N_KH_04010102_01,,,,PT,,41.9
2007,N_KH_04010102_01,,,,PT,,48.7
2008,N_KH_04010102_01,,,,PT,,49.0
2009,N_KH_04010102_01,,,,PT,,48.7
2010,N_KH_04010102_01,,,,PT,,44.4
2011,N_KH_04010102_01,,,,PT,,42.1
2012,N_KH_04010102_01,,,,PT,,40.6
2013,N_KH_04010102_01,,,,PT,,39.1
2014,N_KH_04010102_01,,,,PT,,40.3
2015,N_KH_04010102_01,,,,PT,,39.2
2016,N_KH_04010102_01,,,,PT,,42.6
2017,N_KH_04010102_01,,,,PT,,44.5
2018,N_KH_04010102_01,,,,PT,,45.3
2019,N_KH_04010102_01,,,,PT,,44.5
2004,N_KH_04010102_01,,,U,PT,,36.7
2005,N_KH_04010102_01,,,U,PT,,33.6
2006,N_KH_04010102_01,,,U,PT,,75.9
2007,N_KH_04010102_01,,,U,PT,,83.3
2008,N_KH_04010102_01,,,U,PT,,79.0
2009,N_KH_04010102_01,,,U,PT,,68.2
2010,N_KH_04010102_01,,,U,PT,,60.8
2011,N_KH_04010102_01,,,U,PT,,52.6
2012,N_KH_04010102_01,,,U,PT,,51.5
2013,N_KH_04010102_01,,,U,PT,,49.7
2014,N_KH_04010102_01,,,U,PT,,49.6
2015,N_KH_04010102_01,,,U,PT,,44.5
2016,N_KH_04010102_01,,,U,PT,,45.0
2017,N_KH_04010102_01,,,U,PT,,45.6
2018,N_KH_04010102_01,,,U,PT,,45.8
2019,N_KH_04010102_01,,,U,PT,,46.0
2004,N_KH_04010102_01,,,R,PT,,16.7
2005,N_KH_04010102_01,,,R,PT,,16.2
2006,N_KH_04010102_01,,,R,PT,,36.2
2007,N_KH_04010102_01,,,R,PT,,43.0
2008,N_KH_04010102_01,,,R,PT,,44.3
2009,N_KH_04010102_01,,,R,PT,,44.7
2010,N_KH_04010102_01,,,R,PT,,40.8
2011,N_KH_04010102_01,,,R,PT,,39.7
2012,N_KH_04010102_01,,,R,PT,,37.7
2013,N_KH_04010102_01,,,R,PT,,36.6
2014,N_KH_04010102_01,,,R,PT,,38.0
2015,N_KH_04010102_01,,,R,PT,,37.9
2016,N_KH_04010102_01,,,R,PT,,42.0
2017,N_KH_04010102_01,,,R,PT,,44.3
2018,N_KH_04010102_01,,,R,PT,,45.1
2019,N_KH_04010102_01,,,R,PT,,44.1
2004,N_KH_04010102_01,,,REMOTE,PT,,15.1
2005,N_KH_04010102_01,,,REMOTE,PT,,12.1
2006,N_KH_04010102_01,,,REMOTE,PT,,14.0
2007,N_KH_04010102_01,,,REMOTE,PT,,18.3
2008,N_KH_04010102_01,,,REMOTE,PT,,22.0
2009,N_KH_04010102_01,KH01,F,,PT,KH01,47.9
2010,N_KH_04010102_01,KH01,F,,PT,KH01,51.4
2011,N_KH_04010102_01,KH01,F,,PT,KH01,37.3
2012,N_KH_04010102_01,KH01,F,,PT,KH01,34.5
2013,N_KH_04010102_01,KH01,F,,PT,KH01,32.6
2014,N_KH_04010102_01,KH01,F,,PT,KH01,34.5
2015,N_KH_04010102_01,KH01,F,,PT,KH01,33.1
2016,N_KH_04010102_01,KH01,F,,PT,KH01,36.7
2017,N_KH_04010102_01,KH01,F,,PT,KH01,38.2
2018,N_KH_04010102_01,KH01,F,,PT,KH01,41.3
2019,N_KH_04010102_01,KH01,F,,PT,KH01,41.4
2009,N_KH_04010102_01,KH01,M,,PT,KH01,46.0
2010,N_KH_04010102_01,KH01,M,,PT,KH01,50.4
2011,N_KH_04010102_01,KH01,M,,PT,KH01,34.2
2012,N_KH_04010102_01,KH01,M,,PT,KH01,29.8
2013,N_KH_04010102_01,KH01,M,,PT,KH01,28.5
2014,N_KH_04010102_01,KH01,M,,PT,KH01,28.9
2015,N_KH_04010102_01,KH01,M,,PT,KH01,28.8
2016,N_KH_04010102_01,KH01,M,,PT,KH01,31.8
2017,N_KH_04010102_01,KH01,M,,PT,KH01,31.3
2018,N_KH_04010102_01,KH01,M,,PT,KH01,31.9
2019,N_KH_04010102_01,KH01,M,,PT,KH01,31.6
2009,N_KH_04010102_01,KH01,,,PT,KH01,46.9
2010,N_KH_04010102_01,KH01,,,PT,KH01,50.9
2011,N_KH_04010102_01,KH01,,,PT,KH01,35.7
2012,N_KH_04010102_01,KH01,,,PT,KH01,32.1
2013,N_KH_04010102_01,KH01,,,PT,KH01,30.5
2014,N_KH_04010102_01,KH01,,,PT,KH01,31.6
2015,N_KH_04010102_01,KH01,,,PT,KH01,30.9
2016,N_KH_04010102_01,KH01,,,PT,KH01,34.2
2017,N_KH_04010102_01,KH01,,,PT,KH01,34.6
2018,N_KH_04010102_01,KH01,,,PT,KH01,36.4
2019,N_KH_04010102_01,KH01,,,PT,KH01,36.3
2009,N_KH_04010102_01,KH02,F,,PT,KH02,46.5
2010,N_KH_04010102_01,KH02,F,,PT,KH02,41.6
2011,N_KH_04010102_01,KH02,F,,PT,KH02,38.6
2012,N_KH_04010102_01,KH02,F,,PT,KH02,35.6
2013,N_KH_04010102_01,KH02,F,,PT,KH02,34.9
2014,N_KH_04010102_01,KH02,F,,PT,KH02,35.4
2015,N_KH_04010102_01,KH02,F,,PT,KH02,34.6
2016,N_KH_04010102_01,KH02,F,,PT,KH02,36.3
2017,N_KH_04010102_01,KH02,F,,PT,KH02,38.6
2018,N_KH_04010102_01,KH02,F,,PT,KH02,40.6
2019,N_KH_04010102_01,KH02,F,,PT,KH02,41.4
2009,N_KH_04010102_01,KH02,M,,PT,KH02,44.0
2010,N_KH_04010102_01,KH02,M,,PT,KH02,43.0
2011,N_KH_04010102_01,KH02,M,,PT,KH02,33.7
2012,N_KH_04010102_01,KH02,M,,PT,KH02,30.3
2013,N_KH_04010102_01,KH02,M,,PT,KH02,28.3
2014,N_KH_04010102_01,KH02,M,,PT,KH02,28.3
2015,N_KH_04010102_01,KH02,M,,PT,KH02,27.4
2016,N_KH_04010102_01,KH02,M,,PT,KH02,28.5
2017,N_KH_04010102_01,KH02,M,,PT,KH02,30.3
2018,N_KH_04010102_01,KH02,M,,PT,KH02,32.2
2019,N_KH_04010102_01,KH02,M,,PT,KH02,30.8
2009,N_KH_04010102_01,KH02,,,PT,KH02,45.2
2010,N_KH_04010102_01,KH02,,,PT,KH02,42.2
2011,N_KH_04010102_01,KH02,,,PT,KH02,36.1
2012,N_KH_04010102_01,KH02,,,PT,KH02,32.9
2013,N_KH_04010102_01,KH02,,,PT,KH02,31.5
2014,N_KH_04010102_01,KH02,,,PT,KH02,31.8
2015,N_KH_04010102_01,KH02,,,PT,KH02,30.9
2016,N_KH_04010102_01,KH02,,,PT,KH02,32.3
2017,N_KH_04010102_01,KH02,,,PT,KH02,34.3
2018,N_KH_04010102_01,KH02,,,PT,KH02,36.3
2019,N_KH_04010102_01,KH02,,,PT,KH02,35.9
2009,N_KH_04010102_01,KH03,F,,PT,KH03,40.8
2010,N_KH_04010102_01,KH03,F,,PT,KH03,34.6
2011,N_KH_04010102_01,KH03,F,,PT,KH03,38.4
2012,N_KH_04010102_01,KH03,F,,PT,KH03,37.9
2013,N_KH_04010102_01,KH03,F,,PT,KH03,39.8
2014,N_KH_04010102_01,KH03,F,,PT,KH03,47.0
2015,N_KH_04010102_01,KH03,F,,PT,KH03,45.5
2016,N_KH_04010102_01,KH03,F,,PT,KH03,51.4
2017,N_KH_04010102_01,KH03,F,,PT,KH03,54.3
2018,N_KH_04010102_01,KH03,F,,PT,KH03,57.1
2019,N_KH_04010102_01,KH03,F,,PT,KH03,56.1
2009,N_KH_04010102_01,KH03,M,,PT,KH03,40.2
2010,N_KH_04010102_01,KH03,M,,PT,KH03,38.7
2011,N_KH_04010102_01,KH03,M,,PT,KH03,36.4
2012,N_KH_04010102_01,KH03,M,,PT,KH03,35.1
2013,N_KH_04010102_01,KH03,M,,PT,KH03,36.2
2014,N_KH_04010102_01,KH03,M,,PT,KH03,40.8
2015,N_KH_04010102_01,KH03,M,,PT,KH03,38.5
2016,N_KH_04010102_01,KH03,M,,PT,KH03,40.5
2017,N_KH_04010102_01,KH03,M,,PT,KH03,41.1
2018,N_KH_04010102_01,KH03,M,,PT,KH03,42.5
2019,N_KH_04010102_01,KH03,M,,PT,KH03,40.4
2009,N_KH_04010102_01,KH03,,,PT,KH03,40.5
2010,N_KH_04010102_01,KH03,,,PT,KH03,36.6
2011,N_KH_04010102_01,KH03,,,PT,KH03,37.4
2012,N_KH_04010102_01,KH03,,,PT,KH03,36.5
2013,N_KH_04010102_01,KH03,,,PT,KH03,37.9
2014,N_KH_04010102_01,KH03,,,PT,KH03,43.8
2015,N_KH_04010102_01,KH03,,,PT,KH03,41.9
2016,N_KH_04010102_01,KH03,,,PT,KH03,45.8
2017,N_KH_04010102_01,KH03,,,PT,KH03,47.5
2018,N_KH_04010102_01,KH03,,,PT,KH03,49.5
2019,N_KH_04010102_01,KH03,,,PT,KH03,47.9
2009,N_KH_04010102_01,KH04,F,,PT,KH04,51.3
2010,N_KH_04010102_01,KH04,F,,PT,KH04,52.8
2011,N_KH_04010102_01,KH04,F,,PT,KH04,41.3
2012,N_KH_04010102_01,KH04,F,,PT,KH04,40.7
2013,N_KH_04010102_01,KH04,F,,PT,KH04,41.6
2014,N_KH_04010102_01,KH04,F,,PT,KH04,45.8
2015,N_KH_04010102_01,KH04,F,,PT,KH04,47.7
2016,N_KH_04010102_01,KH04,F,,PT,KH04,53.7
2017,N_KH_04010102_01,KH04,F,,PT,KH04,57.5
2018,N_KH_04010102_01,KH04,F,,PT,KH04,57.1
2019,N_KH_04010102_01,KH04,F,,PT,KH04,54.5
2009,N_KH_04010102_01,KH04,M,,PT,KH04,51.6
2010,N_KH_04010102_01,KH04,M,,PT,KH04,49.2
2011,N_KH_04010102_01,KH04,M,,PT,KH04,40.1
2012,N_KH_04010102_01,KH04,M,,PT,KH04,36.6
2013,N_KH_04010102_01,KH04,M,,PT,KH04,36.0
2014,N_KH_04010102_01,KH04,M,,PT,KH04,37.7
2015,N_KH_04010102_01,KH04,M,,PT,KH04,40.1
2016,N_KH_04010102_01,KH04,M,,PT,KH04,41.1
2017,N_KH_04010102_01,KH04,M,,PT,KH04,44.4
2018,N_KH_04010102_01,KH04,M,,PT,KH04,41.2
2019,N_KH_04010102_01,KH04,M,,PT,KH04,41.0
2009,N_KH_04010102_01,KH04,,,PT,KH04,51.5
2010,N_KH_04010102_01,KH04,,,PT,KH04,51.0
2011,N_KH_04010102_01,KH04,,,PT,KH04,40.7
2012,N_KH_04010102_01,KH04,,,PT,KH04,38.6
2013,N_KH_04010102_01,KH04,,,PT,KH04,38.8
2014,N_KH_04010102_01,KH04,,,PT,KH04,41.6
2015,N_KH_04010102_01,KH04,,,PT,KH04,43.8
2016,N_KH_04010102_01,KH04,,,PT,KH04,47.2
2017,N_KH_04010102_01,KH04,,,PT,KH04,50.7
2018,N_KH_04010102_01,KH04,,,PT,KH04,48.9
2019,N_KH_04010102_01,KH04,,,PT,KH04,47.5
2009,N_KH_04010102_01,KH05,F,,PT,KH05,38.0
2010,N_KH_04010102_01,KH05,F,,PT,KH05,34.7
2011,N_KH_04010102_01,KH05,F,,PT,KH05,30.5
2012,N_KH_04010102_01,KH05,F,,PT,KH05,30.0
2013,N_KH_04010102_01,KH05,F,,PT,KH05,32.7
2014,N_KH_04010102_01,KH05,F,,PT,KH05,35.7
2015,N_KH_04010102_01,KH05,F,,PT,KH05,37.5
2016,N_KH_04010102_01,KH05,F,,PT,KH05,44.6
2017,N_KH_04010102_01,KH05,F,,PT,KH05,49.7
2018,N_KH_04010102_01,KH05,F,,PT,KH05,47.2
2019,N_KH_04010102_01,KH05,F,,PT,KH05,46.1
2009,N_KH_04010102_01,KH05,M,,PT,KH05,46.5
2010,N_KH_04010102_01,KH05,M,,PT,KH05,47.1
2011,N_KH_04010102_01,KH05,M,,PT,KH05,40.3
2012,N_KH_04010102_01,KH05,M,,PT,KH05,36.4
2013,N_KH_04010102_01,KH05,M,,PT,KH05,37.0
2014,N_KH_04010102_01,KH05,M,,PT,KH05,39.1
2015,N_KH_04010102_01,KH05,M,,PT,KH05,37.8
2016,N_KH_04010102_01,KH05,M,,PT,KH05,39.4
2017,N_KH_04010102_01,KH05,M,,PT,KH05,42.9
2018,N_KH_04010102_01,KH05,M,,PT,KH05,40.5
2019,N_KH_04010102_01,KH05,M,,PT,KH05,37.5
2009,N_KH_04010102_01,KH05,,,PT,KH05,42.4
2010,N_KH_04010102_01,KH05,,,PT,KH05,40.9
2011,N_KH_04010102_01,KH05,,,PT,KH05,35.6
2012,N_KH_04010102_01,KH05,,,PT,KH05,33.3
2013,N_KH_04010102_01,KH05,,,PT,KH05,34.9
2014,N_KH_04010102_01,KH05,,,PT,KH05,37.5
2015,N_KH_04010102_01,KH05,,,PT,KH05,37.7
2016,N_KH_04010102_01,KH05,,,PT,KH05,41.9
2017,N_KH_04010102_01,KH05,,,PT,KH05,46.2
2018,N_KH_04010102_01,KH05,,,PT,KH05,43.7
2019,N_KH_04010102_01,KH05,,,PT,KH05,41.6
2009,N_KH_04010102_01,KH06,F,,PT,KH06,43.0
2010,N_KH_04010102_01,KH06,F,,PT,KH06,39.2
2011,N_KH_04010102_01,KH06,F,,PT,KH06,39.1
2012,N_KH_04010102_01,KH06,F,,PT,KH06,36.2
2013,N_KH_04010102_01,KH06,F,,PT,KH06,39.0
2014,N_KH_04010102_01,KH06,F,,PT,KH06,38.9
2015,N_KH_04010102_01,KH06,F,,PT,KH06,38.1
2016,N_KH_04010102_01,KH06,F,,PT,KH06,45.3
2017,N_KH_04010102_01,KH06,F,,PT,KH06,48.5
2018,N_KH_04010102_01,KH06,F,,PT,KH06,52.6
2019,N_KH_04010102_01,KH06,F,,PT,KH06,50.7
2009,N_KH_04010102_01,KH06,M,,PT,KH06,40.6
2010,N_KH_04010102_01,KH06,M,,PT,KH06,45.3
2011,N_KH_04010102_01,KH06,M,,PT,KH06,35.8
2012,N_KH_04010102_01,KH06,M,,PT,KH06,33.6
2013,N_KH_04010102_01,KH06,M,,PT,KH06,31.8
2014,N_KH_04010102_01,KH06,M,,PT,KH06,31.7
2015,N_KH_04010102_01,KH06,M,,PT,KH06,30.5
2016,N_KH_04010102_01,KH06,M,,PT,KH06,34.7
2017,N_KH_04010102_01,KH06,M,,PT,KH06,36.6
2018,N_KH_04010102_01,KH06,M,,PT,KH06,38.8
2019,N_KH_04010102_01,KH06,M,,PT,KH06,38.4
2009,N_KH_04010102_01,KH06,,,PT,KH06,41.8
2010,N_KH_04010102_01,KH06,,,PT,KH06,42.1
2011,N_KH_04010102_01,KH06,,,PT,KH06,37.4
2012,N_KH_04010102_01,KH06,,,PT,KH06,34.9
2013,N_KH_04010102_01,KH06,,,PT,KH06,35.2
2014,N_KH_04010102_01,KH06,,,PT,KH06,35.2
2015,N_KH_04010102_01,KH06,,,PT,KH06,34.2
2016,N_KH_04010102_01,KH06,,,PT,KH06,39.8
2017,N_KH_04010102_01,KH06,,,PT,KH06,42.3
2018,N_KH_04010102_01,KH06,,,PT,KH06,45.4
2019,N_KH_04010102_01,KH06,,,PT,KH06,44.3
2009,N_KH_04010102_01,KH07,F,,PT,KH07,54.5
2010,N_KH_04010102_01,KH07,F,,PT,KH07,51.8
2011,N_KH_04010102_01,KH07,F,,PT,KH07,48.6
2012,N_KH_04010102_01,KH07,F,,PT,KH07,43.8
2013,N_KH_04010102_01,KH07,F,,PT,KH07,44.4
2014,N_KH_04010102_01,KH07,F,,PT,KH07,47.7
2015,N_KH_04010102_01,KH07,F,,PT,KH07,46.9
2016,N_KH_04010102_01,KH07,F,,PT,KH07,52.5
2017,N_KH_04010102_01,KH07,F,,PT,KH07,55.3
2018,N_KH_04010102_01,KH07,F,,PT,KH07,53.5
2019,N_KH_04010102_01,KH07,F,,PT,KH07,51.2
2009,N_KH_04010102_01,KH07,M,,PT,KH07,56.3
2010,N_KH_04010102_01,KH07,M,,PT,KH07,16.9
2011,N_KH_04010102_01,KH07,M,,PT,KH07,48.0
2012,N_KH_04010102_01,KH07,M,,PT,KH07,45.8
2013,N_KH_04010102_01,KH07,M,,PT,KH07,42.9
2014,N_KH_04010102_01,KH07,M,,PT,KH07,45.7
2015,N_KH_04010102_01,KH07,M,,PT,KH07,44.9
2016,N_KH_04010102_01,KH07,M,,PT,KH07,48.4
2017,N_KH_04010102_01,KH07,M,,PT,KH07,48.1
2018,N_KH_04010102_01,KH07,M,,PT,KH07,44.7
2019,N_KH_04010102_01,KH07,M,,PT,KH07,40.8
2009,N_KH_04010102_01,KH07,,,PT,KH07,55.4
2010,N_KH_04010102_01,KH07,,,PT,KH07,24.6
2011,N_KH_04010102_01,KH07,,,PT,KH07,48.3
2012,N_KH_04010102_01,KH07,,,PT,KH07,44.8
2013,N_KH_04010102_01,KH07,,,PT,KH07,43.6
2014,N_KH_04010102_01,KH07,,,PT,KH07,46.7
2015,N_KH_04010102_01,KH07,,,PT,KH07,45.8
2016,N_KH_04010102_01,KH07,,,PT,KH07,50.4
2017,N_KH_04010102_01,KH07,,,PT,KH07,51.6
2018,N_KH_04010102_01,KH07,,,PT,KH07,48.9
2019,N_KH_04010102_01,KH07,,,PT,KH07,45.8
2009,N_KH_04010102_01,KH08,F,,PT,KH08,55.6
2010,N_KH_04010102_01,KH08,F,,PT,KH08,58.1
2011,N_KH_04010102_01,KH08,F,,PT,KH08,50.0
2012,N_KH_04010102_01,KH08,F,,PT,KH08,46.8
2013,N_KH_04010102_01,KH08,F,,PT,KH08,45.6
2014,N_KH_04010102_01,KH08,F,,PT,KH08,46.1
2015,N_KH_04010102_01,KH08,F,,PT,KH08,45.9
2016,N_KH_04010102_01,KH08,F,,PT,KH08,51.0
2017,N_KH_04010102_01,KH08,F,,PT,KH08,53.1
2018,N_KH_04010102_01,KH08,F,,PT,KH08,53.6
2019,N_KH_04010102_01,KH08,F,,PT,KH08,52.8
2009,N_KH_04010102_01,KH08,M,,PT,KH08,59.1
2010,N_KH_04010102_01,KH08,M,,PT,KH08,61.2
2011,N_KH_04010102_01,KH08,M,,PT,KH08,51.4
2012,N_KH_04010102_01,KH08,M,,PT,KH08,56.2
2013,N_KH_04010102_01,KH08,M,,PT,KH08,45.2
2014,N_KH_04010102_01,KH08,M,,PT,KH08,43.5
2015,N_KH_04010102_01,KH08,M,,PT,KH08,40.1
2016,N_KH_04010102_01,KH08,M,,PT,KH08,43.0
2017,N_KH_04010102_01,KH08,M,,PT,KH08,41.9
2018,N_KH_04010102_01,KH08,M,,PT,KH08,41.1
2019,N_KH_04010102_01,KH08,M,,PT,KH08,41.6
2009,N_KH_04010102_01,KH08,,,PT,KH08,57.4
2010,N_KH_04010102_01,KH08,,,PT,KH08,59.7
2011,N_KH_04010102_01,KH08,,,PT,KH08,50.7
2012,N_KH_04010102_01,KH08,,,PT,KH08,51.3
2013,N_KH_04010102_01,KH08,,,PT,KH08,45.4
2014,N_KH_04010102_01,KH08,,,PT,KH08,44.8
2015,N_KH_04010102_01,KH08,,,PT,KH08,42.9
2016,N_KH_04010102_01,KH08,,,PT,KH08,46.8
2017,N_KH_04010102_01,KH08,,,PT,KH08,47.3
2018,N_KH_04010102_01,KH08,,,PT,KH08,47.1
2019,N_KH_04010102_01,KH08,,,PT,KH08,47.0
2009,N_KH_04010102_01,KH23,F,,PT,KH23,54.9
2010,N_KH_04010102_01,KH23,F,,PT,KH23,55.8
2011,N_KH_04010102_01,KH23,F,,PT,KH23,48.4
2012,N_KH_04010102_01,KH23,F,,PT,KH23,46.1
2013,N_KH_04010102_01,KH23,F,,PT,KH23,40.2
2014,N_KH_04010102_01,KH23,F,,PT,KH23,36.6
2015,N_KH_04010102_01,KH23,F,,PT,KH23,41.0
2016,N_KH_04010102_01,KH23,F,,PT,KH23,42.0
2017,N_KH_04010102_01,KH23,F,,PT,KH23,39.1
2018,N_KH_04010102_01,KH23,F,,PT,KH23,34.5
2019,N_KH_04010102_01,KH23,F,,PT,KH23,31.2
2009,N_KH_04010102_01,KH23,M,,PT,KH23,50.8
2010,N_KH_04010102_01,KH23,M,,PT,KH23,47.6
2011,N_KH_04010102_01,KH23,M,,PT,KH23,41.4
2012,N_KH_04010102_01,KH23,M,,PT,KH23,36.7
2013,N_KH_04010102_01,KH23,M,,PT,KH23,37.2
2014,N_KH_04010102_01,KH23,M,,PT,KH23,35.6
2015,N_KH_04010102_01,KH23,M,,PT,KH23,34.7
2016,N_KH_04010102_01,KH23,M,,PT,KH23,34.2
2017,N_KH_04010102_01,KH23,M,,PT,KH23,33.5
2018,N_KH_04010102_01,KH23,M,,PT,KH23,32.9
2019,N_KH_04010102_01,KH23,M,,PT,KH23,25.1
2009,N_KH_04010102_01,KH23,,,PT,KH23,52.8
2010,N_KH_04010102_01,KH23,,,PT,KH23,51.4
2011,N_KH_04010102_01,KH23,,,PT,KH23,44.8
2012,N_KH_04010102_01,KH23,,,PT,KH23,41.2
2013,N_KH_04010102_01,KH23,,,PT,KH23,38.6
2014,N_KH_04010102_01,KH23,,,PT,KH23,36.1
2015,N_KH_04010102_01,KH23,,,PT,KH23,37.7
2016,N_KH_04010102_01,KH23,,,PT,KH23,37.9
2017,N_KH_04010102_01,KH23,,,PT,KH23,36.2
2018,N_KH_04010102_01,KH23,,,PT,KH23,33.6
2019,N_KH_04010102_01,KH23,,,PT,KH23,28.0
2009,N_KH_04010102_01,KH09,F,,PT,KH09,40.4
2010,N_KH_04010102_01,KH09,F,,PT,KH09,44.2
2011,N_KH_04010102_01,KH09,F,,PT,KH09,36.7
2012,N_KH_04010102_01,KH09,F,,PT,KH09,35.7
2013,N_KH_04010102_01,KH09,F,,PT,KH09,34.9
2014,N_KH_04010102_01,KH09,F,,PT,KH09,32.7
2015,N_KH_04010102_01,KH09,F,,PT,KH09,30.6
2016,N_KH_04010102_01,KH09,F,,PT,KH09,30.9
2017,N_KH_04010102_01,KH09,F,,PT,KH09,35.0
2018,N_KH_04010102_01,KH09,F,,PT,KH09,37.3
2019,N_KH_04010102_01,KH09,F,,PT,KH09,36.5
