Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,GeoCode,Value
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,,Quintile 3,Percent,,8.4
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,,Quintile 4,Percent,,6.0
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,,Quintile 4,Percent,,11.1
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,,Quintile 4,Percent,,9.3
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,,Quintile 5 (richest),Percent,,6.7
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,,Quintile 5 (richest),Percent,,10.1
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,,Quintile 5 (richest),Percent,,7.4
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,Urban,,Percent,,12.6
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,Urban,,Percent,,8.3
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,Urban,,Percent,,11.6
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,Urban,,Percent,,7.5
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,Rural,,Percent,,15.4
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,Rural,,Percent,,7.1
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,Rural,,Percent,,10.8
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,,,under 5 years old,Rural,,Percent,,9.9
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Banteay Meanchey,,under 5 years old,,,Percent,KH01,19.5
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Banteay Meanchey,,under 5 years old,,,Percent,KH01,5.5
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Banteay Meanchey,,under 5 years old,,,Percent,KH01,7.3
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Banteay Meanchey,,under 5 years old,,,Percent,KH01,7.8
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Cham,,under 5 years old,,,Percent,KH03,15.6
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Cham,,under 5 years old,,,Percent,KH03,6.0
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Cham,,under 5 years old,,,Percent,KH03,11.8
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Cham,,under 5 years old,,,Percent,KH03,8.1
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Chhnang,,under 5 years old,,,Percent,KH04,9.5
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Chhnang,,under 5 years old,,,Percent,KH04,4.6
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Chhnang,,under 5 years old,,,Percent,KH04,11.4
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Chhnang,,under 5 years old,,,Percent,KH04,11.2
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Speu,,under 5 years old,,,Percent,KH05,16.9
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Speu,,under 5 years old,,,Percent,KH05,7.6
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Speu,,under 5 years old,,,Percent,KH05,10.2
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Speu,,under 5 years old,,,Percent,KH05,11.5
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Thom,,under 5 years old,,,Percent,KH06,24.5
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Thom,,under 5 years old,,,Percent,KH06,3.4
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Thom,,under 5 years old,,,Percent,KH06,11.5
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampong Thom,,under 5 years old,,,Percent,KH06,13.0
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kandal,,under 5 years old,,,Percent,KH08,11.8
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kandal,,under 5 years old,,,Percent,KH08,11.5
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kandal,,under 5 years old,,,Percent,KH08,9.9
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kandal,,under 5 years old,,,Percent,KH08,9.2
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Koh Kong,,under 5 years old,,,Percent,KH09,14.7
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kratie,,under 5 years old,,,Percent,KH10,4.2
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kratie,,under 5 years old,,,Percent,KH10,7.1
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kratie,,under 5 years old,,,Percent,KH10,6.5
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Oddar Meanchey,,under 5 years old,,,Percent,KH22,10.3
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Oddar Meanchey,,under 5 years old,,,Percent,KH22,17.6
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Oddar Meanchey,,under 5 years old,,,Percent,KH22,15.1
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Phnom Penh,,under 5 years old,,,Percent,KH12,18.3
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Phnom Penh,,under 5 years old,,,Percent,KH12,5.5
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Phnom Penh,,under 5 years old,,,Percent,KH12,11.2
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Phnom Penh,,under 5 years old,,,Percent,KH12,8.4
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Prey Veng,,under 5 years old,,,Percent,KH14,15.1
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Prey Veng,,under 5 years old,,,Percent,KH14,11.3
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Prey Veng,,under 5 years old,,,Percent,KH14,10.9
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Prey Veng,,under 5 years old,,,Percent,KH14,8.6
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Pursat,,under 5 years old,,,Percent,KH15,13.4
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Pursat,,under 5 years old,,,Percent,KH15,17.0
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Pursat,,under 5 years old,,,Percent,KH15,13.3
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Pursat,,under 5 years old,,,Percent,KH15,12.3
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Siemreap,,under 5 years old,,,Percent,KH17,6.3
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Siemreap,,under 5 years old,,,Percent,KH17,12.3
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Siemreap,,under 5 years old,,,Percent,KH17,9.5
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Svay Rieng,,under 5 years old,,,Percent,KH20,13.0
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Svay Rieng,,under 5 years old,,,Percent,KH20,7.8
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Svay Rieng,,under 5 years old,,,Percent,KH20,12.2
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Svay Rieng,,under 5 years old,,,Percent,KH20,7.6
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Takeo,,under 5 years old,,,Percent,KH21,17.2
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Takeo,,under 5 years old,,,Percent,KH21,7.6
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Takeo,,under 5 years old,,,Percent,KH21,9.5
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Takeo,,under 5 years old,,,Percent,KH21,14.6
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Battambang and Pailin,,under 5 years old,,,Percent,KH_AGG_KH02_KH24,21.1
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Battambang and Pailin,,under 5 years old,,,Percent,KH_AGG_KH02_KH24,5.6
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Battambang and Pailin,,under 5 years old,,,Percent,KH_AGG_KH02_KH24,14.4
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Battambang and Pailin,,under 5 years old,,,Percent,KH_AGG_KH02_KH24,7.9
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,"Kampot, Preah Sihanouk and Kep",,under 5 years old,,,Percent,KH_AGG_KH07_KH18_KH23,9.6
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,"Kratie, Preah Vihear and Stung Treng",,under 5 years old,,,Percent,KH_AGG_KH10_KH13_KH19,10.9
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Percent,KH_AGG_KH11_KH16,15.2
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Percent,KH_AGG_KH11_KH16,7.6
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Percent,KH_AGG_KH11_KH16,10.3
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Mondul Kiri and Ratanak Kiri,,under 5 years old,,,Percent,KH_AGG_KH11_KH16,8.2
2000,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Otdar Meanchey and Siem Reap,,under 5 years old,,,Percent,KH_AGG_KH22_KH17,10.6
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampot and Kep,,under 5 years old,,,Percent,KH_AGG_KH07_KH23,5.0
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampot and Kep,,under 5 years old,,,Percent,KH_AGG_KH07_KH23,8.9
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Kampot and Kep,,under 5 years old,,,Percent,KH_AGG_KH07_KH23,8.2
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Koh Kong and Preah Sihanouk,,under 5 years old,,,Percent,KH_KH09_KH18,7.3
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Koh Kong and Preah Sihanouk,,under 5 years old,,,Percent,KH_KH09_KH18,9.1
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Koh Kong and Preah Sihanouk,,under 5 years old,,,Percent,KH_KH09_KH18,10.5
2005,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Preah Vihear and Stung Treng,,under 5 years old,,,Percent,KH_AGG_KH13_KH19,9.7
2010,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Preah Vihear and Stung Treng,,under 5 years old,,,Percent,KH_AGG_KH13_KH19,8.0
2014,2.2.2 Percent of children under 5 years old who are moderately or severely wasted,Preah Vihear and Stung Treng,,under 5 years old,,,Percent,KH_AGG_KH13_KH19,13.8
