Year,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
1995,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,0.0
1996,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,0.0
1997,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,0.0
1998,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,16.67
1999,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,16.67
2000,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,16.67
2001,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,16.67
2002,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,16.67
2003,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,16.67
2008,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,33.33
2009,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,33.33
2010,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,33.33
2011,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,33.33
2012,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,33.33
2013,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,33.33
2014,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,16.67
2015,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,16.67
2016,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,16.67
2017,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,16.67
2018,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,16.67
2019,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,16.67
2020,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,16.67
2021,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,16.67
1993,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
1994,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
1995,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
1996,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
1997,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
1998,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
1999,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
2000,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
2001,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
2002,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
2003,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
2008,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
2009,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
2010,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,100.0
2011,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,100.0
2012,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,100.0
2013,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,100.0
2014,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
2015,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
2016,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
2017,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
2018,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
2019,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
2020,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
2021,5.5.1 Proportion of seats held by women in legislative organs,Mondul Kiri,Female,Percent,KH11,0.0
1998,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,0.0
1999,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,0.0
2000,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,0.0
2001,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,0.0
2002,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,0.0
2003,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,0.0
2008,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,0.0
2009,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,0.0
2010,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,0.0
2011,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,0.0
2012,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,0.0
2013,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,0.0
2014,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,100.0
2015,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,100.0
2016,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,100.0
2017,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,100.0
2018,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,100.0
2019,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,100.0
2020,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,100.0
2021,5.5.1 Proportion of seats held by women in legislative organs,Pailin,Female,Percent,KH24,100.0
1998,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
1999,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
2000,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
2001,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
2002,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
2003,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
2008,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
2009,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
2010,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
2011,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
2012,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
2013,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
2014,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
2015,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
2016,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
2017,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
2018,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
2019,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
2020,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
2021,5.5.1 Proportion of seats held by women in legislative organs,Kep,Female,Percent,KH23,0.0
1993,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
1994,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
1995,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
1996,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
1997,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
1998,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
1999,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
2000,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
2001,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
2002,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
2003,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
2008,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,25.0
2009,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
2010,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
2011,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
2012,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
2013,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
2014,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
2015,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
2016,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
2017,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
2018,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
2019,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
2020,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
2021,5.5.1 Proportion of seats held by women in legislative organs,Takeo,Female,Percent,KH21,12.5
1993,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,0.0
1994,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,0.0
1995,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,0.0
1996,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,0.0
1997,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,0.0
1998,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,0.0
1999,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,0.0
2000,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,0.0
2001,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,0.0
2002,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,0.0
2003,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,0.0
2008,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,0.0
2009,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,0.0
2010,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,0.0
2011,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,0.0
2012,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,0.0
2013,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,0.0
2014,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,16.67
2015,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,16.67
2016,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,16.67
2017,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,16.67
2018,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,16.67
2019,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,16.67
2020,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,16.67
2021,5.5.1 Proportion of seats held by women in legislative organs,Banteay Meanchey,Female,Percent,KH01,16.67
1993,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,0.0
1994,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,0.0
1995,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,0.0
1996,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,0.0
1997,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,0.0
1998,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,0.0
1999,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,0.0
2000,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,0.0
2001,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,0.0
2002,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,0.0
2003,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,0.0
2008,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,25.0
2009,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,25.0
2010,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,25.0
2011,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,25.0
2012,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,25.0
2013,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,25.0
2014,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,25.0
2015,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,25.0
2016,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,25.0
2017,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,25.0
2018,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,25.0
2019,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,25.0
2020,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,25.0
2021,5.5.1 Proportion of seats held by women in legislative organs,Pursat,Female,Percent,KH15,25.0
1993,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
1994,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
1995,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
1996,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
1997,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
1998,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
1999,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
2000,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
2001,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
2002,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
2003,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
2008,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
2009,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
2010,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
2011,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
2012,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
2013,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
2014,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
2015,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
2016,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
2017,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
2018,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
2019,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
2020,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
2021,5.5.1 Proportion of seats held by women in legislative organs,Preah Vihear,Female,Percent,KH13,0.0
1993,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
1994,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
1995,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
1996,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
1997,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
1998,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
1999,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
2000,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
2001,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
2002,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
2003,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
2008,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
2009,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
2010,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
2011,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
2012,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
2013,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
2014,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
2015,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
2016,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
2017,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
2018,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
2019,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
2020,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
2021,5.5.1 Proportion of seats held by women in legislative organs,Kampong Thom,Female,Percent,KH06,0.0
1993,5.5.1 Proportion of seats held by women in legislative organs,Preah Sihanouk,Female,Percent,KH18,0.0
1994,5.5.1 Proportion of seats held by women in legislative organs,Preah Sihanouk,Female,Percent,KH18,0.0
1995,5.5.1 Proportion of seats held by women in legislative organs,Preah Sihanouk,Female,Percent,KH18,0.0
1996,5.5.1 Proportion of seats held by women in legislative organs,Preah Sihanouk,Female,Percent,KH18,0.0
1997,5.5.1 Proportion of seats held by women in legislative organs,Preah Sihanouk,Female,Percent,KH18,0.0
1998,5.5.1 Proportion of seats held by women in legislative organs,Preah Sihanouk,Female,Percent,KH18,0.0
