Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,GeoCode,Value
2012,4.6.1 Literacy rate by age group,,Female,35 to 44 years old,Percent,,74.2
2013,4.6.1 Literacy rate by age group,,Female,35 to 44 years old,Percent,,73.8
2014,4.6.1 Literacy rate by age group,,Female,35 to 44 years old,Percent,,67.8
2015,4.6.1 Literacy rate by age group,,Female,35 to 44 years old,Percent,,71.9
2016,4.6.1 Literacy rate by age group,,Female,35 to 44 years old,Percent,,76.4
2017,4.6.1 Literacy rate by age group,,Female,35 to 44 years old,Percent,,71.2
2019,4.6.1 Literacy rate by age group,,Female,35 to 44 years old,Percent,,75.2
2004,4.6.1 Literacy rate by age group,,Female,65 years old and over,Percent,,14.3
2007,4.6.1 Literacy rate by age group,,Female,65 years old and over,Percent,,17.1
2008,4.6.1 Literacy rate by age group,,Female,65 years old and over,Percent,,19.6
2009,4.6.1 Literacy rate by age group,,Female,65 years old and over,Percent,,18.6
2010,4.6.1 Literacy rate by age group,,Female,65 years old and over,Percent,,22.4
2011,4.6.1 Literacy rate by age group,,Female,65 years old and over,Percent,,25.9
2012,4.6.1 Literacy rate by age group,,Female,65 years old and over,Percent,,26.1
2013,4.6.1 Literacy rate by age group,,Female,65 years old and over,Percent,,27.1
2014,4.6.1 Literacy rate by age group,,Female,65 years old and over,Percent,,28.4
2015,4.6.1 Literacy rate by age group,,Female,65 years old and over,Percent,,36.8
2016,4.6.1 Literacy rate by age group,,Female,65 years old and over,Percent,,39.8
2017,4.6.1 Literacy rate by age group,,Female,65 years old and over,Percent,,39.0
2019,4.6.1 Literacy rate by age group,,Female,65 years old and over,Percent,,44.0
2004,4.6.1 Literacy rate by age group,,Female,45 to 54 years old,Percent,,54.6
2007,4.6.1 Literacy rate by age group,,Female,45 to 54 years old,Percent,,59.4
2008,4.6.1 Literacy rate by age group,,Female,45 to 54 years old,Percent,,58.9
2009,4.6.1 Literacy rate by age group,,Female,45 to 54 years old,Percent,,54.6
2010,4.6.1 Literacy rate by age group,,Female,45 to 54 years old,Percent,,58.5
2011,4.6.1 Literacy rate by age group,,Female,45 to 54 years old,Percent,,62.6
2012,4.6.1 Literacy rate by age group,,Female,45 to 54 years old,Percent,,61.9
2013,4.6.1 Literacy rate by age group,,Female,45 to 54 years old,Percent,,62.3
2014,4.6.1 Literacy rate by age group,,Female,45 to 54 years old,Percent,,57.1
2015,4.6.1 Literacy rate by age group,,Female,45 to 54 years old,Percent,,64.0
2016,4.6.1 Literacy rate by age group,,Female,45 to 54 years old,Percent,,67.1
2017,4.6.1 Literacy rate by age group,,Female,45 to 54 years old,Percent,,69.3
2019,4.6.1 Literacy rate by age group,,Female,45 to 54 years old,Percent,,68.0
2004,4.6.1 Literacy rate by age group,,Female,55 to 64 years old,Percent,,37.2
2007,4.6.1 Literacy rate by age group,,Female,55 to 64 years old,Percent,,45.4
2008,4.6.1 Literacy rate by age group,,Female,55 to 64 years old,Percent,,47.6
2009,4.6.1 Literacy rate by age group,,Female,55 to 64 years old,Percent,,51.2
2010,4.6.1 Literacy rate by age group,,Female,55 to 64 years old,Percent,,49.8
2011,4.6.1 Literacy rate by age group,,Female,55 to 64 years old,Percent,,54.9
2012,4.6.1 Literacy rate by age group,,Female,55 to 64 years old,Percent,,56.2
2013,4.6.1 Literacy rate by age group,,Female,55 to 64 years old,Percent,,59.7
2014,4.6.1 Literacy rate by age group,,Female,55 to 64 years old,Percent,,55.9
2015,4.6.1 Literacy rate by age group,,Female,55 to 64 years old,Percent,,58.5
2016,4.6.1 Literacy rate by age group,,Female,55 to 64 years old,Percent,,65.1
2017,4.6.1 Literacy rate by age group,,Female,55 to 64 years old,Percent,,63.6
2019,4.6.1 Literacy rate by age group,,Female,55 to 64 years old,Percent,,57.2
2014,4.6.1 Literacy rate by age group,,Male,6 to 14 years old,Percent,,62.1
2015,4.6.1 Literacy rate by age group,,Male,6 to 14 years old,Percent,,65.0
2016,4.6.1 Literacy rate by age group,,Male,6 to 14 years old,Percent,,73.3
2017,4.6.1 Literacy rate by age group,,Male,6 to 14 years old,Percent,,72.5
2019,4.6.1 Literacy rate by age group,,Male,6 to 14 years old,Percent,,74.6
2014,4.6.1 Literacy rate by age group,,Male,6 years old and over,Percent,,80.1
2015,4.6.1 Literacy rate by age group,,Male,6 years old and over,Percent,,81.7
2016,4.6.1 Literacy rate by age group,,Male,6 years old and over,Percent,,86.3
2017,4.6.1 Literacy rate by age group,,Male,6 years old and over,Percent,,84.0
2019,4.6.1 Literacy rate by age group,,Male,6 years old and over,Percent,,84.4
2004,4.6.1 Literacy rate by age group,,Male,7 to 14 years old,Percent,,60.4
2007,4.6.1 Literacy rate by age group,,Male,7 to 14 years old,Percent,,62.5
2008,4.6.1 Literacy rate by age group,,Male,7 to 14 years old,Percent,,68.0
2009,4.6.1 Literacy rate by age group,,Male,7 to 14 years old,Percent,,66.6
2010,4.6.1 Literacy rate by age group,,Male,7 to 14 years old,Percent,,65.9
2011,4.6.1 Literacy rate by age group,,Male,7 to 14 years old,Percent,,68.6
2012,4.6.1 Literacy rate by age group,,Male,7 to 14 years old,Percent,,62.2
2013,4.6.1 Literacy rate by age group,,Male,7 to 14 years old,Percent,,61.1
2004,4.6.1 Literacy rate by age group,,Male,7 years old and over,Percent,,74.8
2007,4.6.1 Literacy rate by age group,,Male,7 years old and over,Percent,,79.7
2008,4.6.1 Literacy rate by age group,,Male,7 years old and over,Percent,,80.7
2009,4.6.1 Literacy rate by age group,,Male,7 years old and over,Percent,,79.1
2010,4.6.1 Literacy rate by age group,,Male,7 years old and over,Percent,,80.9
2011,4.6.1 Literacy rate by age group,,Male,7 years old and over,Percent,,83.7
2012,4.6.1 Literacy rate by age group,,Male,7 years old and over,Percent,,81.1
2013,4.6.1 Literacy rate by age group,,Male,7 years old and over,Percent,,81.7
2004,4.6.1 Literacy rate by age group,,Male,15 to 24 years old,Percent,,84.1
2007,4.6.1 Literacy rate by age group,,Male,15 to 24 years old,Percent,,91.3
2008,4.6.1 Literacy rate by age group,,Male,15 to 24 years old,Percent,,89.6
2009,4.6.1 Literacy rate by age group,,Male,15 to 24 years old,Percent,,88.3
2010,4.6.1 Literacy rate by age group,,Male,15 to 24 years old,Percent,,89.4
2011,4.6.1 Literacy rate by age group,,Male,15 to 24 years old,Percent,,91.6
2012,4.6.1 Literacy rate by age group,,Male,15 to 24 years old,Percent,,92.8
2013,4.6.1 Literacy rate by age group,,Male,15 to 24 years old,Percent,,93.1
2014,4.6.1 Literacy rate by age group,,Male,15 to 24 years old,Percent,,89.9
2015,4.6.1 Literacy rate by age group,,Male,15 to 24 years old,Percent,,91.9
2016,4.6.1 Literacy rate by age group,,Male,15 to 24 years old,Percent,,95.0
2017,4.6.1 Literacy rate by age group,,Male,15 to 24 years old,Percent,,93.5
2019,4.6.1 Literacy rate by age group,,Male,15 to 24 years old,Percent,,93.1
2004,4.6.1 Literacy rate by age group,,Male,15 years old and over,Percent,,80.3
2007,4.6.1 Literacy rate by age group,,Male,15 years old and over,Percent,,85.3
2008,4.6.1 Literacy rate by age group,,Male,15 years old and over,Percent,,84.6
2009,4.6.1 Literacy rate by age group,,Male,15 years old and over,Percent,,82.7
2010,4.6.1 Literacy rate by age group,,Male,15 years old and over,Percent,,85.1
2011,4.6.1 Literacy rate by age group,,Male,15 years old and over,Percent,,87.8
2012,4.6.1 Literacy rate by age group,,Male,15 years old and over,Percent,,86.9
2013,4.6.1 Literacy rate by age group,,Male,15 years old and over,Percent,,87.7
2014,4.6.1 Literacy rate by age group,,Male,15 years old and over,Percent,,84.8
2015,4.6.1 Literacy rate by age group,,Male,15 years old and over,Percent,,86.5
2016,4.6.1 Literacy rate by age group,,Male,15 years old and over,Percent,,90.0
2017,4.6.1 Literacy rate by age group,,Male,15 years old and over,Percent,,87.3
2019,4.6.1 Literacy rate by age group,,Male,15 years old and over,Percent,,87.2
2004,4.6.1 Literacy rate by age group,,Male,25 to 34 years old,Percent,,79.5
2007,4.6.1 Literacy rate by age group,,Male,25 to 34 years old,Percent,,80.7
2008,4.6.1 Literacy rate by age group,,Male,25 to 34 years old,Percent,,85.3
2009,4.6.1 Literacy rate by age group,,Male,25 to 34 years old,Percent,,81.3
2010,4.6.1 Literacy rate by age group,,Male,25 to 34 years old,Percent,,85.7
2011,4.6.1 Literacy rate by age group,,Male,25 to 34 years old,Percent,,90.2
2012,4.6.1 Literacy rate by age group,,Male,25 to 34 years old,Percent,,86.8
2013,4.6.1 Literacy rate by age group,,Male,25 to 34 years old,Percent,,86.8
2014,4.6.1 Literacy rate by age group,,Male,25 to 34 years old,Percent,,86.8
2015,4.6.1 Literacy rate by age group,,Male,25 to 34 years old,Percent,,87.7
2016,4.6.1 Literacy rate by age group,,Male,25 to 34 years old,Percent,,91.0
2017,4.6.1 Literacy rate by age group,,Male,25 to 34 years old,Percent,,87.8
2019,4.6.1 Literacy rate by age group,,Male,25 to 34 years old,Percent,,89.7
2004,4.6.1 Literacy rate by age group,,Male,35 to 44 years old,Percent,,77.0
2007,4.6.1 Literacy rate by age group,,Male,35 to 44 years old,Percent,,84.7
2008,4.6.1 Literacy rate by age group,,Male,35 to 44 years old,Percent,,82.1
2009,4.6.1 Literacy rate by age group,,Male,35 to 44 years old,Percent,,80.6
2010,4.6.1 Literacy rate by age group,,Male,35 to 44 years old,Percent,,83.5
2011,4.6.1 Literacy rate by age group,,Male,35 to 44 years old,Percent,,85.1
2012,4.6.1 Literacy rate by age group,,Male,35 to 44 years old,Percent,,83.5
2013,4.6.1 Literacy rate by age group,,Male,35 to 44 years old,Percent,,87.4
2014,4.6.1 Literacy rate by age group,,Male,35 to 44 years old,Percent,,82.4
2015,4.6.1 Literacy rate by age group,,Male,35 to 44 years old,Percent,,83.7
2016,4.6.1 Literacy rate by age group,,Male,35 to 44 years old,Percent,,86.8
2017,4.6.1 Literacy rate by age group,,Male,35 to 44 years old,Percent,,82.8
2019,4.6.1 Literacy rate by age group,,Male,35 to 44 years old,Percent,,85.4
2004,4.6.1 Literacy rate by age group,,Male,65 years old and over,Percent,,64.8
2007,4.6.1 Literacy rate by age group,,Male,65 years old and over,Percent,,72.6
2008,4.6.1 Literacy rate by age group,,Male,65 years old and over,Percent,,74.0
2009,4.6.1 Literacy rate by age group,,Male,65 years old and over,Percent,,70.4
2010,4.6.1 Literacy rate by age group,,Male,65 years old and over,Percent,,72.5
2011,4.6.1 Literacy rate by age group,,Male,65 years old and over,Percent,,75.5
2012,4.6.1 Literacy rate by age group,,Male,65 years old and over,Percent,,75.0
2013,4.6.1 Literacy rate by age group,,Male,65 years old and over,Percent,,78.8
2014,4.6.1 Literacy rate by age group,,Male,65 years old and over,Percent,,73.1
2015,4.6.1 Literacy rate by age group,,Male,65 years old and over,Percent,,76.9
2016,4.6.1 Literacy rate by age group,,Male,65 years old and over,Percent,,81.3
2017,4.6.1 Literacy rate by age group,,Male,65 years old and over,Percent,,79.5
2019,4.6.1 Literacy rate by age group,,Male,65 years old and over,Percent,,78.5
2004,4.6.1 Literacy rate by age group,,Male,45 to 54 years old,Percent,,81.2
2007,4.6.1 Literacy rate by age group,,Male,45 to 54 years old,Percent,,81.6
2008,4.6.1 Literacy rate by age group,,Male,45 to 54 years old,Percent,,81.6
2009,4.6.1 Literacy rate by age group,,Male,45 to 54 years old,Percent,,77.2
2010,4.6.1 Literacy rate by age group,,Male,45 to 54 years old,Percent,,79.0
2011,4.6.1 Literacy rate by age group,,Male,45 to 54 years old,Percent,,83.1
2012,4.6.1 Literacy rate by age group,,Male,45 to 54 years old,Percent,,82.3
2013,4.6.1 Literacy rate by age group,,Male,45 to 54 years old,Percent,,82.7
2014,4.6.1 Literacy rate by age group,,Male,45 to 54 years old,Percent,,77.5
2015,4.6.1 Literacy rate by age group,,Male,45 to 54 years old,Percent,,81.8
2016,4.6.1 Literacy rate by age group,,Male,45 to 54 years old,Percent,,85.8
2017,4.6.1 Literacy rate by age group,,Male,45 to 54 years old,Percent,,81.9
2019,4.6.1 Literacy rate by age group,,Male,45 to 54 years old,Percent,,85.6
2004,4.6.1 Literacy rate by age group,,Male,55 to 64 years old,Percent,,81.5
2007,4.6.1 Literacy rate by age group,,Male,55 to 64 years old,Percent,,87.5
2008,4.6.1 Literacy rate by age group,,Male,55 to 64 years old,Percent,,80.5
2009,4.6.1 Literacy rate by age group,,Male,55 to 64 years old,Percent,,83.6
2010,4.6.1 Literacy rate by age group,,Male,55 to 64 years old,Percent,,86.4
2011,4.6.1 Literacy rate by age group,,Male,55 to 64 years old,Percent,,84.7
2012,4.6.1 Literacy rate by age group,,Male,55 to 64 years old,Percent,,85.7
2013,4.6.1 Literacy rate by age group,,Male,55 to 64 years old,Percent,,82.5
2014,4.6.1 Literacy rate by age group,,Male,55 to 64 years old,Percent,,80.8
2015,4.6.1 Literacy rate by age group,,Male,55 to 64 years old,Percent,,81.1
2016,4.6.1 Literacy rate by age group,,Male,55 to 64 years old,Percent,,85.9
2017,4.6.1 Literacy rate by age group,,Male,55 to 64 years old,Percent,,82.8
2019,4.6.1 Literacy rate by age group,,Male,55 to 64 years old,Percent,,76.7
2014,4.6.1 Literacy rate by age group,,,6 to 14 years old,Percent,,64.2
2015,4.6.1 Literacy rate by age group,,,6 to 14 years old,Percent,,68.5
2016,4.6.1 Literacy rate by age group,,,6 to 14 years old,Percent,,74.1
2017,4.6.1 Literacy rate by age group,,,6 to 14 years old,Percent,,71.8
2019,4.6.1 Literacy rate by age group,,,6 to 14 years old,Percent,,76.4
2014,4.6.1 Literacy rate by age group,,,6 years old and over,Percent,,75.3
2015,4.6.1 Literacy rate by age group,,,6 years old and over,Percent,,78.0
2016,4.6.1 Literacy rate by age group,,,6 years old and over,Percent,,82.3
2017,4.6.1 Literacy rate by age group,,,6 years old and over,Percent,,80.3
2019,4.6.1 Literacy rate by age group,,,6 years old and over,Percent,,80.7
2004,4.6.1 Literacy rate by age group,,,7 to 14 years old,Percent,,61.4
2007,4.6.1 Literacy rate by age group,,,7 to 14 years old,Percent,,64.3
2008,4.6.1 Literacy rate by age group,,,7 to 14 years old,Percent,,68.0
2009,4.6.1 Literacy rate by age group,,,7 to 14 years old,Percent,,68.4
2010,4.6.1 Literacy rate by age group,,,7 to 14 years old,Percent,,69.5
2011,4.6.1 Literacy rate by age group,,,7 to 14 years old,Percent,,70.1
2012,4.6.1 Literacy rate by age group,,,7 to 14 years old,Percent,,61.7
2013,4.6.1 Literacy rate by age group,,,7 to 14 years old,Percent,,62.7
2004,4.6.1 Literacy rate by age group,,,7 years old and over,Percent,,67.4
2007,4.6.1 Literacy rate by age group,,,7 years old and over,Percent,,72.6
2008,4.6.1 Literacy rate by age group,,,7 years old and over,Percent,,74.0
2009,4.6.1 Literacy rate by age group,,,7 years old and over,Percent,,72.7
2010,4.6.1 Literacy rate by age group,,,7 years old and over,Percent,,75.2
2011,4.6.1 Literacy rate by age group,,,7 years old and over,Percent,,77.9
2012,4.6.1 Literacy rate by age group,,,7 years old and over,Percent,,75.7
2013,4.6.1 Literacy rate by age group,,,7 years old and over,Percent,,77.0
2004,4.6.1 Literacy rate by age group,,,15 to 24 years old,Percent,,80.4
2007,4.6.1 Literacy rate by age group,,,15 to 24 years old,Percent,,87.8
2008,4.6.1 Literacy rate by age group,,,15 to 24 years old,Percent,,88.8
2009,4.6.1 Literacy rate by age group,,,15 to 24 years old,Percent,,87.1
2010,4.6.1 Literacy rate by age group,,,15 to 24 years old,Percent,,88.8
2011,4.6.1 Literacy rate by age group,,,15 to 24 years old,Percent,,91.5
2012,4.6.1 Literacy rate by age group,,,15 to 24 years old,Percent,,92.1
2013,4.6.1 Literacy rate by age group,,,15 to 24 years old,Percent,,93.0
2014,4.6.1 Literacy rate by age group,,,15 to 24 years old,Percent,,90.1
2015,4.6.1 Literacy rate by age group,,,15 to 24 years old,Percent,,92.2
2016,4.6.1 Literacy rate by age group,,,15 to 24 years old,Percent,,95.4
2017,4.6.1 Literacy rate by age group,,,15 to 24 years old,Percent,,94.6
2019,4.6.1 Literacy rate by age group,,,15 to 24 years old,Percent,,94.1
2004,4.6.1 Literacy rate by age group,,,15 years old and over,Percent,,69.4
2007,4.6.1 Literacy rate by age group,,,15 years old and over,Percent,,75.1
2008,4.6.1 Literacy rate by age group,,,15 years old and over,Percent,,75.6
2009,4.6.1 Literacy rate by age group,,,15 years old and over,Percent,,73.9
2010,4.6.1 Literacy rate by age group,,,15 years old and over,Percent,,76.7
2011,4.6.1 Literacy rate by age group,,,15 years old and over,Percent,,79.9
2012,4.6.1 Literacy rate by age group,,,15 years old and over,Percent,,79.7
2013,4.6.1 Literacy rate by age group,,,15 years old and over,Percent,,80.7
2014,4.6.1 Literacy rate by age group,,,15 years old and over,Percent,,78.1
2015,4.6.1 Literacy rate by age group,,,15 years old and over,Percent,,80.5
2016,4.6.1 Literacy rate by age group,,,15 years old and over,Percent,,84.4
2017,4.6.1 Literacy rate by age group,,,15 years old and over,Percent,,82.5
2019,4.6.1 Literacy rate by age group,,,15 years old and over,Percent,,81.9
2004,4.6.1 Literacy rate by age group,,,25 to 34 years old,Percent,,71.4
2007,4.6.1 Literacy rate by age group,,,25 to 34 years old,Percent,,75.2
2008,4.6.1 Literacy rate by age group,,,25 to 34 years old,Percent,,78.4
2009,4.6.1 Literacy rate by age group,,,25 to 34 years old,Percent,,74.9
2010,4.6.1 Literacy rate by age group,,,25 to 34 years old,Percent,,80.2
2011,4.6.1 Literacy rate by age group,,,25 to 34 years old,Percent,,84.6
2012,4.6.1 Literacy rate by age group,,,25 to 34 years old,Percent,,82.6
2013,4.6.1 Literacy rate by age group,,,25 to 34 years old,Percent,,84.4
2014,4.6.1 Literacy rate by age group,,,25 to 34 years old,Percent,,82.9
2015,4.6.1 Literacy rate by age group,,,25 to 34 years old,Percent,,84.9
2016,4.6.1 Literacy rate by age group,,,25 to 34 years old,Percent,,89.2
2017,4.6.1 Literacy rate by age group,,,25 to 34 years old,Percent,,86.8
2019,4.6.1 Literacy rate by age group,,,25 to 34 years old,Percent,,88.9
2004,4.6.1 Literacy rate by age group,,,35 to 44 years old,Percent,,66.0
2007,4.6.1 Literacy rate by age group,,,35 to 44 years old,Percent,,73.8
2008,4.6.1 Literacy rate by age group,,,35 to 44 years old,Percent,,73.9
2009,4.6.1 Literacy rate by age group,,,35 to 44 years old,Percent,,71.6
2010,4.6.1 Literacy rate by age group,,,35 to 44 years old,Percent,,74.6
2011,4.6.1 Literacy rate by age group,,,35 to 44 years old,Percent,,76.8
2012,4.6.1 Literacy rate by age group,,,35 to 44 years old,Percent,,78.7
2013,4.6.1 Literacy rate by age group,,,35 to 44 years old,Percent,,80.3
2014,4.6.1 Literacy rate by age group,,,35 to 44 years old,Percent,,74.8
2015,4.6.1 Literacy rate by age group,,,35 to 44 years old,Percent,,77.5
2016,4.6.1 Literacy rate by age group,,,35 to 44 years old,Percent,,81.4
2017,4.6.1 Literacy rate by age group,,,35 to 44 years old,Percent,,76.8
2019,4.6.1 Literacy rate by age group,,,35 to 44 years old,Percent,,80.2
2004,4.6.1 Literacy rate by age group,,,65 years old and over,Percent,,35.1
2007,4.6.1 Literacy rate by age group,,,65 years old and over,Percent,,38.8
2008,4.6.1 Literacy rate by age group,,,65 years old and over,Percent,,43.0
2009,4.6.1 Literacy rate by age group,,,65 years old and over,Percent,,40.1
2010,4.6.1 Literacy rate by age group,,,65 years old and over,Percent,,42.9
2011,4.6.1 Literacy rate by age group,,,65 years old and over,Percent,,45.2
2012,4.6.1 Literacy rate by age group,,,65 years old and over,Percent,,46.3
2013,4.6.1 Literacy rate by age group,,,65 years old and over,Percent,,47.6
2014,4.6.1 Literacy rate by age group,,,65 years old and over,Percent,,46.6
2015,4.6.1 Literacy rate by age group,,,65 years old and over,Percent,,53.0
2016,4.6.1 Literacy rate by age group,,,65 years old and over,Percent,,56.3
2017,4.6.1 Literacy rate by age group,,,65 years old and over,Percent,,55.1
2019,4.6.1 Literacy rate by age group,,,65 years old and over,Percent,,57.6
2004,4.6.1 Literacy rate by age group,,,45 to 54 years old,Percent,,65.7
2007,4.6.1 Literacy rate by age group,,,45 to 54 years old,Percent,,68.9
2008,4.6.1 Literacy rate by age group,,,45 to 54 years old,Percent,,69.0
2009,4.6.1 Literacy rate by age group,,,45 to 54 years old,Percent,,64.5
2010,4.6.1 Literacy rate by age group,,,45 to 54 years old,Percent,,67.6
2011,4.6.1 Literacy rate by age group,,,45 to 54 years old,Percent,,72.0
2012,4.6.1 Literacy rate by age group,,,45 to 54 years old,Percent,,71.1
2013,4.6.1 Literacy rate by age group,,,45 to 54 years old,Percent,,71.8
2014,4.6.1 Literacy rate by age group,,,45 to 54 years old,Percent,,66.6
2015,4.6.1 Literacy rate by age group,,,45 to 54 years old,Percent,,72.3
2016,4.6.1 Literacy rate by age group,,,45 to 54 years old,Percent,,75.8
2017,4.6.1 Literacy rate by age group,,,45 to 54 years old,Percent,,75.2
2019,4.6.1 Literacy rate by age group,,,45 to 54 years old,Percent,,76.4
2004,4.6.1 Literacy rate by age group,,,55 to 64 years old,Percent,,55.8
2007,4.6.1 Literacy rate by age group,,,55 to 64 years old,Percent,,63.2
2008,4.6.1 Literacy rate by age group,,,55 to 64 years old,Percent,,61.6
2009,4.6.1 Literacy rate by age group,,,55 to 64 years old,Percent,,65.1
2010,4.6.1 Literacy rate by age group,,,55 to 64 years old,Percent,,65.0
2011,4.6.1 Literacy rate by age group,,,55 to 64 years old,Percent,,67.3
2012,4.6.1 Literacy rate by age group,,,55 to 64 years old,Percent,,68.1
2013,4.6.1 Literacy rate by age group,,,55 to 64 years old,Percent,,68.7
2014,4.6.1 Literacy rate by age group,,,55 to 64 years old,Percent,,66.0
2015,4.6.1 Literacy rate by age group,,,55 to 64 years old,Percent,,67.6
2016,4.6.1 Literacy rate by age group,,,55 to 64 years old,Percent,,73.5
2017,4.6.1 Literacy rate by age group,,,55 to 64 years old,Percent,,71.3
