Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2010,3.2.2 Proportion of births attended by skilled health personnel,Kampong Speu,,Percent,KH05,68.2
2014,3.2.2 Proportion of births attended by skilled health personnel,Kampong Speu,,Percent,KH05,89.3
2000,3.2.2 Proportion of births attended by skilled health personnel,Kampong Thom,,Percent,KH06,15.4
2005,3.2.2 Proportion of births attended by skilled health personnel,Kampong Thom,,Percent,KH06,24.5
2010,3.2.2 Proportion of births attended by skilled health personnel,Kampong Thom,,Percent,KH06,47.7
2014,3.2.2 Proportion of births attended by skilled health personnel,Kampong Thom,,Percent,KH06,80.4
2000,3.2.2 Proportion of births attended by skilled health personnel,Kandal,,Percent,KH08,53.0
2005,3.2.2 Proportion of births attended by skilled health personnel,Kandal,,Percent,KH08,73.5
2010,3.2.2 Proportion of births attended by skilled health personnel,Kandal,,Percent,KH08,87.0
2014,3.2.2 Proportion of births attended by skilled health personnel,Kandal,,Percent,KH08,95.7
2000,3.2.2 Proportion of births attended by skilled health personnel,Koh Kong,,Percent,KH09,30.6
2005,3.2.2 Proportion of births attended by skilled health personnel,Kratie,,Percent,KH10,28.6
2010,3.2.2 Proportion of births attended by skilled health personnel,Kratie,,Percent,KH10,44.4
2014,3.2.2 Proportion of births attended by skilled health personnel,Kratie,,Percent,KH10,51.9
2005,3.2.2 Proportion of births attended by skilled health personnel,Oddar Meanchey,,Percent,KH22,15.2
2010,3.2.2 Proportion of births attended by skilled health personnel,Oddar Meanchey,,Percent,KH22,64.4
2014,3.2.2 Proportion of births attended by skilled health personnel,Oddar Meanchey,,Percent,KH22,88.7
2000,3.2.2 Proportion of births attended by skilled health personnel,Phnom Penh,,Percent,KH12,88.9
2005,3.2.2 Proportion of births attended by skilled health personnel,Phnom Penh,,Percent,KH12,86.0
2010,3.2.2 Proportion of births attended by skilled health personnel,Phnom Penh,,Percent,KH12,98.8
2014,3.2.2 Proportion of births attended by skilled health personnel,Phnom Penh,,Percent,KH12,96.1
2000,3.2.2 Proportion of births attended by skilled health personnel,Prey Veng,,Percent,KH14,25.3
2005,3.2.2 Proportion of births attended by skilled health personnel,Prey Veng,,Percent,KH14,28.0
2010,3.2.2 Proportion of births attended by skilled health personnel,Prey Veng,,Percent,KH14,59.2
2014,3.2.2 Proportion of births attended by skilled health personnel,Prey Veng,,Percent,KH14,97.6
2000,3.2.2 Proportion of births attended by skilled health personnel,Pursat,,Percent,KH15,19.0
2005,3.2.2 Proportion of births attended by skilled health personnel,Pursat,,Percent,KH15,31.7
2010,3.2.2 Proportion of births attended by skilled health personnel,Pursat,,Percent,KH15,73.9
2014,3.2.2 Proportion of births attended by skilled health personnel,Pursat,,Percent,KH15,86.1
2005,3.2.2 Proportion of births attended by skilled health personnel,Siemreap,,Percent,KH17,28.6
2010,3.2.2 Proportion of births attended by skilled health personnel,Siemreap,,Percent,KH17,72.7
2014,3.2.2 Proportion of births attended by skilled health personnel,Siemreap,,Percent,KH17,93.0
2000,3.2.2 Proportion of births attended by skilled health personnel,Svay Rieng,,Percent,KH20,22.4
2005,3.2.2 Proportion of births attended by skilled health personnel,Svay Rieng,,Percent,KH20,28.9
2010,3.2.2 Proportion of births attended by skilled health personnel,Svay Rieng,,Percent,KH20,89.6
2014,3.2.2 Proportion of births attended by skilled health personnel,Svay Rieng,,Percent,KH20,94.3
2000,3.2.2 Proportion of births attended by skilled health personnel,Takeo,,Percent,KH21,39.5
2005,3.2.2 Proportion of births attended by skilled health personnel,Takeo,,Percent,KH21,62.1
2010,3.2.2 Proportion of births attended by skilled health personnel,Takeo,,Percent,KH21,85.4
2014,3.2.2 Proportion of births attended by skilled health personnel,Takeo,,Percent,KH21,97.4
2000,3.2.2 Proportion of births attended by skilled health personnel,Battambang and Pailin,,Percent,KH_AGG_KH02_KH24,44.7
2005,3.2.2 Proportion of births attended by skilled health personnel,Battambang and Pailin,,Percent,KH_AGG_KH02_KH24,59.3
2010,3.2.2 Proportion of births attended by skilled health personnel,Battambang and Pailin,,Percent,KH_AGG_KH02_KH24,78.1
2014,3.2.2 Proportion of births attended by skilled health personnel,Battambang and Pailin,,Percent,KH_AGG_KH02_KH24,94.1
2000,3.2.2 Proportion of births attended by skilled health personnel,"Kampot, Preah Sihanouk and Kep",,Percent,KH_AGG_KH07_KH18_KH23,30.8
2000,3.2.2 Proportion of births attended by skilled health personnel,"Kratie, Preah Vihear and Stung Treng",,Percent,KH_AGG_KH10_KH13_KH19,40.5
2000,3.2.2 Proportion of births attended by skilled health personnel,Mondul Kiri and Ratanak Kiri,,Percent,KH_AGG_KH11_KH16,14.2
2005,3.2.2 Proportion of births attended by skilled health personnel,Mondul Kiri and Ratanak Kiri,,Percent,KH_AGG_KH11_KH16,13.7
2010,3.2.2 Proportion of births attended by skilled health personnel,Mondul Kiri and Ratanak Kiri,,Percent,KH_AGG_KH11_KH16,38.4
2014,3.2.2 Proportion of births attended by skilled health personnel,Mondul Kiri and Ratanak Kiri,,Percent,KH_AGG_KH11_KH16,53.6
2000,3.2.2 Proportion of births attended by skilled health personnel,Otdar Meanchey and Siem Reap,,Percent,KH_AGG_KH22_KH17,12.0
2005,3.2.2 Proportion of births attended by skilled health personnel,Kampot and Kep,,Percent,KH_AGG_KH07_KH23,41.0
2010,3.2.2 Proportion of births attended by skilled health personnel,Kampot and Kep,,Percent,KH_AGG_KH07_KH23,66.5
2014,3.2.2 Proportion of births attended by skilled health personnel,Kampot and Kep,,Percent,KH_AGG_KH07_KH23,90.5
2005,3.2.2 Proportion of births attended by skilled health personnel,Koh Kong and Preah Sihanouk,,Percent,KH_KH09_KH18,57.1
2010,3.2.2 Proportion of births attended by skilled health personnel,Koh Kong and Preah Sihanouk,,Percent,KH_KH09_KH18,79.2
2014,3.2.2 Proportion of births attended by skilled health personnel,Koh Kong and Preah Sihanouk,,Percent,KH_KH09_KH18,97.5
2005,3.2.2 Proportion of births attended by skilled health personnel,Preah Vihear and Stung Treng,,Percent,KH_AGG_KH13_KH19,12.9
2010,3.2.2 Proportion of births attended by skilled health personnel,Preah Vihear and Stung Treng,,Percent,KH_AGG_KH13_KH19,28.2
2014,3.2.2 Proportion of births attended by skilled health personnel,Preah Vihear and Stung Treng,,Percent,KH_AGG_KH13_KH19,54.6
