Year,SERIES,Reference area,Degree of urbanisation,Education level,UNIT_MEASURE,GeoCode,Value
2018,4.5.2 Gender parity index in upper secondary education,,Rural,Upper secondary education,Percent,,1.3
2019,4.5.2 Gender parity index in upper secondary education,,Rural,Upper secondary education,Percent,,1.37
2008,4.5.2 Gender parity index in upper secondary education,Banteay Meanchey,,Upper secondary education,Percent,KH01,0.87
2009,4.5.2 Gender parity index in upper secondary education,Banteay Meanchey,,Upper secondary education,Percent,KH01,0.91
2010,4.5.2 Gender parity index in upper secondary education,Banteay Meanchey,,Upper secondary education,Percent,KH01,0.97
2011,4.5.2 Gender parity index in upper secondary education,Banteay Meanchey,,Upper secondary education,Percent,KH01,0.99
2012,4.5.2 Gender parity index in upper secondary education,Banteay Meanchey,,Upper secondary education,Percent,KH01,1.05
2013,4.5.2 Gender parity index in upper secondary education,Banteay Meanchey,,Upper secondary education,Percent,KH01,1.08
2014,4.5.2 Gender parity index in upper secondary education,Banteay Meanchey,,Upper secondary education,Percent,KH01,1.1
2015,4.5.2 Gender parity index in upper secondary education,Banteay Meanchey,,Upper secondary education,Percent,KH01,1.17
2016,4.5.2 Gender parity index in upper secondary education,Banteay Meanchey,,Upper secondary education,Percent,KH01,1.19
2017,4.5.2 Gender parity index in upper secondary education,Banteay Meanchey,,Upper secondary education,Percent,KH01,1.24
2018,4.5.2 Gender parity index in upper secondary education,Banteay Meanchey,,Upper secondary education,Percent,KH01,1.32
2019,4.5.2 Gender parity index in upper secondary education,Banteay Meanchey,,Upper secondary education,Percent,KH01,1.41
2008,4.5.2 Gender parity index in upper secondary education,Battambang,,Upper secondary education,Percent,KH02,0.85
2009,4.5.2 Gender parity index in upper secondary education,Battambang,,Upper secondary education,Percent,KH02,0.97
2010,4.5.2 Gender parity index in upper secondary education,Battambang,,Upper secondary education,Percent,KH02,0.93
2011,4.5.2 Gender parity index in upper secondary education,Battambang,,Upper secondary education,Percent,KH02,1.03
2012,4.5.2 Gender parity index in upper secondary education,Battambang,,Upper secondary education,Percent,KH02,1.04
2013,4.5.2 Gender parity index in upper secondary education,Battambang,,Upper secondary education,Percent,KH02,1.11
2014,4.5.2 Gender parity index in upper secondary education,Battambang,,Upper secondary education,Percent,KH02,1.2
2015,4.5.2 Gender parity index in upper secondary education,Battambang,,Upper secondary education,Percent,KH02,1.28
2016,4.5.2 Gender parity index in upper secondary education,Battambang,,Upper secondary education,Percent,KH02,1.29
2017,4.5.2 Gender parity index in upper secondary education,Battambang,,Upper secondary education,Percent,KH02,1.32
2018,4.5.2 Gender parity index in upper secondary education,Battambang,,Upper secondary education,Percent,KH02,1.4
2019,4.5.2 Gender parity index in upper secondary education,Battambang,,Upper secondary education,Percent,KH02,1.38
2008,4.5.2 Gender parity index in upper secondary education,Kampong Cham,,Upper secondary education,Percent,KH03,0.86
2009,4.5.2 Gender parity index in upper secondary education,Kampong Cham,,Upper secondary education,Percent,KH03,0.96
2010,4.5.2 Gender parity index in upper secondary education,Kampong Cham,,Upper secondary education,Percent,KH03,0.99
2011,4.5.2 Gender parity index in upper secondary education,Kampong Cham,,Upper secondary education,Percent,KH03,1.01
2012,4.5.2 Gender parity index in upper secondary education,Kampong Cham,,Upper secondary education,Percent,KH03,1.06
2013,4.5.2 Gender parity index in upper secondary education,Kampong Cham,,Upper secondary education,Percent,KH03,1.1
2014,4.5.2 Gender parity index in upper secondary education,Kampong Cham,,Upper secondary education,Percent,KH03,1.2
2015,4.5.2 Gender parity index in upper secondary education,Kampong Cham,,Upper secondary education,Percent,KH03,1.24
2016,4.5.2 Gender parity index in upper secondary education,Kampong Cham,,Upper secondary education,Percent,KH03,1.27
2017,4.5.2 Gender parity index in upper secondary education,Kampong Cham,,Upper secondary education,Percent,KH03,1.36
2018,4.5.2 Gender parity index in upper secondary education,Kampong Cham,,Upper secondary education,Percent,KH03,1.43
2019,4.5.2 Gender parity index in upper secondary education,Kampong Cham,,Upper secondary education,Percent,KH03,1.48
2008,4.5.2 Gender parity index in upper secondary education,Kampong Chhnang,,Upper secondary education,Percent,KH04,0.78
2009,4.5.2 Gender parity index in upper secondary education,Kampong Chhnang,,Upper secondary education,Percent,KH04,0.88
2010,4.5.2 Gender parity index in upper secondary education,Kampong Chhnang,,Upper secondary education,Percent,KH04,0.89
2011,4.5.2 Gender parity index in upper secondary education,Kampong Chhnang,,Upper secondary education,Percent,KH04,0.97
2012,4.5.2 Gender parity index in upper secondary education,Kampong Chhnang,,Upper secondary education,Percent,KH04,0.99
2013,4.5.2 Gender parity index in upper secondary education,Kampong Chhnang,,Upper secondary education,Percent,KH04,1.04
2014,4.5.2 Gender parity index in upper secondary education,Kampong Chhnang,,Upper secondary education,Percent,KH04,1.1
2015,4.5.2 Gender parity index in upper secondary education,Kampong Chhnang,,Upper secondary education,Percent,KH04,1.2
2016,4.5.2 Gender parity index in upper secondary education,Kampong Chhnang,,Upper secondary education,Percent,KH04,1.25
2017,4.5.2 Gender parity index in upper secondary education,Kampong Chhnang,,Upper secondary education,Percent,KH04,1.31
2018,4.5.2 Gender parity index in upper secondary education,Kampong Chhnang,,Upper secondary education,Percent,KH04,1.39
2019,4.5.2 Gender parity index in upper secondary education,Kampong Chhnang,,Upper secondary education,Percent,KH04,1.44
2008,4.5.2 Gender parity index in upper secondary education,Kampong Speu,,Upper secondary education,Percent,KH05,0.53
2009,4.5.2 Gender parity index in upper secondary education,Kampong Speu,,Upper secondary education,Percent,KH05,0.69
2010,4.5.2 Gender parity index in upper secondary education,Kampong Speu,,Upper secondary education,Percent,KH05,0.66
2011,4.5.2 Gender parity index in upper secondary education,Kampong Speu,,Upper secondary education,Percent,KH05,0.73
2012,4.5.2 Gender parity index in upper secondary education,Kampong Speu,,Upper secondary education,Percent,KH05,0.81
2013,4.5.2 Gender parity index in upper secondary education,Kampong Speu,,Upper secondary education,Percent,KH05,0.82
2014,4.5.2 Gender parity index in upper secondary education,Kampong Speu,,Upper secondary education,Percent,KH05,0.9
2015,4.5.2 Gender parity index in upper secondary education,Kampong Speu,,Upper secondary education,Percent,KH05,0.96
2016,4.5.2 Gender parity index in upper secondary education,Kampong Speu,,Upper secondary education,Percent,KH05,1.04
2017,4.5.2 Gender parity index in upper secondary education,Kampong Speu,,Upper secondary education,Percent,KH05,1.12
2018,4.5.2 Gender parity index in upper secondary education,Kampong Speu,,Upper secondary education,Percent,KH05,1.18
2019,4.5.2 Gender parity index in upper secondary education,Kampong Speu,,Upper secondary education,Percent,KH05,1.29
2008,4.5.2 Gender parity index in upper secondary education,Kampong Thom,,Upper secondary education,Percent,KH06,0.83
2009,4.5.2 Gender parity index in upper secondary education,Kampong Thom,,Upper secondary education,Percent,KH06,0.91
2010,4.5.2 Gender parity index in upper secondary education,Kampong Thom,,Upper secondary education,Percent,KH06,0.91
2011,4.5.2 Gender parity index in upper secondary education,Kampong Thom,,Upper secondary education,Percent,KH06,0.95
2012,4.5.2 Gender parity index in upper secondary education,Kampong Thom,,Upper secondary education,Percent,KH06,1.03
2013,4.5.2 Gender parity index in upper secondary education,Kampong Thom,,Upper secondary education,Percent,KH06,1.06
2014,4.5.2 Gender parity index in upper secondary education,Kampong Thom,,Upper secondary education,Percent,KH06,1.1
2015,4.5.2 Gender parity index in upper secondary education,Kampong Thom,,Upper secondary education,Percent,KH06,1.2
2016,4.5.2 Gender parity index in upper secondary education,Kampong Thom,,Upper secondary education,Percent,KH06,1.3
2017,4.5.2 Gender parity index in upper secondary education,Kampong Thom,,Upper secondary education,Percent,KH06,1.38
2018,4.5.2 Gender parity index in upper secondary education,Kampong Thom,,Upper secondary education,Percent,KH06,1.41
2019,4.5.2 Gender parity index in upper secondary education,Kampong Thom,,Upper secondary education,Percent,KH06,1.47
2008,4.5.2 Gender parity index in upper secondary education,Kampot,,Upper secondary education,Percent,KH07,0.82
2009,4.5.2 Gender parity index in upper secondary education,Kampot,,Upper secondary education,Percent,KH07,0.86
2010,4.5.2 Gender parity index in upper secondary education,Kampot,,Upper secondary education,Percent,KH07,0.99
2011,4.5.2 Gender parity index in upper secondary education,Kampot,,Upper secondary education,Percent,KH07,0.9
2012,4.5.2 Gender parity index in upper secondary education,Kampot,,Upper secondary education,Percent,KH07,0.94
2013,4.5.2 Gender parity index in upper secondary education,Kampot,,Upper secondary education,Percent,KH07,0.96
2014,4.5.2 Gender parity index in upper secondary education,Kampot,,Upper secondary education,Percent,KH07,1.0
2015,4.5.2 Gender parity index in upper secondary education,Kampot,,Upper secondary education,Percent,KH07,1.05
2016,4.5.2 Gender parity index in upper secondary education,Kampot,,Upper secondary education,Percent,KH07,1.1
2017,4.5.2 Gender parity index in upper secondary education,Kampot,,Upper secondary education,Percent,KH07,1.14
2018,4.5.2 Gender parity index in upper secondary education,Kampot,,Upper secondary education,Percent,KH07,1.17
2019,4.5.2 Gender parity index in upper secondary education,Kampot,,Upper secondary education,Percent,KH07,1.24
2008,4.5.2 Gender parity index in upper secondary education,Kandal,,Upper secondary education,Percent,KH08,0.77
2009,4.5.2 Gender parity index in upper secondary education,Kandal,,Upper secondary education,Percent,KH08,0.83
2010,4.5.2 Gender parity index in upper secondary education,Kandal,,Upper secondary education,Percent,KH08,0.87
2011,4.5.2 Gender parity index in upper secondary education,Kandal,,Upper secondary education,Percent,KH08,0.92
2012,4.5.2 Gender parity index in upper secondary education,Kandal,,Upper secondary education,Percent,KH08,0.93
2013,4.5.2 Gender parity index in upper secondary education,Kandal,,Upper secondary education,Percent,KH08,0.99
2014,4.5.2 Gender parity index in upper secondary education,Kandal,,Upper secondary education,Percent,KH08,1.0
2015,4.5.2 Gender parity index in upper secondary education,Kandal,,Upper secondary education,Percent,KH08,1.1
2016,4.5.2 Gender parity index in upper secondary education,Kandal,,Upper secondary education,Percent,KH08,1.18
2017,4.5.2 Gender parity index in upper secondary education,Kandal,,Upper secondary education,Percent,KH08,1.27
2018,4.5.2 Gender parity index in upper secondary education,Kandal,,Upper secondary education,Percent,KH08,1.36
2019,4.5.2 Gender parity index in upper secondary education,Kandal,,Upper secondary education,Percent,KH08,1.39
2008,4.5.2 Gender parity index in upper secondary education,Kep,,Upper secondary education,Percent,KH23,0.82
2009,4.5.2 Gender parity index in upper secondary education,Kep,,Upper secondary education,Percent,KH23,0.94
2010,4.5.2 Gender parity index in upper secondary education,Kep,,Upper secondary education,Percent,KH23,1.02
2011,4.5.2 Gender parity index in upper secondary education,Kep,,Upper secondary education,Percent,KH23,1.05
2012,4.5.2 Gender parity index in upper secondary education,Kep,,Upper secondary education,Percent,KH23,1.06
2013,4.5.2 Gender parity index in upper secondary education,Kep,,Upper secondary education,Percent,KH23,1.23
2014,4.5.2 Gender parity index in upper secondary education,Kep,,Upper secondary education,Percent,KH23,1.3
2015,4.5.2 Gender parity index in upper secondary education,Kep,,Upper secondary education,Percent,KH23,1.22
2016,4.5.2 Gender parity index in upper secondary education,Kep,,Upper secondary education,Percent,KH23,1.28
2017,4.5.2 Gender parity index in upper secondary education,Kep,,Upper secondary education,Percent,KH23,1.24
2018,4.5.2 Gender parity index in upper secondary education,Kep,,Upper secondary education,Percent,KH23,1.28
2019,4.5.2 Gender parity index in upper secondary education,Kep,,Upper secondary education,Percent,KH23,1.21
2008,4.5.2 Gender parity index in upper secondary education,Koh Kong,,Upper secondary education,Percent,KH09,0.73
2009,4.5.2 Gender parity index in upper secondary education,Koh Kong,,Upper secondary education,Percent,KH09,0.71
2010,4.5.2 Gender parity index in upper secondary education,Koh Kong,,Upper secondary education,Percent,KH09,0.82
2011,4.5.2 Gender parity index in upper secondary education,Koh Kong,,Upper secondary education,Percent,KH09,0.87
2012,4.5.2 Gender parity index in upper secondary education,Koh Kong,,Upper secondary education,Percent,KH09,0.93
2013,4.5.2 Gender parity index in upper secondary education,Koh Kong,,Upper secondary education,Percent,KH09,0.95
2014,4.5.2 Gender parity index in upper secondary education,Koh Kong,,Upper secondary education,Percent,KH09,1.0
2015,4.5.2 Gender parity index in upper secondary education,Koh Kong,,Upper secondary education,Percent,KH09,0.97
2016,4.5.2 Gender parity index in upper secondary education,Koh Kong,,Upper secondary education,Percent,KH09,0.95
2017,4.5.2 Gender parity index in upper secondary education,Koh Kong,,Upper secondary education,Percent,KH09,0.94
2018,4.5.2 Gender parity index in upper secondary education,Koh Kong,,Upper secondary education,Percent,KH09,0.93
2019,4.5.2 Gender parity index in upper secondary education,Koh Kong,,Upper secondary education,Percent,KH09,1.05
2008,4.5.2 Gender parity index in upper secondary education,Kratie,,Upper secondary education,Percent,KH10,0.88
2009,4.5.2 Gender parity index in upper secondary education,Kratie,,Upper secondary education,Percent,KH10,0.96
2010,4.5.2 Gender parity index in upper secondary education,Kratie,,Upper secondary education,Percent,KH10,0.98
2011,4.5.2 Gender parity index in upper secondary education,Kratie,,Upper secondary education,Percent,KH10,1.02
2012,4.5.2 Gender parity index in upper secondary education,Kratie,,Upper secondary education,Percent,KH10,1.08
2013,4.5.2 Gender parity index in upper secondary education,Kratie,,Upper secondary education,Percent,KH10,1.12
2014,4.5.2 Gender parity index in upper secondary education,Kratie,,Upper secondary education,Percent,KH10,1.1
2015,4.5.2 Gender parity index in upper secondary education,Kratie,,Upper secondary education,Percent,KH10,1.19
2016,4.5.2 Gender parity index in upper secondary education,Kratie,,Upper secondary education,Percent,KH10,1.18
2017,4.5.2 Gender parity index in upper secondary education,Kratie,,Upper secondary education,Percent,KH10,1.2
2018,4.5.2 Gender parity index in upper secondary education,Kratie,,Upper secondary education,Percent,KH10,1.27
2019,4.5.2 Gender parity index in upper secondary education,Kratie,,Upper secondary education,Percent,KH10,1.34
2008,4.5.2 Gender parity index in upper secondary education,Mondul Kiri,,Upper secondary education,Percent,KH11,0.78
2009,4.5.2 Gender parity index in upper secondary education,Mondul Kiri,,Upper secondary education,Percent,KH11,0.71
2010,4.5.2 Gender parity index in upper secondary education,Mondul Kiri,,Upper secondary education,Percent,KH11,0.71
2011,4.5.2 Gender parity index in upper secondary education,Mondul Kiri,,Upper secondary education,Percent,KH11,0.74
2012,4.5.2 Gender parity index in upper secondary education,Mondul Kiri,,Upper secondary education,Percent,KH11,0.77
2013,4.5.2 Gender parity index in upper secondary education,Mondul Kiri,,Upper secondary education,Percent,KH11,0.8
2014,4.5.2 Gender parity index in upper secondary education,Mondul Kiri,,Upper secondary education,Percent,KH11,0.9
2015,4.5.2 Gender parity index in upper secondary education,Mondul Kiri,,Upper secondary education,Percent,KH11,0.98
2016,4.5.2 Gender parity index in upper secondary education,Mondul Kiri,,Upper secondary education,Percent,KH11,1.11
2017,4.5.2 Gender parity index in upper secondary education,Mondul Kiri,,Upper secondary education,Percent,KH11,1.19
2018,4.5.2 Gender parity index in upper secondary education,Mondul Kiri,,Upper secondary education,Percent,KH11,1.22
2019,4.5.2 Gender parity index in upper secondary education,Mondul Kiri,,Upper secondary education,Percent,KH11,1.27
2008,4.5.2 Gender parity index in upper secondary education,Oddar Meanchey,,Upper secondary education,Percent,KH22,0.56
2009,4.5.2 Gender parity index in upper secondary education,Oddar Meanchey,,Upper secondary education,Percent,KH22,0.7
2010,4.5.2 Gender parity index in upper secondary education,Oddar Meanchey,,Upper secondary education,Percent,KH22,0.85
2011,4.5.2 Gender parity index in upper secondary education,Oddar Meanchey,,Upper secondary education,Percent,KH22,0.84
2012,4.5.2 Gender parity index in upper secondary education,Oddar Meanchey,,Upper secondary education,Percent,KH22,0.88
2013,4.5.2 Gender parity index in upper secondary education,Oddar Meanchey,,Upper secondary education,Percent,KH22,0.86
2014,4.5.2 Gender parity index in upper secondary education,Oddar Meanchey,,Upper secondary education,Percent,KH22,1.0
2015,4.5.2 Gender parity index in upper secondary education,Oddar Meanchey,,Upper secondary education,Percent,KH22,1.07
2016,4.5.2 Gender parity index in upper secondary education,Oddar Meanchey,,Upper secondary education,Percent,KH22,1.09
2017,4.5.2 Gender parity index in upper secondary education,Oddar Meanchey,,Upper secondary education,Percent,KH22,1.1
2018,4.5.2 Gender parity index in upper secondary education,Oddar Meanchey,,Upper secondary education,Percent,KH22,1.13
2019,4.5.2 Gender parity index in upper secondary education,Oddar Meanchey,,Upper secondary education,Percent,KH22,1.21
2008,4.5.2 Gender parity index in upper secondary education,Pailin,,Upper secondary education,Percent,KH24,0.72
2009,4.5.2 Gender parity index in upper secondary education,Pailin,,Upper secondary education,Percent,KH24,0.76
2010,4.5.2 Gender parity index in upper secondary education,Pailin,,Upper secondary education,Percent,KH24,0.89
2011,4.5.2 Gender parity index in upper secondary education,Pailin,,Upper secondary education,Percent,KH24,0.9
2012,4.5.2 Gender parity index in upper secondary education,Pailin,,Upper secondary education,Percent,KH24,0.95
2013,4.5.2 Gender parity index in upper secondary education,Pailin,,Upper secondary education,Percent,KH24,0.98
2014,4.5.2 Gender parity index in upper secondary education,Pailin,,Upper secondary education,Percent,KH24,1.1
2015,4.5.2 Gender parity index in upper secondary education,Pailin,,Upper secondary education,Percent,KH24,1.04
2016,4.5.2 Gender parity index in upper secondary education,Pailin,,Upper secondary education,Percent,KH24,1.05
2017,4.5.2 Gender parity index in upper secondary education,Pailin,,Upper secondary education,Percent,KH24,1.16
2018,4.5.2 Gender parity index in upper secondary education,Pailin,,Upper secondary education,Percent,KH24,1.24
2019,4.5.2 Gender parity index in upper secondary education,Pailin,,Upper secondary education,Percent,KH24,1.29
2008,4.5.2 Gender parity index in upper secondary education,Phnom Penh,,Upper secondary education,Percent,KH12,0.76
2009,4.5.2 Gender parity index in upper secondary education,Phnom Penh,,Upper secondary education,Percent,KH12,0.7
2010,4.5.2 Gender parity index in upper secondary education,Phnom Penh,,Upper secondary education,Percent,KH12,0.79
2011,4.5.2 Gender parity index in upper secondary education,Phnom Penh,,Upper secondary education,Percent,KH12,0.78
2012,4.5.2 Gender parity index in upper secondary education,Phnom Penh,,Upper secondary education,Percent,KH12,0.78
2013,4.5.2 Gender parity index in upper secondary education,Phnom Penh,,Upper secondary education,Percent,KH12,0.83
2014,4.5.2 Gender parity index in upper secondary education,Phnom Penh,,Upper secondary education,Percent,KH12,0.9
2015,4.5.2 Gender parity index in upper secondary education,Phnom Penh,,Upper secondary education,Percent,KH12,0.86
2016,4.5.2 Gender parity index in upper secondary education,Phnom Penh,,Upper secondary education,Percent,KH12,0.89
2017,4.5.2 Gender parity index in upper secondary education,Phnom Penh,,Upper secondary education,Percent,KH12,0.87
2018,4.5.2 Gender parity index in upper secondary education,Phnom Penh,,Upper secondary education,Percent,KH12,0.9
2019,4.5.2 Gender parity index in upper secondary education,Phnom Penh,,Upper secondary education,Percent,KH12,0.93
2008,4.5.2 Gender parity index in upper secondary education,Preah Sihanouk,,Upper secondary education,Percent,KH18,0.73
2009,4.5.2 Gender parity index in upper secondary education,Preah Sihanouk,,Upper secondary education,Percent,KH18,0.8
2010,4.5.2 Gender parity index in upper secondary education,Preah Sihanouk,,Upper secondary education,Percent,KH18,0.83
2011,4.5.2 Gender parity index in upper secondary education,Preah Sihanouk,,Upper secondary education,Percent,KH18,0.8
2012,4.5.2 Gender parity index in upper secondary education,Preah Sihanouk,,Upper secondary education,Percent,KH18,0.87
2013,4.5.2 Gender parity index in upper secondary education,Preah Sihanouk,,Upper secondary education,Percent,KH18,0.94
2014,4.5.2 Gender parity index in upper secondary education,Preah Sihanouk,,Upper secondary education,Percent,KH18,1.0
2015,4.5.2 Gender parity index in upper secondary education,Preah Sihanouk,,Upper secondary education,Percent,KH18,1.04
2016,4.5.2 Gender parity index in upper secondary education,Preah Sihanouk,,Upper secondary education,Percent,KH18,0.96
2017,4.5.2 Gender parity index in upper secondary education,Preah Sihanouk,,Upper secondary education,Percent,KH18,1.04
2018,4.5.2 Gender parity index in upper secondary education,Preah Sihanouk,,Upper secondary education,Percent,KH18,1.14
2019,4.5.2 Gender parity index in upper secondary education,Preah Sihanouk,,Upper secondary education,Percent,KH18,1.21
2008,4.5.2 Gender parity index in upper secondary education,Preah Vihear,,Upper secondary education,Percent,KH13,0.62
2009,4.5.2 Gender parity index in upper secondary education,Preah Vihear,,Upper secondary education,Percent,KH13,0.76
2010,4.5.2 Gender parity index in upper secondary education,Preah Vihear,,Upper secondary education,Percent,KH13,0.86
2011,4.5.2 Gender parity index in upper secondary education,Preah Vihear,,Upper secondary education,Percent,KH13,0.85
2012,4.5.2 Gender parity index in upper secondary education,Preah Vihear,,Upper secondary education,Percent,KH13,0.91
2013,4.5.2 Gender parity index in upper secondary education,Preah Vihear,,Upper secondary education,Percent,KH13,1.04
2014,4.5.2 Gender parity index in upper secondary education,Preah Vihear,,Upper secondary education,Percent,KH13,1.0
2015,4.5.2 Gender parity index in upper secondary education,Preah Vihear,,Upper secondary education,Percent,KH13,1.0
2016,4.5.2 Gender parity index in upper secondary education,Preah Vihear,,Upper secondary education,Percent,KH13,1.13
2017,4.5.2 Gender parity index in upper secondary education,Preah Vihear,,Upper secondary education,Percent,KH13,1.14
2018,4.5.2 Gender parity index in upper secondary education,Preah Vihear,,Upper secondary education,Percent,KH13,1.15
2019,4.5.2 Gender parity index in upper secondary education,Preah Vihear,,Upper secondary education,Percent,KH13,1.25
2008,4.5.2 Gender parity index in upper secondary education,Prey Veng,,Upper secondary education,Percent,KH14,0.77
2009,4.5.2 Gender parity index in upper secondary education,Prey Veng,,Upper secondary education,Percent,KH14,0.88
2010,4.5.2 Gender parity index in upper secondary education,Prey Veng,,Upper secondary education,Percent,KH14,0.75
2011,4.5.2 Gender parity index in upper secondary education,Prey Veng,,Upper secondary education,Percent,KH14,0.82
2012,4.5.2 Gender parity index in upper secondary education,Prey Veng,,Upper secondary education,Percent,KH14,0.87
2013,4.5.2 Gender parity index in upper secondary education,Prey Veng,,Upper secondary education,Percent,KH14,0.88
2014,4.5.2 Gender parity index in upper secondary education,Prey Veng,,Upper secondary education,Percent,KH14,1.0
2015,4.5.2 Gender parity index in upper secondary education,Prey Veng,,Upper secondary education,Percent,KH14,1.02
2016,4.5.2 Gender parity index in upper secondary education,Prey Veng,,Upper secondary education,Percent,KH14,1.13
2017,4.5.2 Gender parity index in upper secondary education,Prey Veng,,Upper secondary education,Percent,KH14,1.22
2018,4.5.2 Gender parity index in upper secondary education,Prey Veng,,Upper secondary education,Percent,KH14,1.31
2019,4.5.2 Gender parity index in upper secondary education,Prey Veng,,Upper secondary education,Percent,KH14,1.38
2008,4.5.2 Gender parity index in upper secondary education,Pursat,,Upper secondary education,Percent,KH15,0.65
2009,4.5.2 Gender parity index in upper secondary education,Pursat,,Upper secondary education,Percent,KH15,0.64
2010,4.5.2 Gender parity index in upper secondary education,Pursat,,Upper secondary education,Percent,KH15,0.87
2011,4.5.2 Gender parity index in upper secondary education,Pursat,,Upper secondary education,Percent,KH15,1.01
2012,4.5.2 Gender parity index in upper secondary education,Pursat,,Upper secondary education,Percent,KH15,1.04
2013,4.5.2 Gender parity index in upper secondary education,Pursat,,Upper secondary education,Percent,KH15,1.09
2014,4.5.2 Gender parity index in upper secondary education,Pursat,,Upper secondary education,Percent,KH15,1.1
2015,4.5.2 Gender parity index in upper secondary education,Pursat,,Upper secondary education,Percent,KH15,1.12
2016,4.5.2 Gender parity index in upper secondary education,Pursat,,Upper secondary education,Percent,KH15,1.16
2017,4.5.2 Gender parity index in upper secondary education,Pursat,,Upper secondary education,Percent,KH15,1.15
2018,4.5.2 Gender parity index in upper secondary education,Pursat,,Upper secondary education,Percent,KH15,1.24
2019,4.5.2 Gender parity index in upper secondary education,Pursat,,Upper secondary education,Percent,KH15,1.31
2008,4.5.2 Gender parity index in upper secondary education,Ratanak Kiri,,Upper secondary education,Percent,KH16,0.85
2009,4.5.2 Gender parity index in upper secondary education,Ratanak Kiri,,Upper secondary education,Percent,KH16,0.89
2010,4.5.2 Gender parity index in upper secondary education,Ratanak Kiri,,Upper secondary education,Percent,KH16,0.58
2011,4.5.2 Gender parity index in upper secondary education,Ratanak Kiri,,Upper secondary education,Percent,KH16,0.72
2012,4.5.2 Gender parity index in upper secondary education,Ratanak Kiri,,Upper secondary education,Percent,KH16,0.74
2013,4.5.2 Gender parity index in upper secondary education,Ratanak Kiri,,Upper secondary education,Percent,KH16,0.81
2014,4.5.2 Gender parity index in upper secondary education,Ratanak Kiri,,Upper secondary education,Percent,KH16,0.9
2015,4.5.2 Gender parity index in upper secondary education,Ratanak Kiri,,Upper secondary education,Percent,KH16,0.96
2016,4.5.2 Gender parity index in upper secondary education,Ratanak Kiri,,Upper secondary education,Percent,KH16,0.98
2017,4.5.2 Gender parity index in upper secondary education,Ratanak Kiri,,Upper secondary education,Percent,KH16,0.98
2018,4.5.2 Gender parity index in upper secondary education,Ratanak Kiri,,Upper secondary education,Percent,KH16,0.94
