Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,GeoCode,Value
2005,3.3.2 Neonatal mortality rate,Oddar Meanchey,,under 1 month old,,,Per 100 live births,KH22,19.0
2010,3.3.2 Neonatal mortality rate,Oddar Meanchey,,under 1 month old,,,Per 100 live births,KH22,20.0
2014,3.3.2 Neonatal mortality rate,Oddar Meanchey,,under 1 month old,,,Per 100 live births,KH22,17.0
2000,3.3.2 Neonatal mortality rate,Phnom Penh,,under 1 month old,,,Per 100 live births,KH12,14.0
2005,3.3.2 Neonatal mortality rate,Phnom Penh,,under 1 month old,,,Per 100 live births,KH12,24.0
2010,3.3.2 Neonatal mortality rate,Phnom Penh,,under 1 month old,,,Per 100 live births,KH12,8.0
2014,3.3.2 Neonatal mortality rate,Phnom Penh,,under 1 month old,,,Per 100 live births,KH12,13.0
2000,3.3.2 Neonatal mortality rate,Prey Veng,,under 1 month old,,,Per 100 live births,KH14,52.4
2005,3.3.2 Neonatal mortality rate,Prey Veng,,under 1 month old,,,Per 100 live births,KH14,52.0
2010,3.3.2 Neonatal mortality rate,Prey Veng,,under 1 month old,,,Per 100 live births,KH14,34.0
2014,3.3.2 Neonatal mortality rate,Prey Veng,,under 1 month old,,,Per 100 live births,KH14,33.0
2000,3.3.2 Neonatal mortality rate,Pursat,,under 1 month old,,,Per 100 live births,KH15,51.0
2005,3.3.2 Neonatal mortality rate,Pursat,,under 1 month old,,,Per 100 live births,KH15,27.0
2010,3.3.2 Neonatal mortality rate,Pursat,,under 1 month old,,,Per 100 live births,KH15,29.0
2014,3.3.2 Neonatal mortality rate,Pursat,,under 1 month old,,,Per 100 live births,KH15,14.0
2005,3.3.2 Neonatal mortality rate,Siemreap,,under 1 month old,,,Per 100 live births,KH17,34.0
2010,3.3.2 Neonatal mortality rate,Siemreap,,under 1 month old,,,Per 100 live births,KH17,28.0
2014,3.3.2 Neonatal mortality rate,Siemreap,,under 1 month old,,,Per 100 live births,KH17,17.0
2000,3.3.2 Neonatal mortality rate,Svay Rieng,,under 1 month old,,,Per 100 live births,KH20,56.2
2005,3.3.2 Neonatal mortality rate,Svay Rieng,,under 1 month old,,,Per 100 live births,KH20,29.0
2010,3.3.2 Neonatal mortality rate,Svay Rieng,,under 1 month old,,,Per 100 live births,KH20,27.0
2014,3.3.2 Neonatal mortality rate,Svay Rieng,,under 1 month old,,,Per 100 live births,KH20,20.0
2000,3.3.2 Neonatal mortality rate,Takeo,,under 1 month old,,,Per 100 live births,KH21,38.4
2005,3.3.2 Neonatal mortality rate,Takeo,,under 1 month old,,,Per 100 live births,KH21,52.0
2010,3.3.2 Neonatal mortality rate,Takeo,,under 1 month old,,,Per 100 live births,KH21,37.0
2014,3.3.2 Neonatal mortality rate,Takeo,,under 1 month old,,,Per 100 live births,KH21,16.0
2000,3.3.2 Neonatal mortality rate,Battambang and Pailin,,under 1 month old,,,Per 100 live births,KH_AGG_KH02_KH24,38.3
2005,3.3.2 Neonatal mortality rate,Battambang and Pailin,,under 1 month old,,,Per 100 live births,KH_AGG_KH02_KH24,29.0
2010,3.3.2 Neonatal mortality rate,Battambang and Pailin,,under 1 month old,,,Per 100 live births,KH_AGG_KH02_KH24,28.0
2014,3.3.2 Neonatal mortality rate,Battambang and Pailin,,under 1 month old,,,Per 100 live births,KH_AGG_KH02_KH24,12.0
2000,3.3.2 Neonatal mortality rate,"Kampot, Preah Sihanouk and Kep",,under 1 month old,,,Per 100 live births,KH_AGG_KH07_KH18_KH23,42.0
2000,3.3.2 Neonatal mortality rate,"Kratie, Preah Vihear and Stung Treng",,under 1 month old,,,Per 100 live births,KH_AGG_KH10_KH13_KH19,25.9
2000,3.3.2 Neonatal mortality rate,Mondul Kiri and Ratanak Kiri,,under 1 month old,,,Per 100 live births,KH_AGG_KH11_KH16,79.8
2005,3.3.2 Neonatal mortality rate,Mondul Kiri and Ratanak Kiri,,under 1 month old,,,Per 100 live births,KH_AGG_KH11_KH16,56.0
2010,3.3.2 Neonatal mortality rate,Mondul Kiri and Ratanak Kiri,,under 1 month old,,,Per 100 live births,KH_AGG_KH11_KH16,30.0
2014,3.3.2 Neonatal mortality rate,Mondul Kiri and Ratanak Kiri,,under 1 month old,,,Per 100 live births,KH_AGG_KH11_KH16,36.0
2000,3.3.2 Neonatal mortality rate,Otdar Meanchey and Siem Reap,,under 1 month old,,,Per 100 live births,KH_AGG_KH22_KH17,44.6
2005,3.3.2 Neonatal mortality rate,Kampot and Kep,,under 1 month old,,,Per 100 live births,KH_AGG_KH07_KH23,37.0
2010,3.3.2 Neonatal mortality rate,Kampot and Kep,,under 1 month old,,,Per 100 live births,KH_AGG_KH07_KH23,44.0
2014,3.3.2 Neonatal mortality rate,Kampot and Kep,,under 1 month old,,,Per 100 live births,KH_AGG_KH07_KH23,20.0
2005,3.3.2 Neonatal mortality rate,Koh Kong and Preah Sihanouk,,under 1 month old,,,Per 100 live births,KH_KH09_KH18,37.0
2010,3.3.2 Neonatal mortality rate,Koh Kong and Preah Sihanouk,,under 1 month old,,,Per 100 live births,KH_KH09_KH18,20.0
2014,3.3.2 Neonatal mortality rate,Koh Kong and Preah Sihanouk,,under 1 month old,,,Per 100 live births,KH_KH09_KH18,20.0
2005,3.3.2 Neonatal mortality rate,Preah Vihear and Stung Treng,,under 1 month old,,,Per 100 live births,KH_AGG_KH13_KH19,34.0
2010,3.3.2 Neonatal mortality rate,Preah Vihear and Stung Treng,,under 1 month old,,,Per 100 live births,KH_AGG_KH13_KH19,29.0
2014,3.3.2 Neonatal mortality rate,Preah Vihear and Stung Treng,,under 1 month old,,,Per 100 live births,KH_AGG_KH13_KH19,25.0
