Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2012,N_KH_04010101_01,,F,R,PT,,90.2
2013,N_KH_04010101_01,,F,R,PT,,92.8
2014,N_KH_04010101_01,,F,R,PT,,88.8
2015,N_KH_04010101_01,,F,R,PT,,86.0
2016,N_KH_04010101_01,,F,R,PT,,85.4
2017,N_KH_04010101_01,,F,R,PT,,85.1
2018,N_KH_04010101_01,,F,R,PT,,88.2
2019,N_KH_04010101_01,,F,R,PT,,90.1
2004,N_KH_04010101_01,,F,REMOTE,PT,,25.3
2005,N_KH_04010101_01,,F,REMOTE,PT,,22.8
2006,N_KH_04010101_01,,F,REMOTE,PT,,52.2
2007,N_KH_04010101_01,,F,REMOTE,PT,,56.2
2008,N_KH_04010101_01,,F,REMOTE,PT,,60.4
2005,N_KH_04010101_01,,M,,PT,,43.5
2006,N_KH_04010101_01,,M,,PT,,90.4
2007,N_KH_04010101_01,,M,,PT,,84.7
2008,N_KH_04010101_01,,M,,PT,,85.4
2009,N_KH_04010101_01,,M,,PT,,82.8
2010,N_KH_04010101_01,,M,,PT,,85.6
2011,N_KH_04010101_01,,M,,PT,,89.6
2012,N_KH_04010101_01,,M,,PT,,86.9
2013,N_KH_04010101_01,,M,,PT,,87.8
2014,N_KH_04010101_01,,M,,PT,,81.8
2015,N_KH_04010101_01,,M,,PT,,77.5
2016,N_KH_04010101_01,,M,,PT,,76.7
2017,N_KH_04010101_01,,M,,PT,,75.7
2018,N_KH_04010101_01,,M,,PT,,78.5
2019,N_KH_04010101_01,,M,,PT,,79.4
2005,N_KH_04010101_01,,M,U,PT,,54.5
2006,N_KH_04010101_01,,M,U,PT,,103.1
2007,N_KH_04010101_01,,M,U,PT,,91.6
2008,N_KH_04010101_01,,M,U,PT,,93.7
2009,N_KH_04010101_01,,M,U,PT,,84.3
2010,N_KH_04010101_01,,M,U,PT,,93.7
2011,N_KH_04010101_01,,M,U,PT,,77.2
2012,N_KH_04010101_01,,M,U,PT,,79.0
2013,N_KH_04010101_01,,M,U,PT,,75.3
2014,N_KH_04010101_01,,M,U,PT,,71.8
2015,N_KH_04010101_01,,M,U,PT,,70.2
2016,N_KH_04010101_01,,M,U,PT,,68.3
2017,N_KH_04010101_01,,M,U,PT,,66.3
2018,N_KH_04010101_01,,M,U,PT,,69.2
2019,N_KH_04010101_01,,M,U,PT,,69.4
2005,N_KH_04010101_01,,M,R,PT,,42.3
2006,N_KH_04010101_01,,M,R,PT,,89.6
2007,N_KH_04010101_01,,M,R,PT,,84.9
2008,N_KH_04010101_01,,M,R,PT,,85.8
2009,N_KH_04010101_01,,M,R,PT,,82.5
2010,N_KH_04010101_01,,M,R,PT,,84.1
2011,N_KH_04010101_01,,M,R,PT,,92.4
2012,N_KH_04010101_01,,M,R,PT,,97.7
2013,N_KH_04010101_01,,M,R,PT,,90.6
2014,N_KH_04010101_01,,M,R,PT,,84.2
2015,N_KH_04010101_01,,M,R,PT,,79.2
2016,N_KH_04010101_01,,M,R,PT,,78.7
2017,N_KH_04010101_01,,M,R,PT,,78.0
2018,N_KH_04010101_01,,M,R,PT,,80.7
2019,N_KH_04010101_01,,M,R,PT,,81.9
2005,N_KH_04010101_01,,M,REMOTE,PT,,26.6
2006,N_KH_04010101_01,,M,REMOTE,PT,,52.7
2007,N_KH_04010101_01,,M,REMOTE,PT,,52.3
2008,N_KH_04010101_01,,M,REMOTE,PT,,57.6
2004,N_KH_04010101_01,,,,PT,,46.8
2005,N_KH_04010101_01,,,,PT,,42.9
2006,N_KH_04010101_01,,,,PT,,90.1
2007,N_KH_04010101_01,,,,PT,,86.2
2008,N_KH_04010101_01,,,,PT,,85.6
2009,N_KH_04010101_01,,,,PT,,83.2
2010,N_KH_04010101_01,,,,PT,,85.3
2011,N_KH_04010101_01,,,,PT,,89.7
2012,N_KH_04010101_01,,,,PT,,87.4
2013,N_KH_04010101_01,,,,PT,,88.9
2014,N_KH_04010101_01,,,,PT,,84.1
2015,N_KH_04010101_01,,,,PT,,80.6
2016,N_KH_04010101_01,,,,PT,,79.9
2017,N_KH_04010101_01,,,,PT,,79.1
2018,N_KH_04010101_01,,,,PT,,82.1
2019,N_KH_04010101_01,,,,PT,,83.3
2004,N_KH_04010101_01,,,U,PT,,56.9
2005,N_KH_04010101_01,,,U,PT,,54.4
2006,N_KH_04010101_01,,,U,PT,,99.0
2007,N_KH_04010101_01,,,U,PT,,91.6
2008,N_KH_04010101_01,,,U,PT,,91.0
2009,N_KH_04010101_01,,,U,PT,,84.3
2010,N_KH_04010101_01,,,U,PT,,91.0
2011,N_KH_04010101_01,,,U,PT,,78.0
2012,N_KH_04010101_01,,,U,PT,,79.1
2013,N_KH_04010101_01,,,U,PT,,76.9
2014,N_KH_04010101_01,,,U,PT,,74.1
2015,N_KH_04010101_01,,,U,PT,,72.6
2016,N_KH_04010101_01,,,U,PT,,71.0
2017,N_KH_04010101_01,,,U,PT,,69.3
2018,N_KH_04010101_01,,,U,PT,,73.0
2019,N_KH_04010101_01,,,U,PT,,73.1
2004,N_KH_04010101_01,,,R,PT,,45.7
2005,N_KH_04010101_01,,,R,PT,,41.7
2006,N_KH_04010101_01,,,R,PT,,90.0
2007,N_KH_04010101_01,,,R,PT,,86.8
2008,N_KH_04010101_01,,,R,PT,,86.4
2009,N_KH_04010101_01,,,R,PT,,83.0
2010,N_KH_04010101_01,,,R,PT,,84.3
2011,N_KH_04010101_01,,,R,PT,,92.4
2012,N_KH_04010101_01,,,R,PT,,94.0
2013,N_KH_04010101_01,,,R,PT,,91.7
2014,N_KH_04010101_01,,,R,PT,,86.5
2015,N_KH_04010101_01,,,R,PT,,82.5
2016,N_KH_04010101_01,,,R,PT,,82.0
2017,N_KH_04010101_01,,,R,PT,,81.4
2018,N_KH_04010101_01,,,R,PT,,84.4
2019,N_KH_04010101_01,,,R,PT,,85.8
2004,N_KH_04010101_01,,,REMOTE,PT,,26.0
2005,N_KH_04010101_01,,,REMOTE,PT,,24.7
2006,N_KH_04010101_01,,,REMOTE,PT,,52.4
2007,N_KH_04010101_01,,,REMOTE,PT,,54.1
2008,N_KH_04010101_01,,,REMOTE,PT,,59.0
2009,N_KH_04010101_01,KH01,F,,PT,KH01,90.7
2010,N_KH_04010101_01,KH01,F,,PT,KH01,94.6
2011,N_KH_04010101_01,KH01,F,,PT,KH01,93.0
2012,N_KH_04010101_01,KH01,F,,PT,KH01,85.1
2013,N_KH_04010101_01,KH01,F,,PT,KH01,84.4
2014,N_KH_04010101_01,KH01,F,,PT,KH01,77.5
2015,N_KH_04010101_01,KH01,F,,PT,KH01,74.4
2016,N_KH_04010101_01,KH01,F,,PT,KH01,73.2
2017,N_KH_04010101_01,KH01,F,,PT,KH01,74.3
2018,N_KH_04010101_01,KH01,F,,PT,KH01,78.4
2019,N_KH_04010101_01,KH01,F,,PT,KH01,78.8
2009,N_KH_04010101_01,KH01,M,,PT,KH01,85.4
2010,N_KH_04010101_01,KH01,M,,PT,KH01,93.1
2011,N_KH_04010101_01,KH01,M,,PT,KH01,90.2
2012,N_KH_04010101_01,KH01,M,,PT,KH01,96.1
2013,N_KH_04010101_01,KH01,M,,PT,KH01,82.4
2014,N_KH_04010101_01,KH01,M,,PT,KH01,73.9
2015,N_KH_04010101_01,KH01,M,,PT,KH01,67.6
2016,N_KH_04010101_01,KH01,M,,PT,KH01,66.8
2017,N_KH_04010101_01,KH01,M,,PT,KH01,65.1
2018,N_KH_04010101_01,KH01,M,,PT,KH01,69.4
2019,N_KH_04010101_01,KH01,M,,PT,KH01,73.1
2009,N_KH_04010101_01,KH01,,,PT,KH01,88.0
2010,N_KH_04010101_01,KH01,,,PT,KH01,93.9
2011,N_KH_04010101_01,KH01,,,PT,KH01,91.6
2012,N_KH_04010101_01,KH01,,,PT,KH01,90.8
2013,N_KH_04010101_01,KH01,,,PT,KH01,83.4
2014,N_KH_04010101_01,KH01,,,PT,KH01,75.6
2015,N_KH_04010101_01,KH01,,,PT,KH01,70.9
2016,N_KH_04010101_01,KH01,,,PT,KH01,69.9
2017,N_KH_04010101_01,KH01,,,PT,KH01,69.5
2018,N_KH_04010101_01,KH01,,,PT,KH01,73.7
2019,N_KH_04010101_01,KH01,,,PT,KH01,75.8
2009,N_KH_04010101_01,KH02,F,,PT,KH02,85.6
2010,N_KH_04010101_01,KH02,F,,PT,KH02,73.5
2011,N_KH_04010101_01,KH02,F,,PT,KH02,85.4
2012,N_KH_04010101_01,KH02,F,,PT,KH02,82.1
2013,N_KH_04010101_01,KH02,F,,PT,KH02,86.4
2014,N_KH_04010101_01,KH02,F,,PT,KH02,82.1
2015,N_KH_04010101_01,KH02,F,,PT,KH02,80.2
2016,N_KH_04010101_01,KH02,F,,PT,KH02,79.3
2017,N_KH_04010101_01,KH02,F,,PT,KH02,81.0
2018,N_KH_04010101_01,KH02,F,,PT,KH02,84.8
2019,N_KH_04010101_01,KH02,F,,PT,KH02,85.9
2009,N_KH_04010101_01,KH02,M,,PT,KH02,81.3
2010,N_KH_04010101_01,KH02,M,,PT,KH02,76.9
2011,N_KH_04010101_01,KH02,M,,PT,KH02,80.8
2012,N_KH_04010101_01,KH02,M,,PT,KH02,90.7
2013,N_KH_04010101_01,KH02,M,,PT,KH02,80.2
2014,N_KH_04010101_01,KH02,M,,PT,KH02,77.4
2015,N_KH_04010101_01,KH02,M,,PT,KH02,73.7
2016,N_KH_04010101_01,KH02,M,,PT,KH02,71.6
2017,N_KH_04010101_01,KH02,M,,PT,KH02,74.0
2018,N_KH_04010101_01,KH02,M,,PT,KH02,77.3
2019,N_KH_04010101_01,KH02,M,,PT,KH02,79.2
2009,N_KH_04010101_01,KH02,,,PT,KH02,83.4
2010,N_KH_04010101_01,KH02,,,PT,KH02,75.2
2011,N_KH_04010101_01,KH02,,,PT,KH02,83.0
2012,N_KH_04010101_01,KH02,,,PT,KH02,86.5
2013,N_KH_04010101_01,KH02,,,PT,KH02,83.2
2014,N_KH_04010101_01,KH02,,,PT,KH02,79.7
2015,N_KH_04010101_01,KH02,,,PT,KH02,76.8
2016,N_KH_04010101_01,KH02,,,PT,KH02,75.3
2017,N_KH_04010101_01,KH02,,,PT,KH02,77.4
2018,N_KH_04010101_01,KH02,,,PT,KH02,80.9
2019,N_KH_04010101_01,KH02,,,PT,KH02,82.4
2009,N_KH_04010101_01,KH03,F,,PT,KH03,82.2
2010,N_KH_04010101_01,KH03,F,,PT,KH03,84.0
2011,N_KH_04010101_01,KH03,F,,PT,KH03,91.6
2012,N_KH_04010101_01,KH03,F,,PT,KH03,88.1
2013,N_KH_04010101_01,KH03,F,,PT,KH03,94.4
2014,N_KH_04010101_01,KH03,F,,PT,KH03,92.1
2015,N_KH_04010101_01,KH03,F,,PT,KH03,87.8
2016,N_KH_04010101_01,KH03,F,,PT,KH03,88.8
2017,N_KH_04010101_01,KH03,F,,PT,KH03,88.1
2018,N_KH_04010101_01,KH03,F,,PT,KH03,91.4
2019,N_KH_04010101_01,KH03,F,,PT,KH03,91.9
2009,N_KH_04010101_01,KH03,M,,PT,KH03,81.5
2010,N_KH_04010101_01,KH03,M,,PT,KH03,77.9
2011,N_KH_04010101_01,KH03,M,,PT,KH03,91.9
2012,N_KH_04010101_01,KH03,M,,PT,KH03,97.3
2013,N_KH_04010101_01,KH03,M,,PT,KH03,92.4
2014,N_KH_04010101_01,KH03,M,,PT,KH03,86.8
2015,N_KH_04010101_01,KH03,M,,PT,KH03,80.9
2016,N_KH_04010101_01,KH03,M,,PT,KH03,79.4
2017,N_KH_04010101_01,KH03,M,,PT,KH03,81.2
2018,N_KH_04010101_01,KH03,M,,PT,KH03,82.8
2019,N_KH_04010101_01,KH03,M,,PT,KH03,83.1
2009,N_KH_04010101_01,KH03,,,PT,KH03,81.8
2010,N_KH_04010101_01,KH03,,,PT,KH03,80.9
2011,N_KH_04010101_01,KH03,,,PT,KH03,91.8
2012,N_KH_04010101_01,KH03,,,PT,KH03,92.8
2013,N_KH_04010101_01,KH03,,,PT,KH03,93.4
2014,N_KH_04010101_01,KH03,,,PT,KH03,89.4
2015,N_KH_04010101_01,KH03,,,PT,KH03,84.2
2016,N_KH_04010101_01,KH03,,,PT,KH03,84.0
2017,N_KH_04010101_01,KH03,,,PT,KH03,84.6
2018,N_KH_04010101_01,KH03,,,PT,KH03,87.0
2019,N_KH_04010101_01,KH03,,,PT,KH03,87.4
2009,N_KH_04010101_01,KH04,F,,PT,KH04,88.0
2010,N_KH_04010101_01,KH04,F,,PT,KH04,97.9
2011,N_KH_04010101_01,KH04,F,,PT,KH04,89.9
2012,N_KH_04010101_01,KH04,F,,PT,KH04,88.9
2013,N_KH_04010101_01,KH04,F,,PT,KH04,91.4
2014,N_KH_04010101_01,KH04,F,,PT,KH04,90.2
2015,N_KH_04010101_01,KH04,F,,PT,KH04,87.7
2016,N_KH_04010101_01,KH04,F,,PT,KH04,84.5
2017,N_KH_04010101_01,KH04,F,,PT,KH04,85.3
2018,N_KH_04010101_01,KH04,F,,PT,KH04,87.7
2019,N_KH_04010101_01,KH04,F,,PT,KH04,87.8
2009,N_KH_04010101_01,KH04,M,,PT,KH04,82.2
2010,N_KH_04010101_01,KH04,M,,PT,KH04,94.4
2011,N_KH_04010101_01,KH04,M,,PT,KH04,85.0
2012,N_KH_04010101_01,KH04,M,,PT,KH04,94.9
2013,N_KH_04010101_01,KH04,M,,PT,KH04,84.1
2014,N_KH_04010101_01,KH04,M,,PT,KH04,84.1
2015,N_KH_04010101_01,KH04,M,,PT,KH04,77.9
2016,N_KH_04010101_01,KH04,M,,PT,KH04,79.0
2017,N_KH_04010101_01,KH04,M,,PT,KH04,76.8
2018,N_KH_04010101_01,KH04,M,,PT,KH04,78.0
2019,N_KH_04010101_01,KH04,M,,PT,KH04,79.2
2009,N_KH_04010101_01,KH04,,,PT,KH04,85.1
2010,N_KH_04010101_01,KH04,,,PT,KH04,96.1
2011,N_KH_04010101_01,KH04,,,PT,KH04,87.4
2012,N_KH_04010101_01,KH04,,,PT,KH04,92.0
2013,N_KH_04010101_01,KH04,,,PT,KH04,87.7
2014,N_KH_04010101_01,KH04,,,PT,KH04,87.1
2015,N_KH_04010101_01,KH04,,,PT,KH04,82.7
2016,N_KH_04010101_01,KH04,,,PT,KH04,81.7
2017,N_KH_04010101_01,KH04,,,PT,KH04,80.9
2018,N_KH_04010101_01,KH04,,,PT,KH04,82.8
2019,N_KH_04010101_01,KH04,,,PT,KH04,83.4
2009,N_KH_04010101_01,KH05,F,,PT,KH05,86.4
2010,N_KH_04010101_01,KH05,F,,PT,KH05,94.8
2011,N_KH_04010101_01,KH05,F,,PT,KH05,88.3
2012,N_KH_04010101_01,KH05,F,,PT,KH05,88.6
2013,N_KH_04010101_01,KH05,F,,PT,KH05,94.4
2014,N_KH_04010101_01,KH05,F,,PT,KH05,88.6
2015,N_KH_04010101_01,KH05,F,,PT,KH05,82.6
2016,N_KH_04010101_01,KH05,F,,PT,KH05,83.4
2017,N_KH_04010101_01,KH05,F,,PT,KH05,78.4
2018,N_KH_04010101_01,KH05,F,,PT,KH05,86.4
2019,N_KH_04010101_01,KH05,F,,PT,KH05,87.3
2009,N_KH_04010101_01,KH05,M,,PT,KH05,84.5
2010,N_KH_04010101_01,KH05,M,,PT,KH05,103.5
2011,N_KH_04010101_01,KH05,M,,PT,KH05,92.2
2012,N_KH_04010101_01,KH05,M,,PT,KH05,96.6
2013,N_KH_04010101_01,KH05,M,,PT,KH05,94.0
2014,N_KH_04010101_01,KH05,M,,PT,KH05,88.2
2015,N_KH_04010101_01,KH05,M,,PT,KH05,79.3
2016,N_KH_04010101_01,KH05,M,,PT,KH05,77.0
2017,N_KH_04010101_01,KH05,M,,PT,KH05,78.6
2018,N_KH_04010101_01,KH05,M,,PT,KH05,80.3
2019,N_KH_04010101_01,KH05,M,,PT,KH05,80.7
2009,N_KH_04010101_01,KH05,,,PT,KH05,85.5
2010,N_KH_04010101_01,KH05,,,PT,KH05,99.1
2011,N_KH_04010101_01,KH05,,,PT,KH05,90.2
2012,N_KH_04010101_01,KH05,,,PT,KH05,92.7
2013,N_KH_04010101_01,KH05,,,PT,KH05,94.2
2014,N_KH_04010101_01,KH05,,,PT,KH05,88.4
2015,N_KH_04010101_01,KH05,,,PT,KH05,80.9
2016,N_KH_04010101_01,KH05,,,PT,KH05,80.2
2017,N_KH_04010101_01,KH05,,,PT,KH05,78.5
2018,N_KH_04010101_01,KH05,,,PT,KH05,83.3
2019,N_KH_04010101_01,KH05,,,PT,KH05,84.0
2009,N_KH_04010101_01,KH06,F,,PT,KH06,79.3
2010,N_KH_04010101_01,KH06,F,,PT,KH06,83.4
2011,N_KH_04010101_01,KH06,F,,PT,KH06,86.4
2012,N_KH_04010101_01,KH06,F,,PT,KH06,82.7
2013,N_KH_04010101_01,KH06,F,,PT,KH06,87.2
2014,N_KH_04010101_01,KH06,F,,PT,KH06,83.1
2015,N_KH_04010101_01,KH06,F,,PT,KH06,83.4
2016,N_KH_04010101_01,KH06,F,,PT,KH06,84.1
2017,N_KH_04010101_01,KH06,F,,PT,KH06,87.1
2018,N_KH_04010101_01,KH06,F,,PT,KH06,84.7
2019,N_KH_04010101_01,KH06,F,,PT,KH06,85.8
2009,N_KH_04010101_01,KH06,M,,PT,KH06,74.8
2010,N_KH_04010101_01,KH06,M,,PT,KH06,76.0
2011,N_KH_04010101_01,KH06,M,,PT,KH06,82.0
2012,N_KH_04010101_01,KH06,M,,PT,KH06,90.0
2013,N_KH_04010101_01,KH06,M,,PT,KH06,81.3
2014,N_KH_04010101_01,KH06,M,,PT,KH06,74.9
2015,N_KH_04010101_01,KH06,M,,PT,KH06,69.8
2016,N_KH_04010101_01,KH06,M,,PT,KH06,73.3
2017,N_KH_04010101_01,KH06,M,,PT,KH06,70.8
2018,N_KH_04010101_01,KH06,M,,PT,KH06,75.8
2019,N_KH_04010101_01,KH06,M,,PT,KH06,73.9
2009,N_KH_04010101_01,KH06,,,PT,KH06,77.0
2010,N_KH_04010101_01,KH06,,,PT,KH06,79.6
2011,N_KH_04010101_01,KH06,,,PT,KH06,84.2
2012,N_KH_04010101_01,KH06,,,PT,KH06,86.4
2013,N_KH_04010101_01,KH06,,,PT,KH06,84.2
2014,N_KH_04010101_01,KH06,,,PT,KH06,79.0
2015,N_KH_04010101_01,KH06,,,PT,KH06,76.4
2016,N_KH_04010101_01,KH06,,,PT,KH06,78.6
2017,N_KH_04010101_01,KH06,,,PT,KH06,78.8
2018,N_KH_04010101_01,KH06,,,PT,KH06,80.1
2019,N_KH_04010101_01,KH06,,,PT,KH06,79.7
2009,N_KH_04010101_01,KH07,F,,PT,KH07,84.4
2010,N_KH_04010101_01,KH07,F,,PT,KH07,87.7
2011,N_KH_04010101_01,KH07,F,,PT,KH07,90.8
2012,N_KH_04010101_01,KH07,F,,PT,KH07,89.4
2013,N_KH_04010101_01,KH07,F,,PT,KH07,92.8
2014,N_KH_04010101_01,KH07,F,,PT,KH07,91.0
2015,N_KH_04010101_01,KH07,F,,PT,KH07,85.9
2016,N_KH_04010101_01,KH07,F,,PT,KH07,84.3
2017,N_KH_04010101_01,KH07,F,,PT,KH07,77.5
2018,N_KH_04010101_01,KH07,F,,PT,KH07,80.4
2019,N_KH_04010101_01,KH07,F,,PT,KH07,77.3
2009,N_KH_04010101_01,KH07,M,,PT,KH07,88.2
2010,N_KH_04010101_01,KH07,M,,PT,KH07,75.4
2011,N_KH_04010101_01,KH07,M,,PT,KH07,93.2
2012,N_KH_04010101_01,KH07,M,,PT,KH07,98.7
2013,N_KH_04010101_01,KH07,M,,PT,KH07,93.6
2014,N_KH_04010101_01,KH07,M,,PT,KH07,92.2
2015,N_KH_04010101_01,KH07,M,,PT,KH07,85.8
2016,N_KH_04010101_01,KH07,M,,PT,KH07,82.0
2017,N_KH_04010101_01,KH07,M,,PT,KH07,71.6
2018,N_KH_04010101_01,KH07,M,,PT,KH07,74.5
2019,N_KH_04010101_01,KH07,M,,PT,KH07,70.7
2009,N_KH_04010101_01,KH07,,,PT,KH07,86.4
2010,N_KH_04010101_01,KH07,,,PT,KH07,80.8
2011,N_KH_04010101_01,KH07,,,PT,KH07,92.1
2012,N_KH_04010101_01,KH07,,,PT,KH07,94.2
2013,N_KH_04010101_01,KH07,,,PT,KH07,93.2
2014,N_KH_04010101_01,KH07,,,PT,KH07,91.6
2015,N_KH_04010101_01,KH07,,,PT,KH07,85.9
2016,N_KH_04010101_01,KH07,,,PT,KH07,83.1
2017,N_KH_04010101_01,KH07,,,PT,KH07,74.5
2018,N_KH_04010101_01,KH07,,,PT,KH07,77.4
2019,N_KH_04010101_01,KH07,,,PT,KH07,73.9
2009,N_KH_04010101_01,KH08,F,,PT,KH08,84.7
2010,N_KH_04010101_01,KH08,F,,PT,KH08,93.1
2011,N_KH_04010101_01,KH08,F,,PT,KH08,94.2
2012,N_KH_04010101_01,KH08,F,,PT,KH08,92.3
2013,N_KH_04010101_01,KH08,F,,PT,KH08,97.3
2014,N_KH_04010101_01,KH08,F,,PT,KH08,90.6
2015,N_KH_04010101_01,KH08,F,,PT,KH08,86.6
2016,N_KH_04010101_01,KH08,F,,PT,KH08,84.0
2017,N_KH_04010101_01,KH08,F,,PT,KH08,84.6
2018,N_KH_04010101_01,KH08,F,,PT,KH08,90.3
2019,N_KH_04010101_01,KH08,F,,PT,KH08,95.8
2009,N_KH_04010101_01,KH08,M,,PT,KH08,86.9
2010,N_KH_04010101_01,KH08,M,,PT,KH08,97.2
2011,N_KH_04010101_01,KH08,M,,PT,KH08,98.0
2012,N_KH_04010101_01,KH08,M,,PT,KH08,108.4
2013,N_KH_04010101_01,KH08,M,,PT,KH08,99.1
2014,N_KH_04010101_01,KH08,M,,PT,KH08,86.2
2015,N_KH_04010101_01,KH08,M,,PT,KH08,80.0
2016,N_KH_04010101_01,KH08,M,,PT,KH08,80.7
2017,N_KH_04010101_01,KH08,M,,PT,KH08,81.1
2018,N_KH_04010101_01,KH08,M,,PT,KH08,84.7
2019,N_KH_04010101_01,KH08,M,,PT,KH08,89.4
2009,N_KH_04010101_01,KH08,,,PT,KH08,85.8
2010,N_KH_04010101_01,KH08,,,PT,KH08,95.2
2011,N_KH_04010101_01,KH08,,,PT,KH08,96.2
2012,N_KH_04010101_01,KH08,,,PT,KH08,100.3
2013,N_KH_04010101_01,KH08,,,PT,KH08,98.2
2014,N_KH_04010101_01,KH08,,,PT,KH08,88.4
2015,N_KH_04010101_01,KH08,,,PT,KH08,83.2
2016,N_KH_04010101_01,KH08,,,PT,KH08,82.3
2017,N_KH_04010101_01,KH08,,,PT,KH08,82.8
2018,N_KH_04010101_01,KH08,,,PT,KH08,87.4
2019,N_KH_04010101_01,KH08,,,PT,KH08,92.5
2009,N_KH_04010101_01,KH23,F,,PT,KH23,90.0
2010,N_KH_04010101_01,KH23,F,,PT,KH23,101.7
2011,N_KH_04010101_01,KH23,F,,PT,KH23,85.3
2012,N_KH_04010101_01,KH23,F,,PT,KH23,84.4
2013,N_KH_04010101_01,KH23,F,,PT,KH23,87.0
2014,N_KH_04010101_01,KH23,F,,PT,KH23,64.7
2015,N_KH_04010101_01,KH23,F,,PT,KH23,62.8
2016,N_KH_04010101_01,KH23,F,,PT,KH23,58.1
2017,N_KH_04010101_01,KH23,F,,PT,KH23,56.7
2018,N_KH_04010101_01,KH23,F,,PT,KH23,53.4
2019,N_KH_04010101_01,KH23,F,,PT,KH23,51.1
2009,N_KH_04010101_01,KH23,M,,PT,KH23,76.6
2010,N_KH_04010101_01,KH23,M,,PT,KH23,99.6
2011,N_KH_04010101_01,KH23,M,,PT,KH23,89.1
2012,N_KH_04010101_01,KH23,M,,PT,KH23,80.6
2013,N_KH_04010101_01,KH23,M,,PT,KH23,83.0
2014,N_KH_04010101_01,KH23,M,,PT,KH23,65.3
2015,N_KH_04010101_01,KH23,M,,PT,KH23,69.4
2016,N_KH_04010101_01,KH23,M,,PT,KH23,58.4
2017,N_KH_04010101_01,KH23,M,,PT,KH23,53.9
2018,N_KH_04010101_01,KH23,M,,PT,KH23,48.8
2019,N_KH_04010101_01,KH23,M,,PT,KH23,43.4
2009,N_KH_04010101_01,KH23,,,PT,KH23,83.1
2010,N_KH_04010101_01,KH23,,,PT,KH23,100.6
2011,N_KH_04010101_01,KH23,,,PT,KH23,87.3
2012,N_KH_04010101_01,KH23,,,PT,KH23,82.4
2013,N_KH_04010101_01,KH23,,,PT,KH23,84.9
2014,N_KH_04010101_01,KH23,,,PT,KH23,65.0
2015,N_KH_04010101_01,KH23,,,PT,KH23,66.2
2016,N_KH_04010101_01,KH23,,,PT,KH23,58.2
2017,N_KH_04010101_01,KH23,,,PT,KH23,55.2
2018,N_KH_04010101_01,KH23,,,PT,KH23,51.0
2019,N_KH_04010101_01,KH23,,,PT,KH23,47.1
2009,N_KH_04010101_01,KH09,F,,PT,KH09,55.2
2010,N_KH_04010101_01,KH09,F,,PT,KH09,88.7
2011,N_KH_04010101_01,KH09,F,,PT,KH09,78.5
2012,N_KH_04010101_01,KH09,F,,PT,KH09,74.6
2013,N_KH_04010101_01,KH09,F,,PT,KH09,71.0
2014,N_KH_04010101_01,KH09,F,,PT,KH09,68.9
2015,N_KH_04010101_01,KH09,F,,PT,KH09,65.0
2016,N_KH_04010101_01,KH09,F,,PT,KH09,61.9
2017,N_KH_04010101_01,KH09,F,,PT,KH09,63.4
2018,N_KH_04010101_01,KH09,F,,PT,KH09,66.2
2019,N_KH_04010101_01,KH09,F,,PT,KH09,68.6
