Value,km,en,Disaggregation combinations using this value,Number of indicators
N_KH_120401_01,១២.៤.១ អត្រានៃការសាយភាយសារធាតុ បំពុលសរីរាង្គមិនងាយបំបែកធាតុសាយភាយ ចូលទៅក្នុងបរិស្ថាន,12.4.1 Percentage of release reduction of Persistent Organic Pollutants (POPs) to the environment,1,1
N_KH_120402_01,១២.៤.២ ភាគរយនៃការកាត់បន្ថយការសាយភាយសារធាតុបារតសាយភាយចូលទៅក្នុងបរិស្ថាន,12.4.2 Percentage of release reduction of mercury (Hg) to the environment,1,1
N_KH_120403_01,១២.៤.៣ ភាគរយនៃការ គ្រប់គ្រងសំណល់គ្រោះថ្នាក់ សំណល់ជីវសាស្រ្ត និងវិទ្យុសកម្ម,12.4.3 Effectiveness management of hazardous waste and biological and radioactive waste,1,1
N_KH_120501_01,១២.៥.១ អត្រានៃការកែច្នៃឡើងវិញនូវវត្ថុធាតុដើមដែលបានប្រើប្រាស់,"12.5.1 National recycling rate, tons of material recycled",1,1
N_KH_130101_01,១៣.១.១ ភាគរយនៃឃុំ/សង្កាត់ងាយរងគ្រោះទៅនឹងការប្រែប្រួលអាកាសធាតុ,13.1.1 Percentage of communes/Sangkats vulnerable to climate change,1,1
N_KH_130201_01,១៣.២.១ ភាគរយនៃការបញ្ចេញឧស្ម័នផ្ទះកញ្ចក់ពីសកម្មភាពកាត់បន្ថយ នៅពេលដែលប្រៀបធៀបចំហាក (សេណារ៉ូ)បញ្ចេញឧស្ម័នតាមទម្លាប់,13.2.1 Pecentage of Green-House Gas emission through reduced activities when comparing to the projection (scenario) of usual gas emission,1,1
N_KH_130202_01,១៣.២.២ ភាគរយនៃការប្រែប្រួលចំណាយសាធារណៈសម្រាប់ការប្រែប្រួលអាកាសធាតុ,13.2.2 Percentage of increase in public expenditure for climate change,1,1
N_KH_130301_01,១៣.៣.១ កម្រិតស្ថាប័នដែលបានត្រៀមសម្រាប់ការឆ្លើយតបនឹងការប្រែប្រួលអាកាសធាតុ ដោយបង្ហាញជាភាគរយនៃសមត្ថភាពស្ថាប័នដែលបានបញ្ជ្រាបផ្នែកទាំងប្រាំនៃការប្រែប្រួលអាកាសធាតុ,13.3.1 Intitution level that prepared for response to Climate Change indicated as percentage of institutional capacities mainstreamed on 5 components of Climate Change,1,1
N_KH_130302_01,១៣.៣.២ ភាគរយនៃគ្រួសារកសិករដាំដុះដំណាំចិញ្ចឹមសត្វចិញ្ចឹមត្រីអ្នកនេសាទនិងប្រជាសហគមន៍មូលដ្ឋានដែលទទួលការផ្សព្វផ្សាយនិងបណ្តុះបណ្តាលទាក់ទងនឹងការប្រែប្រួលអាកាសធាតុ,"13.3.2 Percentage of households (farming, animal raising, fish raising, and fishing) and local community forestry members participated workshops and received training on climate change",1,1
N_KH_140101_01,១៤.១.១ ភាគយនៃការកាត់បន្ថយការបំពុល សមុទ្រតាម រយៈសកម្មភាពអភិរក្សសមុទ្រ,14.1.1 Percentage of the reduction of the sea pollution by the conservation activities,1,1
N_KH_140202_01,១៤.២.១ មុខងារនិងសេវាសំខាន់ៗរបស់ប្រព័ន្ធអេកូឡូស៊ីសមុទ្រនិងតំបន់ឆ្នេរត្រូវបានថែរក្សានិងស្តារតាមការចាំបាច់,14.2.1 Key ecosystem function and service of marine and coast area maintained and restore as necessary,1,1
N_KH_140b01_01,១៤.ខ.១ ភាគរយនៃធនធានសមុទ្រដែលអ្នកនេសាទខ្នាតតូចទទួលបាននិងលក់លើទីផ្សារមានស្ថិរភាព,14.b.1 Percentage of marine resources  which  small-scale fisheries farmers harvested and sold in a stable marke,1,1
N_KH_141501_01,១៤.៥.១ ភាគរយនៃទំហំតំបន់អភិរក្សជលផលទាំងតំបន់ឆ្នេរ និងទឹកសាប ដែលបានការពារ,14.5.1 Percentage of coverage of marine and inland fisheries conservation areas protected,1,1
N_KH_141502_01,១៤.២.២ ភាគរយនៃផ្ទៃដីព្រៃលិចទឹក និងព្រៃកោងកាង ដែលត្រូវបានដាំឡើងវិញនិងការពារ,14.2.2 Percentage of degraded freshwater flooded forests and mangrove forests (ha) that has been transplanted and protected,1,1
N_KH_150102_01,១៥.១.២ ភាគរយនៃតំបន់ដែលមានជីវៈចម្រុះក្នុងទឹកនិងលើដីគោក ដែលគ្របដណ្តប់ដោយតំបន់ការពារនិងតំបន់អភិរក្សជលផល បែងចែកតាមប្រភេទនៃប្រព័ន្ធអេកូឡូស៊ី,"15.1.2 Percentage of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",1,1
N_KH_150103_01,១៥.១.៣ ផ្ទៃដីព្រៃឈើ និងប្រព័ន្ធអេកូឡូស៊ី ដែលត្រូវបានប្រើប្រាស់ប្រកបដោយចីរភាព,15.1.3 Forest areas and ecosystems sustainably utilized,1,1
N_KH_150301_01,១៥.៣.១ ផ្ទៃដីតំបន់ទេសភាពព្រៃឈើដែលបានស្តារពីផលប៉ះពាល់ដោយសារភាពរាំងស្ងួត ទឹកជំនន់ និងដែលបានបោះបង់ចោល,"15.3.1 Area of forest landscape restoration for areas affected by desertification, drought and floods",1,1
N_KH_150501_01,១៥.៥.១ ចំនួនផែនការសកម្មភាពសម្រាប់អភិរក្សប្រភេទសត្វព្រៃនិងរុក្ខជាតិជិតផុតពូជនិងមានដោយកម្រ ដែលត្រូវបានរៀបចំនិងអនុវត្ត,15.5.1 Number of action plans forconservation of rare and endangered species of fauna and flora developed and implemented,1,1
N_KH_150701_01,១៥.៧.១ ចំនួនករណីល្មើសច្បាប់ក្នុងការបរបាញ់ ការជួញដូរ ប្រភេទសត្វព្រៃ និងប្រភេទរុក្ខជាតិខុសច្បាប់ ដែលត្រូវបានកាត់បន្ថយ,15.7.1 Number of cases of illegal poaching and trafficking of flora and fauna decreased,1,1
N_KH_150902_01,១៥.៩.២ ចំនួនគោលនយោបាយយុទ្ធសាស្រ្ត និងលិខិតយុទ្ធោបករណ៍ស្តីពីសេវាកម្មប្រពន័្ធ អេកូឡូស៊ីត្រូវបានតាក់តែង និងអនុវត្ត,"15.9.2 Number of policies, strategies and regulations on ecosystem services is established and implemented",1,1
N_KH_160301_01,១៦.៣.១ សមាមាត្រនៃប្រជាជនដែលបានចូលរួមក្នុងការផ្សព្វផ្សាយច្បាប់,16.3.1 Proportion of people involved in disseminating laws,1,1
N_KH_160701_01,១៦.៧.១ សមាមាត្រនៃស្តី្រ ជាមន្ត្រីរាជការស៊ីវិលនៅតាមក្រសួងស្ថាប័ននានា,16.7.1 Proportion of female in civil servant,1,1
N_KH_170301_01,១៧.៣.១ សមាមាត្រនៃហិរញ្ញប្បទានចម្រុះធៀបនឹង ផ.ស.ស.,17.3.1 Official development assistance as % of GDP,1,1
N_KH_170901_01,១៧.៩.១ ទំហំហិរញ្ញប្បទានកិច្ចសហប្រតិបត្តិការបច្ចេកទេស (រួមទាំងកិច្ចសហប្រតិបត្តិការជើង-ត្បូង ត្បូង-ត្បូង និងកិច្ចសហប្រតិបត្តិការត្រីកោណ) ដែលបានសន្យាផ្តល់ដល់កម្ពុជា,"17.9.1 Total financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to Cambodia",1,1
N_KH_170902_01,១៧.៩.២ ទំហំហិរញ្ញប្បទានសហប្រតិបត្តិការ ដែលគាំទ្រគោលនយោបាយសេដ្ខកិច្ចនិងការអភិវឌ្ឍដែលបានប្តេជ្ញាផ្តល់ឲ្យកម្ពុជាធៀបនឹង ផ.ស.ស,17.9.2 Amount of ODA to Economic and Development Policy/Planning (as % of GDP)​​​ committed to Cambodia,1,1
N_KH_171001_01,១៧.១០.១ ចំនួនច្បាប់និងបទដ្ឋានគតិយុត្តពាណិជ្ជកម្ម ដែលបានរៀបចំឡើងដើម្បីសម្រួលដល់អ្នកវិនិយោគនិងធុរជនក្នុងស្រុកក្នុងការធ្វើពាណិជ្ជកម្ម,17.10.1 The number of commercial legal norms and standards set up to facilitate local investors and investors in trading,1,1
N_KH_171701_01,១៧.១៧.១ ទំហំហិរញ្ញប្បទានសហប្រតិបត្តិការដែលត្រូវបានសន្យារផ្តល់ដល់ភាពជាដៃគូសង្គមស៊ីវិលធៀបនឹង ផ.ស.ស.,17.17.1 Amount of ODA disbursed to civil society partnerships (as % of GDP),1,1
N_KH_171802_01,១៧.១៨.២ សមាមាត្រនៃចំណាយថវិកាសម្រាប់អនុវត្តផែនការយុទ្ធសាស្រ្តជាតិសម្រាប់អភិវឌ្ឍស្ថិតិ,17.18.2 Proportion of budget expenditure for implementation the National Strategy for the Development of Statistic (NSDS),1,1
N_KH_180101_01,១៨.១.១ ផ្ទៃដីសរុបនៃការបោសសម្អាតមីននិងសំណល់ជាតិផ្ទុះពីសង្គ្រាមប្រចាំឆ្នាំ,18.1.1 Total cumulated areas cleared of mines/ERW,1,1
N_KH_180201_01,១៨.២.១ ចំនួននៃជនរងគ្រោះថ្នាក់ (ស្លាប់និងរបួស) ដោយគ្រាប់មីន និងសំណល់ជាតិផ្ទុះពីសង្គ្រាម,18.2.1 Number of civilian casualties from mines/ERW,26,1
N_KH_180202_01,១៨.២.២ ចំនួនភូមិដែលរងការគំរាមកំហែង ដោយសារមីននិងសំណល់ជាតិផ្ទុះពីសង្គ្រាមទទួលបានសារអប់រំគ្រោះថ្នាក់ដោយសារមីននិងសំណល់ជាតិផ្ទុះពីសង្គ្រាម,18.2.2 The number of villages contaminated by mines / ERW to receive Mine Risk Educationmessages,1,1
