Year,SERIES,តំបន់យោង,កំរិតនគរូបនីយកម្ម,UNIT_MEASURE,GeoCode,Value
2016,៤.៥.១ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ទីប្រជុំជន,ភាគរយ,,1.1
2017,៤.៥.១ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ទីប្រជុំជន,ភាគរយ,,1.1
2018,៤.៥.១ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ទីប្រជុំជន,ភាគរយ,,1.1
2019,៤.៥.១ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ទីប្រជុំជន,ភាគរយ,,1.1
2008,៤.៥.១ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ជនបទ,ភាគរយ,,0.9
2009,៤.៥.១ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ជនបទ,ភាគរយ,,1.0
2010,៤.៥.១ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ជនបទ,ភាគរយ,,1.0
2011,៤.៥.១ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ជនបទ,ភាគរយ,,1.0
2012,៤.៥.១ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ជនបទ,ភាគរយ,,1.0
2013,៤.៥.១ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ជនបទ,ភាគរយ,,1.1
2014,៤.៥.១ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ជនបទ,ភាគរយ,,1.1
2015,៤.៥.១ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ជនបទ,ភាគរយ,,1.1
2016,៤.៥.១ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ជនបទ,ភាគរយ,,1.2
2017,៤.៥.១ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ជនបទ,ភាគរយ,,1.2
2018,៤.៥.១ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ជនបទ,ភាគរយ,,1.2
2019,៤.៥.១ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាបឋមភូមិ,,ជនបទ,ភាគរយ,,1.2
