Year,SERIES,តំបន់យោង,កំរិតនគរូបនីយកម្ម,កម្រិត​ការ​អប់រំ,UNIT_MEASURE,GeoCode,Value
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ទីប្រជុំជន,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,1.0
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ទីប្រជុំជន,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,1.0
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ទីប្រជុំជន,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,1.03
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ទីប្រជុំជន,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,1.03
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ទីប្រជុំជន,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,1.07
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ទីប្រជុំជន,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,1.13
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ជនបទ,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,0.72
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ជនបទ,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,0.83
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ជនបទ,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,0.84
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ជនបទ,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,0.91
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ជនបទ,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,0.95
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ជនបទ,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,0.98
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ជនបទ,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,1.0
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ជនបទ,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,1.11
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ជនបទ,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,1.17
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ជនបទ,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,1.24
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ជនបទ,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,1.3
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,,ជនបទ,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,,1.37
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បន្ទាយមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH01,0.87
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បន្ទាយមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH01,0.91
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បន្ទាយមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH01,0.97
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បន្ទាយមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH01,0.99
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បន្ទាយមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH01,1.05
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បន្ទាយមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH01,1.08
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បន្ទាយមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH01,1.1
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បន្ទាយមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH01,1.17
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បន្ទាយមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH01,1.19
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បន្ទាយមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH01,1.24
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បន្ទាយមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH01,1.32
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បន្ទាយមានជ័យ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH01,1.41
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បាត់ដំបង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH02,0.85
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បាត់ដំបង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH02,0.97
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បាត់ដំបង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH02,0.93
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បាត់ដំបង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH02,1.03
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បាត់ដំបង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH02,1.04
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បាត់ដំបង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH02,1.11
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បាត់ដំបង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH02,1.2
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បាត់ដំបង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH02,1.28
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បាត់ដំបង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH02,1.29
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បាត់ដំបង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH02,1.32
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បាត់ដំបង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH02,1.4
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,បាត់ដំបង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH02,1.38
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH03,0.86
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH03,0.96
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH03,0.99
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH03,1.01
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH03,1.06
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH03,1.1
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH03,1.2
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH03,1.24
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH03,1.27
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH03,1.36
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH03,1.43
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ចាម,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH03,1.48
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH04,0.78
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH04,0.88
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH04,0.89
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH04,0.97
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH04,0.99
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH04,1.04
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH04,1.1
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH04,1.2
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH04,1.25
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH04,1.31
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH04,1.39
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ឆ្នាំង,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH04,1.44
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH05,0.53
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH05,0.69
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH05,0.66
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH05,0.73
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH05,0.81
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH05,0.82
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH05,0.9
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH05,0.96
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH05,1.04
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH05,1.12
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH05,1.18
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ស្ពឺ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH05,1.29
2008,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH06,0.83
2009,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH06,0.91
2010,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH06,0.91
2011,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH06,0.95
2012,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH06,1.03
2013,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH06,1.06
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH06,1.1
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH06,1.2
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH06,1.3
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,កំពង់ធំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH06,1.38
