Year,SERIES,Reference area,Degree of urbanisation,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
1996,6.1.1 Proportion of population using an improved drinking water source,,Rural,,Percent,,23.4
1997,6.1.1 Proportion of population using an improved drinking water source,,Rural,,Percent,,24.5
1999,6.1.1 Proportion of population using an improved drinking water source,,Rural,,Percent,,45.4
2004,6.1.1 Proportion of population using an improved drinking water source,,Rural,,Percent,,46.6
2007,6.1.1 Proportion of population using an improved drinking water source,,Rural,,Percent,,48.5
2008,6.1.1 Proportion of population using an improved drinking water source,,Rural,,Percent,,49.0
2009,6.1.1 Proportion of population using an improved drinking water source,,Rural,,Percent,,42.2
2010,6.1.1 Proportion of population using an improved drinking water source,,Rural,,Percent,,41.1
2011,6.1.1 Proportion of population using an improved drinking water source,,Rural,,Percent,,43.2
2012,6.1.1 Proportion of population using an improved drinking water source,,Rural,,Percent,,41.9
2013,6.1.1 Proportion of population using an improved drinking water source,,Rural,,Percent,,46.6
2014,6.1.1 Proportion of population using an improved drinking water source,,Rural,,Percent,,47.4
2015,6.1.1 Proportion of population using an improved drinking water source,,Rural,,Percent,,52.4
2016,6.1.1 Proportion of population using an improved drinking water source,,Rural,,Percent,,53.9
2017,6.1.1 Proportion of population using an improved drinking water source,,Rural,,Percent,,58.7
2019,6.1.1 Proportion of population using an improved drinking water source,,Rural,,Percent,,74.69
