Year,SERIES,តំបន់យោង,កំរិតនគរូបនីយកម្ម,UNIT_MEASURE,GeoCode,Value
2009,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ទីប្រជុំជន,ភាគរយ,,19.3
2010,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ទីប្រជុំជន,ភាគរយ,,17.0
2011,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ទីប្រជុំជន,ភាគរយ,,22.5
2012,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ទីប្រជុំជន,ភាគរយ,,14.5
2013,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ទីប្រជុំជន,ភាគរយ,,13.9
2014,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ទីប្រជុំជន,ភាគរយ,,12.8
2019,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ទីប្រជុំជន,ភាគរយ,,12.6
1993,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ជនបទ,ភាគរយ,,43.12
1997,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ជនបទ,ភាគរយ,,40.1
1999,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ជនបទ,ភាគរយ,,40.1
2004,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ជនបទ,ភាគរយ,,39.18
2007,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ជនបទ,ភាគរយ,,52.3
2008,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ជនបទ,ភាគរយ,,31.9
2009,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ជនបទ,ភាគរយ,,24.6
2010,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ជនបទ,ភាគរយ,,22.7
2011,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ជនបទ,ភាគរយ,,20.7
2012,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ជនបទ,ភាគរយ,,20.0
2013,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ជនបទ,ភាគរយ,,15.7
2014,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ជនបទ,ភាគរយ,,12.5
2019,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,,ជនបទ,ភាគរយ,,22.8
2007,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,ភ្នំពេញ,,ភាគរយ,KH12,19.1
2008,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,ភ្នំពេញ,,ភាគរយ,KH12,13.4
2009,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,ភ្នំពេញ,,ភាគរយ,KH12,12.8
2010,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,ភ្នំពេញ,,ភាគរយ,KH12,12.4
2011,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,ភ្នំពេញ,,ភាគរយ,KH12,10.9
2012,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,ភ្នំពេញ,,ភាគរយ,KH12,16.25
2013,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,ភ្នំពេញ,,ភាគរយ,KH12,20.17
2014,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,ភ្នំពេញ,,ភាគរយ,KH12,18.7
2019,១.២.១ សមាមាត្រប្រជារាស្រ្តនៅក្រោមបន្ទាត់ភាពក្រីក្រថ្នាក់ជាតិ,ភ្នំពេញ,,ភាគរយ,KH12,4.2
