Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2007,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,,84.9
2008,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,,85.8
2009,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,,82.5
2010,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,,84.1
2011,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,,92.4
2012,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,,97.7
2013,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,,90.6
2014,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,,84.2
2015,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,,79.2
2016,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,,78.7
2017,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,,78.0
2018,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,,80.7
2019,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,,81.9
2005,4.1.1.1 Completion rate Grade 6,,Male,Remote Area,Percent,,26.6
2006,4.1.1.1 Completion rate Grade 6,,Male,Remote Area,Percent,,52.7
2007,4.1.1.1 Completion rate Grade 6,,Male,Remote Area,Percent,,52.3
2008,4.1.1.1 Completion rate Grade 6,,Male,Remote Area,Percent,,57.6
2004,4.1.1.1 Completion rate Grade 6,,,,Percent,,46.8
2005,4.1.1.1 Completion rate Grade 6,,,,Percent,,42.9
2006,4.1.1.1 Completion rate Grade 6,,,,Percent,,90.1
2007,4.1.1.1 Completion rate Grade 6,,,,Percent,,86.2
2008,4.1.1.1 Completion rate Grade 6,,,,Percent,,85.6
2009,4.1.1.1 Completion rate Grade 6,,,,Percent,,83.2
2010,4.1.1.1 Completion rate Grade 6,,,,Percent,,85.3
2011,4.1.1.1 Completion rate Grade 6,,,,Percent,,89.7
2012,4.1.1.1 Completion rate Grade 6,,,,Percent,,87.4
2013,4.1.1.1 Completion rate Grade 6,,,,Percent,,88.9
2014,4.1.1.1 Completion rate Grade 6,,,,Percent,,84.1
2015,4.1.1.1 Completion rate Grade 6,,,,Percent,,80.6
2016,4.1.1.1 Completion rate Grade 6,,,,Percent,,79.9
2017,4.1.1.1 Completion rate Grade 6,,,,Percent,,79.1
2018,4.1.1.1 Completion rate Grade 6,,,,Percent,,82.1
2019,4.1.1.1 Completion rate Grade 6,,,,Percent,,83.3
2004,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,,56.9
2005,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,,54.4
2006,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,,99.0
2007,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,,91.6
2008,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,,91.0
2009,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,,84.3
2010,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,,91.0
2011,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,,78.0
2012,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,,79.1
2013,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,,76.9
2014,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,,74.1
2015,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,,72.6
2016,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,,71.0
2017,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,,69.3
2018,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,,73.0
2019,4.1.1.1 Completion rate Grade 6,,,Urban,Percent,,73.1
2004,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,,45.7
2005,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,,41.7
2006,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,,90.0
2007,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,,86.8
2008,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,,86.4
2009,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,,83.0
2010,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,,84.3
2011,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,,92.4
2012,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,,94.0
2013,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,,91.7
2014,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,,86.5
2015,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,,82.5
2016,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,,82.0
2017,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,,81.4
2018,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,,84.4
2019,4.1.1.1 Completion rate Grade 6,,,Rural,Percent,,85.8
2004,4.1.1.1 Completion rate Grade 6,,,Remote Area,Percent,,26.0
2005,4.1.1.1 Completion rate Grade 6,,,Remote Area,Percent,,24.7
2006,4.1.1.1 Completion rate Grade 6,,,Remote Area,Percent,,52.4
2007,4.1.1.1 Completion rate Grade 6,,,Remote Area,Percent,,54.1
2008,4.1.1.1 Completion rate Grade 6,,,Remote Area,Percent,,59.0
2009,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,KH01,90.7
2010,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,KH01,94.6
2011,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,KH01,93.0
2012,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,KH01,85.1
2013,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,KH01,84.4
2014,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,KH01,77.5
2015,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,KH01,74.4
2016,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,KH01,73.2
2017,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,KH01,74.3
2018,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,KH01,78.4
2019,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Female,,Percent,KH01,78.8
2009,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,KH01,85.4
2010,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,KH01,93.1
2011,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,KH01,90.2
2012,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,KH01,96.1
2013,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,KH01,82.4
2014,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,KH01,73.9
2015,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,KH01,67.6
2016,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,KH01,66.8
2017,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,KH01,65.1
2018,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,KH01,69.4
2019,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,Male,,Percent,KH01,73.1
2009,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,KH01,88.0
2010,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,KH01,93.9
2011,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,KH01,91.6
2012,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,KH01,90.8
2013,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,KH01,83.4
2014,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,KH01,75.6
2015,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,KH01,70.9
2016,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,KH01,69.9
2017,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,KH01,69.5
2018,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,KH01,73.7
2019,4.1.1.1 Completion rate Grade 6,Banteay Meanchey,,,Percent,KH01,75.8
2009,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,KH02,85.6
2010,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,KH02,73.5
2011,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,KH02,85.4
2012,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,KH02,82.1
2013,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,KH02,86.4
2014,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,KH02,82.1
2015,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,KH02,80.2
2016,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,KH02,79.3
2017,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,KH02,81.0
2018,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,KH02,84.8
2019,4.1.1.1 Completion rate Grade 6,Battambang,Female,,Percent,KH02,85.9
2009,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,KH02,81.3
2010,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,KH02,76.9
2011,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,KH02,80.8
2012,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,KH02,90.7
2013,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,KH02,80.2
2014,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,KH02,77.4
2015,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,KH02,73.7
2016,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,KH02,71.6
2017,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,KH02,74.0
2018,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,KH02,77.3
2019,4.1.1.1 Completion rate Grade 6,Battambang,Male,,Percent,KH02,79.2
2009,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,KH02,83.4
2010,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,KH02,75.2
2011,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,KH02,83.0
2012,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,KH02,86.5
2013,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,KH02,83.2
2014,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,KH02,79.7
2015,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,KH02,76.8
2016,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,KH02,75.3
2017,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,KH02,77.4
2018,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,KH02,80.9
2019,4.1.1.1 Completion rate Grade 6,Battambang,,,Percent,KH02,82.4
2009,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,KH03,82.2
2010,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,KH03,84.0
2011,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,KH03,91.6
2012,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,KH03,88.1
2013,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,KH03,94.4
2014,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,KH03,92.1
2015,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,KH03,87.8
2016,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,KH03,88.8
2017,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,KH03,88.1
2018,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,KH03,91.4
2019,4.1.1.1 Completion rate Grade 6,Kampong Cham,Female,,Percent,KH03,91.9
2009,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,KH03,81.5
2010,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,KH03,77.9
2011,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,KH03,91.9
2012,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,KH03,97.3
2013,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,KH03,92.4
2014,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,KH03,86.8
2015,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,KH03,80.9
2016,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,KH03,79.4
2017,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,KH03,81.2
2018,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,KH03,82.8
2019,4.1.1.1 Completion rate Grade 6,Kampong Cham,Male,,Percent,KH03,83.1
2009,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,KH03,81.8
2010,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,KH03,80.9
2011,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,KH03,91.8
2012,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,KH03,92.8
2013,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,KH03,93.4
2014,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,KH03,89.4
2015,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,KH03,84.2
2016,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,KH03,84.0
2017,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,KH03,84.6
2018,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,KH03,87.0
2019,4.1.1.1 Completion rate Grade 6,Kampong Cham,,,Percent,KH03,87.4
2009,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,KH04,88.0
2010,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,KH04,97.9
2011,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,KH04,89.9
2012,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,KH04,88.9
2013,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,KH04,91.4
2014,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,KH04,90.2
2015,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,KH04,87.7
2016,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,KH04,84.5
2017,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,KH04,85.3
2018,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,KH04,87.7
2019,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Female,,Percent,KH04,87.8
2009,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,KH04,82.2
2010,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,KH04,94.4
2011,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,KH04,85.0
2012,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,KH04,94.9
2013,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,KH04,84.1
2014,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,KH04,84.1
2015,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,KH04,77.9
2016,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,KH04,79.0
2017,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,KH04,76.8
2018,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,KH04,78.0
2019,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,Male,,Percent,KH04,79.2
2009,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,KH04,85.1
2010,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,KH04,96.1
2011,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,KH04,87.4
2012,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,KH04,92.0
2013,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,KH04,87.7
2014,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,KH04,87.1
2015,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,KH04,82.7
2016,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,KH04,81.7
2017,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,KH04,80.9
2018,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,KH04,82.8
2019,4.1.1.1 Completion rate Grade 6,Kampong Chhnang,,,Percent,KH04,83.4
2009,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,KH05,86.4
2010,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,KH05,94.8
2011,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,KH05,88.3
2012,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,KH05,88.6
2013,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,KH05,94.4
2014,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,KH05,88.6
2015,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,KH05,82.6
2016,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,KH05,83.4
2017,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,KH05,78.4
2018,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,KH05,86.4
2019,4.1.1.1 Completion rate Grade 6,Kampong Speu,Female,,Percent,KH05,87.3
2009,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,KH05,84.5
2010,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,KH05,103.5
2011,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,KH05,92.2
2012,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,KH05,96.6
2013,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,KH05,94.0
2014,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,KH05,88.2
2015,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,KH05,79.3
2016,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,KH05,77.0
2017,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,KH05,78.6
2018,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,KH05,80.3
2019,4.1.1.1 Completion rate Grade 6,Kampong Speu,Male,,Percent,KH05,80.7
2009,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,KH05,85.5
2010,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,KH05,99.1
2011,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,KH05,90.2
2012,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,KH05,92.7
2013,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,KH05,94.2
2014,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,KH05,88.4
2015,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,KH05,80.9
2016,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,KH05,80.2
2017,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,KH05,78.5
2018,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,KH05,83.3
2019,4.1.1.1 Completion rate Grade 6,Kampong Speu,,,Percent,KH05,84.0
2009,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,KH06,79.3
2010,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,KH06,83.4
2011,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,KH06,86.4
2012,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,KH06,82.7
2013,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,KH06,87.2
2014,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,KH06,83.1
2015,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,KH06,83.4
2016,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,KH06,84.1
2017,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,KH06,87.1
2018,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,KH06,84.7
2019,4.1.1.1 Completion rate Grade 6,Kampong Thom,Female,,Percent,KH06,85.8
2009,4.1.1.1 Completion rate Grade 6,Kampong Thom,Male,,Percent,KH06,74.8
